LABEL	preprocessing_A
AGAINST	arrimadas presentar generala sacar sanchez moncloa #efeurgente
AGAINST	derecho autodeterminacion golpe estado pres politicos golpistas merienda colegas rebelion metre planar hasta pudrirme pastar néixer
AGAINST	#urgente #cataluña atacan pintura cuartel kale borroca català actuando total impunidad #eleccionesvotoderechas #jusapol #equiparacionya
AGAINST	cansado esloganes izquierdas derechas quiero pais progrese acabar chiringuitos privilegios politicos condonaciones bancarias partidos olvidan personas izquierdas derechas sinceramente igualar quiero valorar
NEUTRAL	recuerdo cataluña indepes podemos manifestar #relatorarv
AGAINST	citar machado veras reproducir homenajes ciertos politicos estar haciendo
AGAINST	parece raro gallifanta toda patulea indepe hayan hecho mencionar declaraciones testigos comprometre golpistas tener tomar almax parar digerir bien realidad #juicioproces
NEUTRAL	ines arrimadas carrera videos
FAVOR	hecho delictivo indiciar delitar #trapero gustar nombramiento ahora coronel perez llevamos media hora absurd cantinela
NEUTRAL	melhor lateral direito mundar
AGAINST	contamos hecho lamentable unos radicales separatistas acosado mujer negado cerrar negociar barcelona podeis
AGAINST	#endirecto crear intervencion leera libros historiar #juicioproces
AGAINST	hitler hizo exactamente indepes pervertir mediante fraude parar acabar todos
FAVOR	digale imbecil alfonso guerra transicion habia ejercito hizo relator redaccion constitucion llamale relator llamale amenazador
FAVOR	estoy acuerdo empezado debatir parar importantes pasar decir introduciendo democracia directe poco poco todos politicos incluidos indepes interesa mantener partidocracia
AGAINST	aqui teneis miga independentismo alguien llama invasora quienes sido elegidos democraticamente dedo president alguien cuyo argumentar insultar alguien dice nacion anterior españa discipulo cucurull estulticia
FAVOR	exactamente reva politica española vida general continuar cataluña independentismo baja burro seguiremos bloqueados hasta poblacion rechace rotundamente cosa esta produciendo debido aberrante caza brujas
FAVOR	sant jordi esperar encontrarme politicos dando rosas fastidien
AGAINST	italia gastado millones euro programar empleo parar inmigrantes musulmana logro solar trabajen cientos miles estos ilusionistas #voxextremanecesidad #españolesprimero #defiendeespaña #stopislam #ahoravox
FAVOR	vosotros nueva arrimadas jaja casar indepe indepe increible parar veas
FAVOR	durar articular washington pondre españa esta juzgando democracia
AGAINST	abascal responde boicotar granar acto barcelona sois tontos utiles separatismo
FAVOR	mandar pegar personas solar querian votar enviar prision preventiu politicos poner urnascuando varios paisa europa dicho inocentes juicio politizado justicia separacion poderes imagen exterior cojonuda oiga
FAVOR	manipulador cayo estas hablando polaco suelta fachamierda primero #zasca
FAVOR	pulgas perro perro pulgas aunque vivan perro pasa mismo fascismo unionista molestas transmiten enfermedades
FAVOR	nunca habido acuerdo independentistas dice sanchez habia condicionar parar votar favor mocio
FAVOR	#rumbournasarv mejor puede hacer arrimadas largarse madrid breve convertir establar general ultraderecha
AGAINST	mania preguntar pactar fuerza momento extraparlamentaria ademas conocemos programar tenemos claro pactaremos quien quiere romper españa #objetivoelecciones
AGAINST	preocupaciones pactar psoe ante todo bajo ningun concepto mirar podrir dejar ningun poder indepes gente vaya contemplando todo mundar tenga armar casa néixer mencionar supongo
AGAINST	encantar hubieran citado declarar testigo #juicioproces parar explicar miedo angustia preocupacion insomnio tristeza soledad restar emocionar negativas intensas sentimos septiembre octubrar
AGAINST	parlamentar esta sometido controlar judicial recuerdaselo independentistas tienen memoria selectiu parte molar
FAVOR	empieza demostrando capacidad oratoria estar convirtiendo heroes muchas gracias estado español #judiciaalademocracia #judicifarsa #judiciproces #judiciacatalunya
NEUTRAL	maduro preguntar verdad ordenar militar civiles armados disparar matar contra humano ciudadanos venezolanos desesperado libertad militar acometeran crimen les humanidad
NEUTRAL	congresso imagens
NEUTRAL	sofia callar tomeis pelar
AGAINST	eurovision padecimiento #puigdemont grito munch xavier sard
AGAINST	pua crear quitan arrimadas cataluña deberia parar numerar parar mejor deje #esloquepienso
FAVOR	vergonzoso atacar álvaro ojeda àlex granell apoyo pres
FAVOR	viendo quien esta apoyando golpista guaido reafirmar estamos lado correcto compañer@s casado rivera abascal sanchez carmenar trump macron este individuar apoyan golpe
FAVOR	soñado noche congreso madrileño estaba lleno diputados catalana indepe levantado content votare
