id_str	TWEET	LABEL	preprocessing_C
1097475970355904514	Cansado de los eslóganes de izquierdas y derechas. Quiero un país que progrese, que acabe con los chiringuitos, los privilegios políticos, las condonaciones bancarias a los partidos que olvidan a las personas ¿es izquierdas o es derechas? Sinceramente me da igual, quiero valores https://t.co/j1Ztzi1GC2	AGAINST	Cansado de los eslóganes de izquierdas y derechas Quiero un país que progrese que acabe con los chiringuitos los privilegios políticos las condonaciones bancarias a los partidos que olvidan a las personas es izquierdas o es derechas Sinceramente me da igual quiero valores
1093133896936505345	Le recuerdo a @EnricJuliana que en Cataluña los no indepes no nos podemos manifestar!!! #RelatorARV	NEUTRAL	Le recuerdo a EnricJuliana que en Cataluña los no indepes no nos podemos manifestar RelatorARV
1103731753729036289	Me parece muy raro que la gallifanta y toda la patulea indepe no hayan hecho mención alguna a las declaraciones de los testigos que comprometen a los golpistas. Van a tener que tomar Almax para digerir bien la realidad   #JuicioProces	AGAINST	Me parece muy raro que la gallifanta y toda la patulea indepe no hayan hecho mención alguna a las declaraciones de los testigos que comprometen a los golpistas Van a tener que tomar Almax para digerir bien la realidad JuicioProces
1099293470487908350	Así es Inés Arrimadas: su carrera en 10 vídeos https://t.co/AgHYYeboN4	NEUTRAL	Así es Inés Arrimadas su carrera en 10 vídeos
1102981063507349504	RT @omundodaboIa: Melhor lateral direito do Mundo!🔥🔥 https://t.co/zuVcUuTOCg	NEUTRAL	RT omundodaboIa Melhor lateral direito do Mundo🔥🔥
1095987315930001408	? #EnDirecto @rogertorrent cree que la intervención de @junqueras se leerá  en los libros de historia  #JuicioProces https://t.co/xIuUKKWTze https://t.co/FuQOlnAyQz	AGAINST	 EnDirecto rogertorrent cree que la intervención de junqueras se leerá en los libros de historia JuicioProces
1103584737166278657	RT @PJuvencioC: @lopez_vallet Hitler hizo exactamente lo que los indepes, pervertir la ley mediante el fraude para acabar con todos los con…	AGAINST	RT PJuvencioC lopezvallet Hitler hizo exactamente lo que los indepes pervertir la ley mediante el fraude para acabar con todos los con
1093207322019708933	@RupertCocke @sarcasmodigame @MariadelMarMen9 Estoy de acuerdo, pero es que no se ha empezado ni a debatir… Para ir de la A a Z, lo importantes es pasar por B C D E…, es decir, introduciendo la democracia directa poco a poco... A TODOS los políticos (incluidos indepes) les interesa mantener la Partidocracia.	FAVOR	RupertCocke sarcasmodigame MariadelMarMen9 Estoy de acuerdo pero es que no se ha empezado ni a debatir Para ir de la A a Z lo importantes es pasar por B C D E es decir introduciendo la democracia directa poco a poco A TODOS los políticos incluidos indepes les interesa mantener la Partidocracia
1097816125608468480	Aquí tenéis la miga del independentismo. Alguien q llama invasores a quienes han sido elegidos democráticamente (no a dedo como los presidents) Alguien cuyo argumento es el insulto, alguien q dice q ¡Cat es una nación! ¡Y anterior a España! Discípulo d Cucurull y d la estulticia https://t.co/2xVsKf00EZ	AGAINST	Aquí tenéis la miga del independentismo Alguien q llama invasores a quienes han sido elegidos democráticamente no a dedo como los presidents Alguien cuyo argumento es el insulto alguien q dice q Cat es una nación Y anterior a España Discípulo d Cucurull y d la estulticia
1096158172685967360	Duro artículo de 'The Washington Post':  España está juzgando a su democracia  https://t.co/6bO7H8U5Pk	FAVOR	Duro artículo de The Washington Post España está juzgando a su democracia
1103710517686927360	Abascal responde al boicot del PSC al gran acto de Vox en Barcelona:  Sois los tontos útiles del separatismo . por @Maiteloureiro_  https://t.co/3HbE5tq5mR vía @libertaddigital	AGAINST	Abascal responde al boicot del PSC al gran acto de Vox en Barcelona Sois los tontos útiles del separatismo  por Maiteloureiro vía libertaddigital
1042339346467172352	@pilarc_pilarc Ten, manipuladora 💅💅 se te cayó el  ME ESTAS HABLANDO EN POLACO??  que le suelta el fachamierda primero #ZASCA  https://t.co/XQ08KuVgtI	FAVOR	pilarcpilarc Ten manipuladora 💅💅 se te cayó el ME ESTAS HABLANDO EN POLACO que le suelta el fachamierda primero ZASCA
