NONE	SilviuMajor your tweet has made it to the cast of towie mate
NONE	WHO DO I GOTTA FUCK TO NEVER FEEL LIKE I GOTTA FUCK SOMEBODY?
AGAINST	A year of relentless harassment of folks talking about rape & abuse on YesAllWomen = thriving rape culture on social media
NONE	People who call themselves beautiful are really the ugliest. deep edgy Philosophy BaltimoreRiots Baltimore
NONE	rsiereilly I've been pretty well. Enjoyed your response to
AGAINST	I'm glad I was able to raise my kids n a time when my educated mothering decisions for my family were not vilified. nonvaxxerhere
NONE	carly_senatore Also im assuming you claim to be one...yet you just called me an idiot and you dont even know me. Nice.
FAVOR	We are 51% of the population and only 17% of Congress. The WarOnWomen is absolutely a real thing. Wake up, America.
AGAINST	Someone should do a Meminist Frequency video response highlighting the violence against men portrayed in video games.
AGAINST	HowToSpotAFeminist?-> 7 Feminists compare themselves to successful men & non feminist women to harbor jealousy.
AGAINST	So if I find a woman attractive I'm an objectifying pig. If I don't find her attractive I'm a shallow pig.
AGAINST	The times in between my whiskey are my periods.
AGAINST	"IF FEMINISTS WERE HONEST ""I don't want to learn skills, I want others to work under my name."" GamerGate"
FAVOR	the fact that people think women need to be appealing and attractive to be heard/seen as equal is why we need feminism
NONE	mit5_anders To paraphrase Friedan, the more a drive is deprived of data, the more its data will expand to fill the space. 1960s
FAVOR	I believe that every women should have their own rights!!
NONE	Mother and I were laughed at by first graders because mother threw a bug on me and we both screamed and ran away strongwomen
NONE	suicidaljac3 eat a pus or somethin lozer
FAVOR	Thought that goes through my mind on a regular basis: would you have said that to me if I was a man?
FAVOR	randomtweetor i hate to break it to u bruh but women do get pretty for us. They get pretty to show other women feminist
FAVOR	A woman is not a sex object. She's a person. truth wisdom womensrights media life humanity love society
AGAINST	.cooImemegirl Feminists believe mothers should have a say over the father's body, his job, and his money.
FAVOR	What a great accomplishment marriageequality , too bad it still sucks to be black or a woman in America. racism truthbomb
AGAINST	It's not a pleasant world, where if you disagree with feminists, you have to fear for your life and freedoms
FAVOR	"If we have equality women wouldn't be expected to submit to the ""traditions"" of marriage. genderequality"
NONE	Reading a mag that has endless pages about how to look on holiday but holidays are the time not to give a fuck. That's the point!
NONE	With or without this farmer's tan, I bang bare bitches MisogynistColloquialisms DontSayBitch
AGAINST	What about how in the world of weed, the male plants are mostly deemed useless as they only produce seeds & don't flower
AGAINST	kbambi1376 It's not a conscious choice that's made. Betas make women feel unsafe, unprotected, right? SpankAFeminist
