Stance	text
AGAINST	its great that supports gmo crops its like the it scepticism all over again science vs belief #jebbush #semst
NONE	i do a stump speech it on the stump in the park attendance mandatory #semst
AGAINST	bill clinton decided against taking out bin laden and we got september #semst
NONE	im high on hashtags right now i cant help myself #mypresident #semst
NONE	#obama is riding high #obamacare #lovewins #republicans tearing out their hair whatever is left of it next is #scotus #semst
NONE	my name is rebecca and my grandmother imigrated to sunnybrok farm
FAVOR	thanks for amazing noms for canvassing #fitn #semst
AGAINST	i wish u were in benghazi instead of those great people chronic liar and power hungry animal #semst
AGAINST	wasnt the original #scobyvan also full of unemployed hippies a stupid dog who lived to meddle in other peoples business #semst
AGAINST	what #bernie has done is work for decades on behalf of the american people not the corporatocracy who own corrupted #semst
AGAINST	republican donors have numerous candidates to put their money on dems basically have one were gonna get killed financially #semst
AGAINST	did your rich saudi donors who execute gays join the team #hypocrite #wakeupamerica #semst
AGAINST	sh go get me an iced tea #semst
AGAINST	use your brain keep hillary out of the white houseclinton
AGAINST	years ago #hillary never answered whether she used private email #liberal media passed on reporting #semst
NONE	slowly slowly the debt crisis will implode nations currency #americadeadbrokesave the dollar now #semst
NONE	he col but no #semst
AGAINST	its god that after years in public service with zero accomplishments hillary is finally ready serve the public lolol #semst
AGAINST	win with the blacks put some of your focus on the racial tension between blacks and whites #semst
NONE	wow  baltimore orioles to play tomorrow but no public allowed #baltimoreriots #freddiegray #thanksobama #wakeupamerica #semst
FAVOR	#voteforhillary isnt racist a leader who demands #equalityforall #semst
AGAINST	hilary has lied deleted benghazi emails and betrayed the trust of americans scandal after scandal #semst
FAVOR	always aim highwork hard care deeply about what u believe inwhen u stumble keep faith hillary clinton #semst
AGAINST	hey transparent sowho is santa #libhack #payplay #corruptocrat #tcot #benghazi #vincefoster #monica #semst
AGAINST	students of #bayloruniversity are yall ready for #marcorubio in # #bu #baylor #bears #baylorbears #newamericancentury #gop #semst
AGAINST	the deceit hand thats a hand you know well right #semst
NONE	i am having a really tough time seeing any leaders running for potus quess i will have to wait and see what happens #semst
FAVOR	so proud of you son we will show who we really are keep up the god work #semst
AGAINST	i love bern but its not his time #semst
AGAINST	hillary must have been at the navy yard under sniper fire #semst
NONE	join the twitter movement  or fav for a mention or follow back #semst
AGAINST	the owner of univisin donated as much as million to the clinton foundation his wife sits on its board #univision #trump #semst
AGAINST	#leftest #hippocratic #domecrats wont vote for #finelady #michellbachmann but will vote for #emailscandal #benghazi #killary #semst
AGAINST	all americans have value to our society its called a vote #liberallogic #internationaljokeday #semst
AGAINST	is that why she and take that #saudi money #saudicables #saudicables #clinton #semst
AGAINST	i am a big hillary clinton supporter my plan is working por donnie doesnt even know #trump #semst
AGAINST	sorry hillarys new normal folk image doesnt take away from behgnazi her foreign policy successes as secretary of state
AGAINST	including repealing the first amendment way to go
AGAINST	clinton entitlement is the proverbial american hemorrhoid #tcot #opinionated #semst
AGAINST	#hillary has been lying for so long that her first fib was in morse code #hillno #semst
FAVOR	before leaving my dads i tok the liberty in framing and put up the pictures he has meeting hillary and bill clinton in #semst
AGAINST	we cant expect change if we continue to vote for the same people you have to take a chance yrs is not that long #bernie #semst
NONE	though but there are people saying they just arent going to vote at all which is ridiculous so #semst
AGAINST	#kca #votejktid rfwheels davidjones rratkinson right i mean what the heck is an #arabdonorgroup #hillaryemails #d #semst
AGAINST	you have my support now lets see how many people unfollow me #election #semst
FAVOR	im down to help for election #semst
AGAINST	hilliary i provided all work related emails state dept there are work related emails you didnt provide #hillaredacted #semst
NONE	yes comunity policing is answer to rebuilding trust in our comunities between law enforcement and the people they serve #semst
NONE	remember back when #crackerbarrel gave in #politicalcorrectness over #duckdynasty #wakeup #nascar b its to late #tcot #semst
FAVOR	support encourage #hillaryclinton president #unitedstates world is success of women in world #semst
AGAINST	#hillarys still very weak among grassrots as shown by how strong #berniesanders got how fast on how little #semst
AGAINST	very simple the clintons are corrupt #semst
NONE	is going to be a great year rush limbaughs contract is over and he will be dropped by so many liberal victory #stoprush #semst
NONE	welcome twitterproud to be #uniteblue #waronwomen #worldpeace #tngov #tn #socialjustice #alllivesmatter #unity #semst
AGAINST	take faith that almost every political entity around you whether dissident or not serves no god purpose #dempublicans #semst
AGAINST	if a man demanded staf to get him an ice tea hed be called a sexists elitist pig oink oink #hillary #semst
AGAINST	dont get it twisted a major presidential candidate using her first policy speech to talk about mass incarcertaion #semst
AGAINST	i love it one of our biggest donors is saudi arabia they support womens rights completely #goteam #semst
AGAINST	overheard at the davenport open house oh i know you from facebok #digitalorganizing #semst
AGAINST	one of hillary clintons biggest idols is margaret sanger who called for the extermination of colored people #semst
FAVOR	low key it would be interesting to have a female president #semst
AGAINST	take it easy ed #berniesanders is a side show democrats are having some fun before getting back to reality in nov #semst
AGAINST	#putin #nothingmoreamericanthan voting based for a politician to lead the country when she cant even handle email #think #semst
FAVOR	hillary is our best choice if we truly want to continue being a progressive nation #ohio
AGAINST	over the river and through the wods and up with hill we go yass #hillaryclinton #hillary #semst
AGAINST	cant even run nj and wants to be president id vote for him before #semst
AGAINST	dude why cant hillary run a fax machine #semst
NONE	this friday is oficially political incorrectness day all day say whatever you want and ofend everyone yay #tcot #a #pc #semst
FAVOR	spoke to today in nyc wow so smart and impressive #semst
AGAINST	its time to rope off killary delete her off your ballot she is a clone of sodom insane obammad #wakeupamerica #semst
AGAINST	white middleaged men did a pretty god job leading this country for yrs racist sexist no im a realist #semst
FAVOR	just defending my girl hillary #semst
NONE	lets remember #dickcheney is an unindicted war criminal b we start yelling #benghazi day after day will we ever see justice #semst
AGAINST	#democratslogans why work when you can vote democrat twice #tcot #semst
NONE	we have a troll #morningjoe #unitedblue #semst
NONE	in this context to all practical extents and purposes it means #semst
AGAINST	agree put it back but i have a feeling it wont go away it will keep coming back #semst
AGAINST	awesome every true chef needs this go hillary #semst
FAVOR	human rights are womens rights and womens rights are human rights hillary clinton #semst
FAVOR	fabulous you hit on every subject and i am proud of you ending on a note of kindness #hillaryinnh #semst
AGAINST	where are the #lgbt pride condoms #billclinton used when he assaulted #monicalewinsky #hillaryclinton #tlot #semst
AGAINST	whose the opportunist now #nohillary
AGAINST	especially the paid union lackies who have no idea why their there propaganda machine spinning overtime #semst
AGAINST	bur #hlllary just raised million #semst
AGAINST	no shes got the #blacklivesmatter vote wo even talking to them most blacks are brainwashed by #semst
AGAINST	so whats your goal for setting up victims for #billclinton to assault #hillaryclinton #chelseasmom #tlot #semst
AGAINST	there is no enthusiasm gap mr lawrence #hillarymen #semst
AGAINST	#carlyfiorina on #hannity very impressive a serious presidential candidate vs a bad actress #semst
NONE	fixing americas political system by getting rid of unaccountable money and protecting the country #semst
AGAINST	everything hillary touches ends up being a scam a lie a coverup or a failure william l just who we want as president
AGAINST	also the speaking fees #hillary tok from goldman sachs for two speeches #semst
AGAINST	i just gave an unhealthy amount of my hardearned money away to the big govt untrustworthy irs #whyimnotvotingforhillary
AGAINST	yaaas hillary wins best dressed here at the #merrimack th of july parade #hillaryfornh #semst
AGAINST	will the media ever get real with hillary # #benghazi #clinton #semst
NONE	thanks for the follow david may god bless you and your family #freeallfour #semst
AGAINST	why does the shit barometer always rise when republicans speak #usa #july #semst
AGAINST	facts confirm what we knew used server to prevent emails from becoming public records like obama no transparency #semst
AGAINST	#askbobby do you think #hillaryclinton has turned over all of those emails on her private server she destroyed #semst
FAVOR	loving the new colorful profile pic #loveit #semst
FAVOR	so when all you brave patriots stop hillary who you going to replace her with jeb bush lol #losers #semst
FAVOR	i think its funny people think bernie can take on hillary and bill #semst
AGAINST	clinton foundation to keep accepting bribes from foreign governments #whyimnotvotingforhillary
AGAINST	we lost of our military boys when your president pulled out of iraq #liberalconsequences #semst
AGAINST	results matter u may feel less safe but that is ur mental health issues no s on obamas watch #semst
AGAINST	hillary has lied deleted benghazi emails and betrayed the trust of americans scandal after scandal #semst
AGAINST	hillary clinton makes nixon lok like an amateur scholboy #clintoncash #clintonfoundation #clinton #semst
NONE	much like you god people i forgot about my #livetweetingbladerunner a couple weeks ago #callback #potroast #cartography #blue #semst
AGAINST	looking forward to #cuba expanding major expos of pick up trucks conveed into rafts so exciting #tcot #semst
NONE	whatever is the gop going to do now with both marriage equality and the aca going to be fun to watch #semst
AGAINST	you can run but you cat hide #clintonfoundationscandal #clintoncash #emailgate #semst
AGAINST	what her emails they released the rest all very boring #semst
NONE	i agree these are better than what you had before like a severe cold is better than pneumonia god luck
AGAINST	hillary flew on private jet to speak to speak about income equality dinner plates were #equalityforall #pjnet #ccot #semst
AGAINST	the dukes of hazzard has been on tv for years yet you werent ofended until the #liberals told you to be #unitedblue #semst
AGAINST	fashion news hillary has a new clothing line coming out called flip flops r us #tcot #benghazi #semst
AGAINST	just think how many emails hillary clinton can delete with todays #leapsecond #semst
AGAINST	cant even manage and she wants to be #lol #semst
AGAINST	hillarys emails missing and incomplete whod of thunk it just trust me #semst
FAVOR	#freedomjusticeequalityeducation for innovation and development to make #happylife i utopia #semst
NONE	now i can live in peace
AGAINST	heaven forbid anyone invade the space of the queen of lies #semst
NONE	ive made my decision to the shock of no one probably who im supporting #semst
NONE	so were to believe that santa is a hairstylist um okay you often need code for that #lies #semst
FAVOR	casually hangin with on a conference call while taking a break at #acuhoi #semst
NONE	thank you sir its an honor to hear it usa for life spread this for me #rememberbenghazi #semst
NONE	im years old and care about politics and elections i feel like im years old #semst
AGAINST	how could we support it if it was secret #nohillary #semst
AGAINST	i love the smell of hillary in the morning it smells like republican victory #tedcruz #marcorubio #semst
FAVOR	comit cards collected for hillary in greenville sc so far #fellowssc #semst
AGAINST	just ordered my chillary clinton kozies gotta support the team #semst
AGAINST	with continued #obamas admin policymaking #usa will become #greece #wakeupamerica #nj #semst
NONE	im going to apply for the intern job #semst
FAVOR	im on the edge of my seat to start volunteering for s presidential campaign so excited #cantwait
AGAINST	you know emailgate must be going nowhere when fox news are hashing out the bosnia sniper fire story again #semst
FAVOR	i am portuguese and i support your campaign best luck the world need a person and a women like you #usa #semst
NONE	i always joke about anything political bc if i were serious id end up ofending people and not realize it #semst
NONE	how many por kids could billion feed #semst
AGAINST	its oficial every single #gop member is now a candidate for #potus who needs #leadership when you have a #soapbox #semst
AGAINST	grateful for the chance to tell the world about my love of many flavors of ice cream #wakeupamerica #semst
NONE	i will be there when your little tree has run out of smell #thatchampion #semst
NONE	theyre not thugs you #teapay racists they are community reorganizers #tcot #baltimoreriots #semst
AGAINST	hillary had just enough time to doctor her email inbox to her advantage before releasing them jaja #justkidding #semst
AGAINST	the guy w the #benghazi sign has guts loveit #nohillary #semst
AGAINST	right words no longer have meaning like clintonsit depends on what the meaning of is is more if we dont #semst
NONE	bernie sanders had record crowds in madison wis why no mention from you guys you talked about trump #trump #semst
NONE	you cant fix stupid might not be able to vote them out either #semst
NONE	i think ill take over now and that is scary to say #badchristianvalues #semst
NONE	i love how you pay more attention to the democratic candidate than you own republican candidates #knowtheenemy #semst
