id_str	TWEET	LABEL	CLEAN_x	CLEAN_FULL	LEMMA	LEMMA_CLEAN	part	user_id_str	user_screen_name
11028517837209518e+18	En @fgarrobo ha fet més per l’independentisme i la unitat popular a Nou Barris que tots aquests que tant el critiquen als seus barris i pobles. Amunt Francisco!✊🏾	AGAINST	independentisme unitat popular barris critiquen barris pobles francisco	fet més independentisme unitat popular nou barris critiquen barris pobles francisco	fer més independentisme unitat popular noure barri criticar barri poble francisco	independentisme unitat popular noure barri criticar barri poble francisco	train	64819521.0	im_dario
1093081744193081344	Es passen dies denunciant l'autocar amb que van traslladar els presos polítics, ahir diuen que no aprovarien els pressupostos de l'amo i avuí diuen que s'ho repensaran. El ridícul de tot plegat és infinit. Per cert, el president de Catalunya treballa?	FAVOR	passen dies denunciant autocar traslladar presos polítics diuen aprovarien pressupostos avuí diuen repensaran ridícul plegat infinit president catalunya treballa	passen dies denunciant autocar traslladar presos polítics diuen aprovarien pressupostos amo avuí diuen sho repensaran ridícul plegat és infinit ce president catalunya treballa	passar dia denunciar autocar traslladar pres polític dir aprovar pressupost amar avuí dir sho repensar ridícul plegar ser infinit ce president catalunya treballar	passar denunciar autocar traslladar pres politic aprovar pressupost amar avui repensar ridicul plegar infinit president catalunya treballar	train	1879088900	monnerserra
10994375828558725e+18	Si la setmana vinent decidim anar a les eleccions del 28-A, us agradaria que sortíssim al @FAQSTV3 a explicar la nostra proposta? Feu-nos-ho saber amb el hashtag #PiratesAlFAQS #FAQSstrubelTV3	AGAINST	setmana vinent decidim eleccions agradaria soíssim explicar proposta feunosho saber hashtag #piratesalfaqs #faqsstrubeltv	setmana vinent decidim eleccions a agradaria soíssim explicar proposta feunosho saber hashtag #piratesalfaqs #faqsstrubeltv	setmana vinent decidir elecció a agradar soíssim explicar proposta feunosho saber hashtag #piratesalfaqs #faqsstrubeltv	setmana vinent decidir eleccio agradar soissim explicar proposta feunosho saber hashtag #piratesalfaqs #faqsstrubeltv	train	64819521.0	im_dario
1045062904335265795	Consentir una manifestació a Plaça Sant Jaume de feixistes que ens amenaça és una irresponsabilitat del @catalangov @MiquelBuch  https://t.co/jY76ZIf9Uu	FAVOR	consentir manifestació plaça sant jaume feixistes amenaça irresponsabilitat	consentir manifestació plaça sant jaume feixistes amenaça és irresponsabilitat	consentir manifestació plaçar sant jaume feixista amenaçar ser irresponsabilitat	consentir manifestacio plaçar sant jaume feixista amenaçar irresponsabilitat	train	368508424	Mallus_Malleus
1102943734428246e+18	Titular alternatiu:  El ministre de l'Interior posa en dubte la mateixa realitat, i anuncia que deixa la política per dedicar-se a la filosofia . https://t.co/fYf68lHmk4	AGAINST	titular alternatiu ministre interior posa dubte mateixa realitat anuncia deixa política dedicarse filosofia	titular alternatiu ministre interior posa dubte mateixa realitat anuncia deixa política dedicarse filosofia	titular alternatiu ministrar interior posar dubtar mateix realitat anunciar deixar polític dedicarse filosofia	titular alternatiu ministrar interior posar dubtar mateix realitat anunciar deixar politic dedicarse filosofia	train	390289144.0	gerardMJuan
1046425772653727746	En un bar de Sant Joan de Vilatorrada:  Tens el president del partit a la garjola i la secretària general a l'exili per haver fet un referèndum i els del partit proposen fer-ne un de debò... 	FAVOR	sant joan vilatorrada tens president pait garjola secretària general exili referèndum pait proposen ferne debò	bar sant joan vilatorrada tens president pait garjola secretària general exili fet referèndum pait proposen ferne debò	bar sant joan vilatorrada tensar president pait garjola secretària general exili fer referèndum pait proposar ferne debò	sant joan vilatorrada tensar president pait garjola secretaria general exili referendum pait proposar ferne debo	train	1137410166	Almat49
1041394524281602048	@aramateix @cupnacional @CUPBarcelona foreceu noves eleccions JA... apartem als qui el 21D van enganyar als seus votants i ara s'han tret la màscara autonomista  amb polítics sense coratge ni projecte que no compleixen el mandat del #1oct NO AVANCEM  @cupnacional... feu valer els nostres vots... tenim pressa	FAVOR	foreceu noves eleccions apaem enganyar votants shan tret màscara autonomista polítics coratge projecte compleixen mandat #oct avancem valer vots tenim pressa	foreceu noves eleccions apaem d enganyar votants ara shan tret màscara autonomista polítics coratge projecte compleixen mandat #oct avancem feu valer vots tenim pressa	foreceu nova elecció apaem d enganyar votant ara shan treure màscara autonomista polític coratge projectar complir mandat #oct avançar fer valer vot tenir pressa	foreceu nova eleccio apaem enganyar votant shan treure mascara autonomista politic coratge projectar complir mandat #oct avançar valer tenir pressa	train	181679209	albert_orta
11034139595694285e+18	@dhv1976 @AresCases Tothom sap que l'esquerra autèntica recolza ferotgement la República Catalana i que no dona suport a fanàtics d'ultradreta com Torra	AGAINST	tothom esquerra autèntica recolza ferotgement república catalana dona supo fanàtics ultradreta torra	tothom sap esquerra autèntica recolza ferotgement república catalana dona supo fanàtics ultradreta torra	tothom saber esquerre autèntic recolzar ferotgement república català dona supo fanàtic ultradreta torra	tothom saber esquerre autentic recolzar ferotgement republica catala dona supo fanatic ultradreta torra	train	1.0941573744227697e+18	DaQs69218543
1036848727409999872	@JoanTarda Referèndum sobre Estatut i Independència? Però què és això A Escòcia va ser així? Oi que no? Ja prou Tardà de veritat, prou. Per molt que repeteixis cada dia el mateix la gent no t'ho compra i espero que no t'ho compri mai.	FAVOR	referèndum estatut independència però això escòcia així tardà veritat repeteixis mateix gent compra espero compri	referèndum estatut independència però és això escòcia així tardà veritat repeteixis dia mateix gent tho compra espero tho compri	referèndum estatut independència però ser això escòcia així tardar veritat repetir dia mateix gent tho comprar esperar tho comprar	referendum estatut independencia pero aixo escocia aixi tardar veritat repetir mateix gent comprar esperar comprar	train	181679209	albert_orta
10961507954127994e+18	En Yokomizo vs l'Amuro d'aprenents d'en Kogoro #DetectiuConan3XL	NEUTRAL	yokomizo amuro aprenents kogoro #detectiuconanxl	yokomizo vs amuro aprenents kogoro #detectiuconanxl	yokomizo versus amurar aprenent kogoro #detectiuconanxl	yokomizo versus amurar aprenent kogoro #detectiuconanxl	train	2572858944.0	LadyIsaMistery
