id_str	TWEET	LABEL	preprocessing_A
1097475970355904514	Cansado de los eslóganes de izquierdas y derechas. Quiero un país que progrese, que acabe con los chiringuitos, los privilegios políticos, las condonaciones bancarias a los partidos que olvidan a las personas ¿es izquierdas o es derechas? Sinceramente me da igual, quiero valores https://t.co/j1Ztzi1GC2	AGAINST	cansar eslogan izquierdo derecho querer progresar acabar chiringuito privilegio politicos condonación bancario partido olvidar persona izquierdo derecho sinceramente igual querer valorar
1093133896936505345	Le recuerdo a @EnricJuliana que en Cataluña los no indepes no nos podemos manifestar!!! #RelatorARV	NEUTRAL	recordar cataluña indepes manifestar #relatorarv
1103731753729036289	Me parece muy raro que la gallifanta y toda la patulea indepe no hayan hecho mención alguna a las declaraciones de los testigos que comprometen a los golpistas. Van a tener que tomar Almax para digerir bien la realidad   #JuicioProces	AGAINST	gallifanta patulea indepe mencion declaración testigo comprometer golpista tomar almax digerir realidad #juicioproces
1099293470487908350	Así es Inés Arrimadas: su carrera en 10 vídeos https://t.co/AgHYYeboN4	NEUTRAL	ines arrimar carrera videos
1102981063507349504	RT @omundodaboIa: Melhor lateral direito do Mundo!🔥🔥 https://t.co/zuVcUuTOCg	NEUTRAL	melhor lateral direito mundo
1095987315930001408	? #EnDirecto @rogertorrent cree que la intervención de @junqueras se leerá  en los libros de historia  #JuicioProces https://t.co/xIuUKKWTze https://t.co/FuQOlnAyQz	AGAINST	#endirecto creer intervencion leera libro historia #juicioproces
1103584737166278657	RT @PJuvencioC: @lopez_vallet Hitler hizo exactamente lo que los indepes, pervertir la ley mediante el fraude para acabar con todos los con…	AGAINST	hitler exactamente indepes pervertir fraude acabar
1093207322019708933	@RupertCocke @sarcasmodigame @MariadelMarMen9 Estoy de acuerdo, pero es que no se ha empezado ni a debatir… Para ir de la A a Z, lo importantes es pasar por B C D E…, es decir, introduciendo la democracia directa poco a poco... A TODOS los políticos (incluidos indepes) les interesa mantener la Partidocracia.	FAVOR	estar acordar empezar debatir para importante pasar decir introducir democracia directo poco todo politicos incluir indepes interesar mantener partidocracia
1097816125608468480	Aquí tenéis la miga del independentismo. Alguien q llama invasores a quienes han sido elegidos democráticamente (no a dedo como los presidents) Alguien cuyo argumento es el insulto, alguien q dice q ¡Cat es una nación! ¡Y anterior a España! Discípulo d Cucurull y d la estulticia https://t.co/2xVsKf00EZ	AGAINST	aqui migar independentismo alguien llamar invasor elegir democraticamente dedo presidents alguien argumentar insultar nacion españa discipulo cucurull estulticia
1096158172685967360	Duro artículo de 'The Washington Post':  España está juzgando a su democracia  https://t.co/6bO7H8U5Pk	FAVOR	durar articular washington post españa juzgar democracia
1103710517686927360	Abascal responde al boicot del PSC al gran acto de Vox en Barcelona:  Sois los tontos útiles del separatismo . por @Maiteloureiro_  https://t.co/3HbE5tq5mR vía @libertaddigital	AGAINST	abascal responder boicot acto barcelona ser tonto utiles separatismo
1042339346467172352	@pilarc_pilarc Ten, manipuladora 💅💅 se te cayó el  ME ESTAS HABLANDO EN POLACO??  que le suelta el fachamierda primero #ZASCA  https://t.co/XQ08KuVgtI	FAVOR	manipulador cayo este hablar polaco suelto fachamierda #zasca
1099396504622694401	@Anteridio @aldebarando79 @javilm @Nonius9 @TomsGonzlez1 @maxpradera Las pulgas de mi perro no son perro, son pulgas, aunque vivan en mi perro. (en Cat pasa lo mismo con el fascismo unionista ) Y son muy molestas y transmiten enfermedades.	FAVOR	pulga perro perro pulga vivir perro paso fascismo unionista molesto transmitir enfermedad
1097605276214140928	RT @claudiperez: “Nunca ha habido un acuerdo con los independentistas”, dice Sanchez. “No había condiciones” para votar a favor de la moció…	FAVOR	nunca acordar independentista sanchez condicionar votar favor mocio
1098928879698407424	#rumbournasarv Lo mejor que puede hacer Arrimadas es largarse a Madrid, que en breve se convertirá en el establo general de la ultraderecha.	FAVOR	#rumbournasarv arrimar largarse madrid convertira establo ultraderecha
1097803979990462464	Que manía de preguntar a @Lroldansu si @CiudadanosCs pactará con Vox, es una fuerza de momento extraparlamentaria y además aún no conocemos su programa, lo que tenemos claro es que no pactaremos con quien quiere romper España! #ObjetivoElecciones https://t.co/aUcKsMpSEt	AGAINST	mania preguntar pactar forzar extraparlamentario conocer programa pactar romper españa #objetivoelecciones
1103054071009865729	@verumfabula64 @PtfLaSilenciosa @joseantich @elnacionalcat Y el Parlamento está sometido al control judicial Recuérdaselo a los independentistas, que tienen memoria selectiva y esta parte no les mola 😜	AGAINST	parlamentar someter control judicial recuerdaselo independentista memoria selectivo mola
1097307257652629505	Maduro, una pregunta: ¿ De verdad, tú vas a ordenar que militares y civiles armados disparen a matar contra ese río humano de ciudadanos venezolanos, desesperado por pan y libertad?  ¿Y Uds, militares acometerán ese crimen de lesa humanidad?  https://t.co/R09IaHxFTC	NEUTRAL	maduro preguntar verdad ordenar militar civil armar disparar matar humano ciudadano venezolano desesperar libertar militar acometeran crimen leso humanidad
1093266331099631616	@ghoficial @XLoganLobeznoX Sofía a la calle no nos toméis el pelo	NEUTRAL	sofia callar tomeis pelar
10920481672128635e+18	RT @JotaMSilvaA: EuroVisión del padecimiento. #Puigdemont y el grito de Munch, por Xavier Sardà https://t.co/SX8uNDxCYo	AGAINST	eurovision padecimiento #puigdemont gritar munch xavier sardo
1097643173118132224	Vergonzoso ataque de Álvaro Ojeda a Àlex Granell por dar apoyo a los presos | vía @En_Blau_es https://t.co/h7vwgIQmJm	FAVOR	vergonzoso atacar álvaro ojeda àlex granell apoyar preso
1092187465056731140	Viendo quién está apoyando al golpista de Guaidó, me reafirmo que estamos en el lado correcto compañer@s. Casado, Rivera, Abascal, Sánchez, Carmena, Trump, Macrón, UE, y este individuo????, apoyan el golpe. https://t.co/fr2nzCI2GR	FAVOR	ver apoyar golpista guaido reafirmar correcto compañer@s casado rivera abascal sanchez carmenar trump macron individuo apoyar golpe
1097577072179007489	@spaincrisis Yo he soñado esta noche que el Congreso Madrileño,  estaba lleno de diputados Catalanes  indepe!! Me he levantado de contenta!???? Yo votaré!	FAVOR	soñar noche congreso madrileño llenar diputar catalán indepe levantar contento votar
1102604845972901888	El actual presidente de la Cámara catalana reivindica un segundo referéndum para solucionar la crisis territorial: “Tengan presente que volveremos a votar” @sergiquitian https://t.co/FIwhhE4gXh	NEUTRAL	actual presidente camara catalán reivindicar referendum solucionar crisis territorial tener presentar volver votar
1102646157279412225	¡Atentos!: El lobby del juego se reunió con 96 políticos españoles en 2018 para presionar a favor del sector. Y aparecen estos nombres: Pío Cabanillas y Rafael Catalá (Codere) al exdiputado Andrés Ayala (Orenes), ¿ #MáspartidopopularMásIgualdad o #MáspartidopopularMásLudopatía ?  https://t.co/DRoKJiMKU7 https://t.co/IZ3IbBhkOd	FAVOR	atento lobby jugar reunio politicos español presionar favor sector aparecer nombre cabanillas rafael catala codere exdiputado andres ayala orenes #maspartidopopularmasigualdad #maspartidopopularmasludopatia
