Stance	text
FAVOR	my hat is seriously of to all those who made beijing such a breakthrough we dont say thank you enough #womensrights #semst
NONE	i dont buy a dress that i cant completely zip up and fasten on my own #semst
AGAINST	dont worry about all these feminists any press is god press i will be ordering products son #semst
NONE	lok we can discuss sexism in survival situations when i get back #jurassicworld #semst
FAVOR	no feminists are not ugly the fact that there isnt equal rights for both men and women is #feministsarebeautiful #semst
NONE	the mito eve model does not explicit prove ancestor it narrows down similarities to a matter of a degree #semst
NONE	who do i gotta fuck to never feel like i gotta fuck somebody #semst
NONE	c the hell was that video d the guy spelled break wrong e if megalodon is alive maybe its a she brewer #semst
AGAINST	amusing feminists fly into a creationist rage whenever their belief in the patriarchy is questioned #gamergate #semst
AGAINST	getting offended is the simplest most efective lie to manipulate others feminism religions love it #gamergate #semst
AGAINST	why do girlswomen spend so much time to be pretty and attractive and then complain if theyre reduced to a sex symbol #semst
AGAINST	i will say it again only a low self esteem person will be oppressed by bikinimodels ads get help #semst
AGAINST	#pretty#young #thing catchy mj song perfect sumary of discourses surrounding professional #female #disempowerment #gender #semst
NONE	saying #alllivesmatter instead of #blacklivesmatter is like saying equal rights for all instead of #semst
AGAINST	a quote from mother about being a woman we really got it shit didnt we aye bring on fourth wave feminism #thwavefeminism #semst
NONE	sjws prove that people are perfectly capable of acting against metaphysically given reality #gamergate #semst
NONE	kwink thewtfmagazine gamers are fatophobes ever notice there are no morbidly obese characters in video games #gamergate #not #semst
NONE	its an attempt at a parody #proteinworld #baltimoreriots #socialism #semst
FAVOR	pope francis christians should support equal pay for equal work #popefrancis #worldnews #society #women #semst
FAVOR	i dont ever need a man #yesallwomen #semst
FAVOR	my feminist heart is so angry right now wish i could scream my hate for inequality right now at the top of my lungs #semst
AGAINST	their other complaints are just fake shit they made up this on the other hand is amazingly controlling and entitled #semst
AGAINST	its not a pleasant world where if you disagree with feminists you have to fear for your life and freedoms #semst
FAVOR	 my schol taught us about the penis but never mentioned the clitoris #semst
AGAINST	anyone find it funny that #feminists use #takeitlikeaman when they dont want to understand what it means to be one #semst
FAVOR	sometimes i overheat and want to take of my shirt but cant because of social expectations of people with breasts n #semst
AGAINST	literally you are so on point about the male gaze and bs about fake nerd girls #semst
AGAINST	then theres the added level of irony their chosen figureheads not really body positive amirite #semst
AGAINST	women should come with a moneyback guarantee if this doesnt work out because youre a dumb bitch i should get my money back #semst
FAVOR	when is it ok for a married yearold ceo to use his power and influence to shag his yearold intern #askhillary #semst
NONE	well you are right its pointless for you to try youre still an example of why there are #semst
NONE	everfetching i wanna chat with a feminist or a feminazi at the the moment just to hear sides ya know #feminist #feminazi #semst
FAVOR	i shouldnt have to be holding a mans hand to be left alone on the street #catcalling #streetharassment #equality #semst
AGAINST	hey fellow feminists we need to fight back against this ridiculous warglorifying that celebrates #men #triggered #transpatriot #semst
AGAINST	someone should do a #meminist frequency video response highlighting the violence against men portrayed in video games #semst
NONE	video games are a form of art censorship would be comparable to practices by fascist germany during wwii #gamergate #semst
FAVOR	why is paul elam not one of the most hated men alive right now #feminist #semst
FAVOR	i hope you get raped is apparently how misogynists say how dare you not bend to my will #yesallwomen #semst
NONE	true but its in quotes and i had to take the opportunity to promote #semst
FAVOR	dont let anyone elses perception of you define you or your beliefs and dont feel you have to justify your own worth #semst
NONE	i take some solace in knowing that at least it means they dont know who that useless hack is #semst
NONE	disgusted to see you were selling dvds of fifty shades of grey in your chillingham road branch #semst
AGAINST	the representation goal of feminism has gone from invent more female characters to replace all male characters #semst
FAVOR	i love that girl on what the hell way to diminish womens soccer #uswnt #semst
AGAINST	a year of relentless harassment of folks talking about rape abuse on #yesallwomen thriving rape culture on social media #semst
FAVOR	because young girls are told not to be raped instead of telling boys not to rape #semst
AGAINST	or slow down your car to yell at me while i wait for the bus #whattheactualfuck #semst
FAVOR	has an article on women and politics in this months its a must read #generalelection #politics #women #semst
FAVOR	 nothing like dudes joking about molesting me right to my face #semst
FAVOR	they dont call it malevolent for no reason #semst
AGAINST	hey firstworld country white women bitching about gender inequality youre going to be fine #killallmen #semst
