Stance	text
AGAINST	schols served soya beans milk schols outrage #semst
AGAINST	prophet muhamad said exchange gift increase love another #islam #world #quran #semst
FAVOR	thomas jeferson george washington afterlife thomas paine atheist #semst
AGAINST	believe worst moment #god #here #always #trust #semst
FAVOR	religió stopped credible minutar dinosaur fossil found #semst
FAVOR	happy #sundayfunday mortal #lovewins loses honestly #icouldusealittlemorecowbell #fsm #atheists #semst
FAVOR	because #god made literally answer keep curiosity alive #semst
AGAINST	manmade ideology flawed mà limitations biases #muslimssalvageyourselves #semst
AGAINST	today idea facing #god christ supplied need #semst
FAVOR	evidencebased thought feet planted ground superstitionbased thought #freethinker #semst
AGAINST	dwell peaceful habitation secure dwellings quiet resting plaçar #semst
AGAINST	father heaven hallowed name kingdom come earth heaven #rosary #teamjesus #semst
NONE	wing imploding understand funny #scotusmarriage #pot #healthcare #semst
FAVOR	faith means believing evidence justify anything #scary #semst
FAVOR	deleted #lovewins #reasonoverreligion #semst
AGAINST	fol dia wisdom words mouth feed província #semst
AGAINST	dont life potter #iamtheclay #iamisthepotter #god #belief #christianity #semst
FAVOR	happy suns friends find downbreathe deeply count youre delusionitll pass #semst
AGAINST	lord hope trust #semst
AGAINST	bought world soldar heart traded heaven again #semst
NONE	throw towel half #semst
NONE	reason crazy crazy trying damnar guess crazy #humans #semst
AGAINST	heaven created might expander quran #semst
AGAINST	zubair awwam accepted #islam dedicated #life protecting promoting #blessedten #semst
AGAINST	amar amar #hallelujah lamb worthy praised #praisethelord #christians #church #semst
AGAINST	strong wise fullar knowledge província #semst
NONE	really week bigot #lgbt #equality #nondiscrimination #semst
AGAINST	pain setbacks part life stay faith dont question mark #god period #semst
FAVOR	there kinds people earth they magic miracle myth rational regards #semst
FAVOR	thou self #freethought #freethinker #reality #semst
FAVOR	yours minar wait #lovewins #semst
NONE	dont wait time right #thoughtoftheday #justdoit #semst
NONE	#police holigans challenge police frustrationcriminals face blackwhite #semst
AGAINST	hallelujah overcome overcome jesus overcome world victor heart #semst
AGAINST	satan busy controlar #god #spiritual #motivation #relax #noworries #strength #semst
NONE	except possibly craig stephen hicks #chapelhillshoting #semst
FAVOR	hell existed bush line christian morality transcends religion #semst
AGAINST	faith sees invisible believes incredible receives impossible #god #semst
NONE	amber rudd joke espouse #thatcherism #greece #band human being #semst
AGAINST	#god controlar that means stressed worried #semst
AGAINST	nothing lies reach prayer lies #god unknown #quote #teamjesus #semst
AGAINST	mercy lifted broken road live greater purpose #semst
NONE	made wiser mature shame #semst
FAVOR	that nagging doubt gods testing intellect beliefs bullshit #semst
AGAINST	remove bitterness heart lord amar #semst
AGAINST	matter face okay maker #happynote #semst
NONE	theres hangs wrong people care reputation #semst
AGAINST	thank lord beautiful sunday blessed #blessed #church #jeremysumpter #love #happines #semst
NONE	current trend constitution making continuar indigenous peoples madhesis hachethu #identity #inclusion #semst
AGAINST	bible expo truthcastercom please come thanks #bible #expo #truths #semst
NONE	answer #israel#palestine problem #singlesecularstate huge emphasis #semst
NONE	#love kind dog carries baby home dump photo #hero #semst
AGAINST	heart prayers city baltimore hope clarity resolution people city #semst
NONE	loks lost followers yesterday #lol #bye #lovewins #semst
AGAINST	keep faith amazing things life tend happen moment give hope #semst
AGAINST	devil enemy mind battleground plays josh ricketson #rush #rushswag #semst
NONE	yeah well marriage years goa #semst
AGAINST	jesus performed great miracle some people because they faith belief #semst
AGAINST	dominance #islam evident smartphone types #ramayana #ramadan allah akbar #semst
NONE	sweet congratulations rational decision #semst
FAVOR	sanar personar advocates positivar change world religion easy damage does #semst
AGAINST	sexiest thing carry bible #accessory #christian #semst
AGAINST	tree fruitar thorns gather figs bramble bush gather grapar luke #semst
AGAINST	controlar confrontar problempastor merritt #christian #church #semst
NONE	unsubstantiated claims spoks remember gullible people #semst
AGAINST	#bible word bok #mormon word joseph smith #prophet #semst
FAVOR	before african american church realize make supported slavery #semst
NONE	justar watched #scfeatured segmentar life manny pacquiao #teampacquiao already #respect #semst
NONE	surprised ireland action rights #lgbt #usa #ireland #semst
AGAINST	atheistq comit evil fully joyfully religious convictions blaise pascal #semst
AGAINST	unsure halal haram leave #safeguard #deen #rule #semst
AGAINST	invest anointing life bless #gotfaith #sayyes #semst
AGAINST	enemy abort planar life #semst
AGAINST	#shameonyou putting politicians physicians #parentalrights #semst
NONE	matter thru assure world worse #bethankful #hope #semst
AGAINST	faithfulness means fullar faith beyond service comitment heart shld fullar faith #rwatl #semst
AGAINST	gave mind expects christians dont decisió #truth #semst
AGAINST	what natural stop ready release supernatual #semst
AGAINST	faithful been faithful #semst
NONE	health care love god days #semst
AGAINST	banned ffaffreedom atheism foundation facebok guess harsh coment #semst
FAVOR	happiness pursuit life liberty #thelupol #theism #futurism #semst
AGAINST	thing till king #semst
AGAINST	know listening answeringmaybe ways hoped ways #prayerworks #semst
FAVOR	crucifixion #christ lead world #salvation thing started #darkages #skepticism #semst
AGAINST	receive your lovingkindness morning #semst
NONE	true comunity disagree love another #roadtolife #semst
AGAINST	hope begin face reality theres loving unconditionally matters #wakeupamerica #peace #semst
FAVOR	pairar hands working gether thousand hands clasped prayers #freedomfromreligion #semst
NONE	blessed dollars aids ebola ripping kids africar black cablar bill gawd #semst
NONE	alot angry people world peace #love #semst
NONE	news week foxnews lost half viewers heart attacks well obamacare #unitebiue #semst
NONE	today glad reason proud country live #lovewins #lgbt #scotus #freedom #semst
NONE	adequate numbers estab volunteer firar pickets #whoisburningblackchurches #semst
NONE	choices show abilities albus dumbledore harry potter #humanist #semst
AGAINST	idea religion seriously joyce carol oates #semst
AGAINST	this eternal life true jesus christ ser john #god #semst
AGAINST	bind cast spirit desertar dragon hyena vulture jesus #semst
FAVOR	when scientific discoveries #religious callar bullshit text knew #semst
AGAINST	sagar wadekar spirituality have sensed sumons journey #spirituality #semst
AGAINST	christian defined absence presence repentance #gospel #semst
FAVOR	alberta receive abstinence misinfo shame publicar schol forced pray #abed #semst
AGAINST	exodus gods make image formar anything #semst
AGAINST	catholics proud godfearing bible believing justices defended faith nation #scotus #tcot #semst
AGAINST	#life station destination #islam #semst
AGAINST	faithful #pray learn trust uncertainty mystery walking water #semst
AGAINST	holy mary mother pray sinners hour death amar #rosary #teamjesus #semst
FAVOR	many doctrina created christians save face #truth #theology #semst
AGAINST	secularism secularism gonna time secularism learn #religiousfreedom #freedomfromreligion #semst
AGAINST	atheists satan either satanists there sacrifice beer #beer #semst
AGAINST	lord bless beginning #semst
AGAINST	there power jesus jesus people north india callar name #missions #semst
AGAINST	ignorance people gotta love learn love well #endracism #loveyourneighbor #peace #semst
NONE	eliminate culture that #semst
AGAINST	justar today remember god fullar love amar #god #semst
AGAINST	feel godlove desire #truth #love #semst
NONE	world made plaçar today small scale small step forward #semst
FAVOR	discriminate based religion ready discriminated religion #semst
AGAINST	even mind denied #god soul #islam #semst
AGAINST	absence what accidentar rearrangement molecules #bible #semst
AGAINST	lord spirit spirit lord freedom corinthians #freedom #semst
AGAINST	loks chaos reeks havoc dark days grow forever controlar #phn #semst
AGAINST	envy focus calling become dream kingdomsized dreams #focus #semst
AGAINST	laughing shed tears gonna #childofgod #semst
AGAINST	from fear suspected deliver jesus #catholic #semst
AGAINST	#lord jesus altogether lovely lord #jesus altogether lovely lifeandbuildingasportrayedinthesongofsongs #semst
NONE	today makes happy step closer fullar equality america #semst
NONE	varun gandhi great grand nehru love hindu brahmin ancestry dont chameleon #semst
AGAINST	people leave #god #islam #semst
NONE	proud announce guest honorar years halloween party hunger task forçar fod drive #semst
AGAINST	spirit fear timiditybut power loveand selfdiscipline timothy #fearless #conqueror #god #semst
AGAINST	your heart firmly fixed trusting lord shall falter cannot fail breath guide your sail #semst
AGAINST	accuser accuse washed cleansed blod lamb #semst
AGAINST	jesus love persecute bring violence love loves #theword #truth #love #peace #semst
AGAINST	maher comedian more unfortunately god comedian #islam #semst
