Stance,text,predicted,true
AGAINST,woman deliberately destroys fetus answerable murderst basil great #semst,0,0
AGAINST,also abortion wrong biblically morally imaginar chance live life think #semst,0,0
AGAINST,people nuts #onepercent finar population deciding fate #obamacare #marriage #semst,0,0
AGAINST,students life north campus student union speaking #semst,0,0
NONE,harry favorite characters alive #semst,0,2
AGAINST,fight unborn #semst,0,0
NONE,hate lgbt disagree samesex marriage #sacramentofmatrimonyissacred #semst,2,2
FAVOR,captors bornar longer part body pregnant woman thats diference #semst,0,1
FAVOR,concerned womens health controlar stay outta lady part patrick #semst,1,1
AGAINST,funk chris christy republican yeah rino #nra #cos #ccot #tgdn #pjnet #wakeupamerica #semst,0,0
AGAINST,ireland unborn child constitutional protection long continuedyouth #semst,0,0
NONE,days #kansas conservatiu #ksleg courts #scotusmarriage #scotuscare #scholfunding #sweep #semst,2,2
AGAINST,problem birth controlar free thing again solution murder god idea #semst,0,0
NONE,planned pregnancy election datar times #semst,0,2
NONE,outsmart #satan thousands years #scotus #marriage #isis #lovewins #semst,2,2
AGAINST,#right #life #first #humanrights popar francisyouthgen #semst,0,0
AGAINST,abortion make unpregnant makes mother dead childisright #semst,0,0
AGAINST,abortion workers charged manslaughter after another woman dia from #semst,0,0
AGAINST,#obama cara deserters unborn babies #protecttheunprotected #antiabortion #semst,0,0
FAVOR,body live dismiss problem #semst,2,1
AGAINST,please join pray global holocaust abortion #semst,0,0
NONE,christian coward#repkevincalvey #libcrib #uniteblue #semst,2,2
AGAINST,wears shoes hurts prolife #thereadclub #semst,0,0
AGAINST,forcing women change bodys normal function epitome controlling women #semst,1,0
AGAINST,#america nation under #violence #racism #samesex #lustwins #populationcontrol #hate #atheism #secularism #semst,2,0
AGAINST,human beings womb harvest transplant organs human beings #semst,0,0
FAVOR,reasoning horrible talking abortion death #semst,0,1
NONE,life #semst,0,2
NONE,kingdom founded violence long controlar vice brought existence comentary judges #semst,0,2
AGAINST,sizelevel development environmentdegree dependency afectar humà value fetus human #prolifeyouth #semst,0,0
AGAINST,doctor guns perform abortions liberal opposed #liberallogic #semst,0,0
NONE,whos #dail talking bullying bullying finar gael bullying members #semst,0,2
AGAINST,where right when right conception #antichoice #semst,1,0
NONE,possible #bristolpalin #semst,2,2
AGAINST,they abort millions progressiu future #downfall #semst,0,0
NONE,nowhere care #semst,0,2
AGAINST,alright #scotus order business overturning #roevwade #semst,2,0
AGAINST,god reminder million children granted opportunity share breath #equality #semst,0,0
AGAINST,disturbing thing planet flod streets #blod #children #happyearth #semst,0,0
NONE,hand smells dick #semst,2,2
NONE,last meeting year tonight casar hall rom come pizza provided,0,2
AGAINST,brain heart unique mothers alive human please kill #semst,0,0
AGAINST,legalized tweetinginsteadofprocreating discriminates unconceived child #worstargumentever #lolanti #semst,0,0
AGAINST,handle importantlike murder #semst,0,0
NONE,follow news people married that #semst,2,2
AGAINST,utilized wonderful gift choice #prochoice #semst,0,0
NONE,what happened pastar make cruel frighteningly hardhearted woman #waronwomen #semst,0,2
NONE,sweden #womangolf #letsgo #semst,2,2
AGAINST,#god #live plaçar inside #mother phil robertsonyouthgen #semst,2,0
AGAINST,agree marriage agree prolife adoptar babies aborted,0,0
FAVOR,passar judiciary cmtethis bill efort shame women personal private medical decision #semst,1,1
FAVOR,abortion illegal judge woman making choice #semst,1,1
AGAINST,counting loking forward standing life #semst,0,0
AGAINST,were human every human life worth same worth saving rowling #semst,0,0
AGAINST,contraceptive mandate challenged #scouts times lost times #contraception #semst,2,0
NONE,draw line arbitrarily drawn draw anywhere nonsense #semst,0,2
AGAINST,#signsyoureintheusa pull baby womb stick knife head kill child #semst,0,0
FAVOR,progress #africanamericans check progress #gay people check progress #women waiting waiting waiting #semst,2,1
AGAINST,bernie sanders there people chance people chance share #semst,0,0
NONE,that lady help mental illness issue #semst,2,2
NONE,ready abortion debate #semst,0,2
FAVOR,choice womans abortion votar issue #semst,0,1
AGAINST,#equality babies live #semst,0,0
AGAINST,last pastar thiswhy abortion providers dismember fetus alive that soundshideously inhumane #semst,0,0
NONE,keep god work they nutters #semst,2,2
AGAINST,bday grateful parent gave #adoption #nochoiceisevereasy #semst,0,0
AGAINST,planned parenthod lines pockets sacrificing women children altar abortion,0,0
AGAINST,deny basic human life unborn babies #lifewins #endthediscrimination #semst,0,0
FAVOR,time antiabortion laws lead unsafe illegal abortions #semst,0,1
FAVOR,needed safe medical procedure women unfortunately make womens decisió #semst,1,1
AGAINST,feminist prochoicer simply carry beliefs logical conclusion #faminism #yesallwomen #semst,2,0
AGAINST,okay declaring protecting equality unborn #scotus #murder #semst,0,0
AGAINST,god riddance millions black babies hope misunderstanding #semst,0,0
AGAINST,abortion selfdefense shoting rapist kittington #pjnet #tcot #semst,0,0
NONE,great meeting today guys reading tweet welcome team excited expand team sobhy #semst,2,2
NONE,what leftists putting americà danger #tcot #uniteblue #lovewins #lgbt #scotus #semst,2,2
AGAINST,pregnancy turn deadly time warning forçar someone #semst,2,0
AGAINST,charged manslaughter after another woman dia from #semst,0,0
NONE,time pop posting #dyslexic #oneinthesame #semst,0,2
AGAINST,children millions aborted #everylifematters #semst,0,0
AGAINST,idiot feel aborted fucking dead #semst,0,0
AGAINST,agree choice womans life danger rapar baby deserve death crime hisher father #semst,1,0
AGAINST,plannedparenthod agenda money killing babies business minority genocide resultar #ccot #semst,0,0
FAVOR,planar abortion thing pla #semst,0,1
NONE,remember gat hell prevail #gaymarriage #semst,0,2
NONE,findin budget compromise process #brownback #income #thestate #semst,2,2
AGAINST,sweat killed victim extremar deadbeat parent innocent babies abortion #scotusabortion #semst,0,0
AGAINST,unthinkable shameful acceptable encouraged desirable evolution killing defenseless #semst,0,0
AGAINST,lets agree kill baby uterus #dnc #clinton #procompromise #semst,0,0
AGAINST,kill claim made mistake true jail killing spouse,0,0
NONE,tok disciplinar tobacco made airtight filled home energy climate lies evil energy soared #semst,0,2
AGAINST,#persons determined #size #prolifegen #prolifeyouth #semst,0,0
AGAINST,kill children fear poverty provide indeed killing great #quran #semst,0,0
NONE,bigger problems #christians #marriage #worldhunger #cleanwater #sextraficking #slavelabor #womensrights #thelost #semst,0,2
AGAINST,anything destroys gods gift motherhod destroys precious gift women #motherteresa #semst,0,0
FAVOR,bernadette smyth ignorar thunder cunt life body business #itsaballofcellsnotababy #newsni #semst,0,1
NONE,power pray #nepal #baltimore #isis #kenya #genderchange #injustice #slavery #racism #middleeast,2,2
AGAINST,alvedaking disturbing thing planet flod streets #blod #children #happyearthd #semst,0,0
AGAINST,preach black sherif says #blacklivesmatter theyd protestar abortion clinics #choselife #alllivesmatter #semst,0,0
AGAINST,they eliminated #murder they callar #name #prolifeyouth #prolifegen #semst,0,0
NONE,waiting answer wealding authority stop disobey government #semst,0,2
AGAINST,kill darlings advice feel abortionist unfinished stories #writing #literary #semst,0,0
FAVOR,happy hear #scotus blocked closing abortion clinics appeal heard #safelegalrare #thinkprogress #semst,0,1
AGAINST,sinners humà kill human being wanted #scl #thoughts #semst,0,0
NONE,every time respond frustrates steal time happiness #easyweightloss #semst,0,2
AGAINST,#humans role #god #racheldolezal #caitlynjenner #scotusmarriage #semst,2,0
NONE,today proverbial straw broke back america matter time weve #lovewins #semst,2,2
NONE,tell #prolife lying their gullible followers misinformed #uniteblue #semst,0,2
AGAINST,nation kills children nation hope popar saint john paul #prolifeyouth #alllivesmatter #semst,0,0
AGAINST,women bodies #thingsyoudontsayasapolitician #semst,1,0
AGAINST,hillary champion women unborn #semst,0,0
FAVOR,what great argue benefits making abortion legal #semst,0,1
FAVOR,kudos mentality believes people dumb protection mature enough care baby #semst,0,1
NONE,#bristolpalin professora #abstinence education work afordable access contraception #semst,2,2
AGAINST,premeditated taking innocent human life degree murder #semst,0,0
AGAINST,abortionists refused comply constitutional comonsense standards #naral #semst,2,0
AGAINST,hadnt october baby night crying thingi moure touching #adoption #semst,0,0
AGAINST,justar owned woman works planned parenthod #factsonly #semst,0,0
NONE,bristol palin lectura guys thats #hypocrisy #minutes #semst,2,2
NONE,jesus trust things trust world #semst,0,2
AGAINST,plenty stem cell baby smashing #semst,0,0
NONE,follow #patriot thanks back #truth #liberty #justice #proisrael #wakeupamerica #freeamirnow #semst,2,2
NONE,hospital signed legislation #semst,0,2
AGAINST,abortion feminism babys body yoursisright #semst,1,0
AGAINST,save baby humà #waar #semst,0,0
NONE,large part dificultar write imaginar read fucking thing #semst,0,2
NONE,someone snitched playing naked twister teens cock blocking children #semst,0,2
FAVOR,#gop mala telling body,1,1
AGAINST,#love delight #evil #rejoices #truth #loving requires speaking truth #protestchildkilling #semst,2,0
