Stance,text,predicted,true
AGAINST,#carlyfiorina #hannity impressive presidential candidate actress #semst,0,0
AGAINST,support lets people unfollow #election #semst,1,0
AGAINST,hillary prison anymore obviously worried future,0,0
AGAINST,lied costar gala fined jail unfit ofice #semst,2,0
NONE,thanks follow david bless family #freeallfour #semst,0,2
NONE,agree surprised bush money moderate #semst,0,2
AGAINST,breaking news #hillary trades campaign bromstick #semst,0,0
AGAINST,looking forward #cuba expanding majorar expos pick trucks conveed into rafts exciting #tcot #semst,0,0
FAVOR,told aunt volunteer campaign support #semst,1,1
AGAINST,yall #texastech #redraiders ready #marcorubio #ttu #texastechuniversity #rubio #texas #semst,0,0
AGAINST,hillary stop pretending supporting lgbt people opposed lying conniving human #semst,1,0
AGAINST,says millionaire politician accepts countries executar gays #hypocrite #wakeupamerica #semst,0,0
AGAINST,jobs #hillaryclinton responsible creating even security entitlement #semst,0,0
AGAINST,gave unhealthy amount hardearned money govt untrustworthy #whyimnotvotingforhillary,0,0
NONE,without blacks minority voters wont happen #semst,0,2
FAVOR,hillary #baltimore champion #baltimoreriots #semst,0,1
NONE,then slippery snakes slither shards glass #semst,2,2
FAVOR,reestablish #global system dominated love afection #moralhumane,2,1
NONE,apply internar #semst,0,2
FAVOR,justar awesome supporter hillary strong woman country #fellowsnv #semst,0,1
AGAINST,obsessed emails transparency hillary clinton destroy emails #clintonemail #semst,0,0
AGAINST,with continued #obamas admin policymaking #usa #greece #wakeupamerica #semst,0,0
AGAINST,nominee democratic party period shes gonna presidency #sorrybernie #semst,0,0
AGAINST,hoping resurrect hillarys term #semst,0,0
AGAINST,benghazi great people chronic liar power hungry animal #semst,0,0
AGAINST,#hillaryclinton stop lying #benghazi #clintonfoundation tia #terrorist #muslim #isis #semst,0,0
AGAINST,checked blog kudos keep #semst,2,0
NONE,never votar survival country #lovewins #semst,0,2
AGAINST,inaugural tweet account #semst,0,0
AGAINST,provar dishonesty flip flopping issue people opposed before #semst,0,0
AGAINST,hang long idiot completely destroy country #semst,0,0
FAVOR,great mentor #dcinsd shes qualified candidate running potus #semst,0,1
FAVOR,they lose trying #semst,0,1
AGAINST,manage #lol #wakeupamerica #stophillary #semst,0,0
AGAINST,realize #paytoplaydiplomacy #semst,2,0
AGAINST,more lies hypocrisy senator opposed marriage #semst,0,0
NONE,finar unethical illegal quid uranium deal works #semst,0,2
AGAINST,hillary clinton sending emails unsubscribe error message this cancer #semst,0,0
NONE,honies gittin money playing #bleep words dumies #poppa #semst,0,2
FAVOR,half favor #semst,0,1
AGAINST,woman teflon comitted enuf egregious crimes superglued dang wall #semst,0,0
AGAINST,love bern time #semst,2,0
NONE,ratar queen clarence thomas #semst,0,2
AGAINST,outrage smoke mirrors candidate hiding hill #spillhill #semst,0,0
AGAINST,where #lgbt pride condoms #billclinton assaulted #monicalewinsky #hillaryclinton #tlot #semst,0,0
FAVOR,#world supporting #semst,1,1
AGAINST,hillary lied deleted benghazi emails betrayed trust americà scandal scandal #semst,0,0
AGAINST,obama climate change bush blame hillary wing conspiracy baltimore #balitmoreriots #semst,0,0
AGAINST,thank #wakeupamerica #semst,2,0
AGAINST,hillary pandering logo #clintonfoundationscandal #clintoncash,0,0
NONE,tree smell #thatchampion #semst,2,2
NONE,plaçar cofee time grow grassrots #sctweets #semst,2,2
AGAINST,manage #lol #wakeupamerica #stophillary #semst,0,0
AGAINST,feel confident #semst,2,0
AGAINST,would wanna long term relationship bitch hides emails lies face then #dontvote #semst,0,0
AGAINST,people hear hillary press obstructing view #semst,0,0
AGAINST,#hillaryclinton champion datar removal #semst,0,0
AGAINST,heaven forbid invade space queen lies #semst,0,0
NONE,rebecca grandmother imigrated sunnybrok farm,0,2
NONE,elections #semst,2,2
AGAINST,hillary clinton driven #clintonfakerealityshow,0,0
NONE,perfect definition jibberish #uniteblue #semst,2,2
AGAINST,very simple clintons corrupt #semst,0,0
NONE,whatever marriage equality going watch #semst,2,2
AGAINST,words describe envy jaja #semst,2,0
AGAINST,manage #lol #wakeupamerica #stophillary #semst,0,0
NONE,problem #libertarian decreed party house devided itself stand news #semst,0,2
AGAINST,cuckold conservatiu more cuckoldry please #christie #donaldtrump #uniteblue #semst,0,0
NONE,happy voter mail #semst,1,2
AGAINST,biggest dumps info holiday weekend what state departament today #hillaryemails #liarliar #semst,0,0
FAVOR,oficial hillarys running president campaign chief excellent #semst,0,1
FAVOR,spoke today smart impressive #semst,2,1
AGAINST,hillary navy yard sniper firar #semst,0,0
AGAINST,queen city infested outofstate plate priuses driven millennials hillary bumper stickers #mht #semst,0,0
NONE,here thoughts ruling archaic nonscience based beliefs laws secular nation #semst,2,2
AGAINST,president votar #semst,0,0
AGAINST,#thedonald beauty pageant afloat president hell #semst,0,0
FAVOR,getting bumper sticker #lovewins #semst,0,1
NONE,stupid votar either #semst,0,2
AGAINST,hillarys campaign slogan hillary nothing hide truth #tcot #wakeupamerica #semst,0,0
AGAINST,interesting hillary defends questioned eventually answer questions #semst,0,0
NONE,much god people forgot #livetweetingbladerunner couple weeks #callback #potroast #cartography #blue #semst,0,2
NONE,thank #wakeupamerica #dumpboehner #ditchmitch #semst,0,2
AGAINST,this voting hillary #semst,0,0
AGAINST,great supports crops scepticism again science belief #jebbush #semst,2,0
AGAINST,expectar change continuar votar people chance long #bernie #semst,2,0
NONE,#everydaysexism only sexism restar yall shut #semst,0,2
NONE,huge cheer universal child care early childhod education #semst,2,2
AGAINST,insurgent what happen hillary dictator chief #semst,0,0
AGAINST,support secretar #nohillary #semst,0,0
NONE,dont care #fiorina taking #sexist punches #media #msm,0,2
NONE,feminist,0,2
AGAINST,years #hillary answered private email #liberal media passed reporting #semst,0,0
AGAINST,#christie claim #bridgegate fault wheel #gop #teaparty #tcot #dem #semst,0,0
NONE,platform #semst,0,2
AGAINST,scotus dealt blow hillary clintons campaign promise what running corruption lies deceit #semst,0,0
FAVOR,comit card collected hillary greenville #fellowssc #semst,0,1
AGAINST,birthday july gift idea #chillaryclinton #semst,0,0
AGAINST,sh iced #semst,0,0
AGAINST,manage #lol #wakeupamerica #stophillary #semst,0,0
AGAINST,compassion frontier hillary shes shell village comittee #semst,0,0
AGAINST,stand #billclinton assaulting teen girls #readyforhillary #hillaryclinton #clinton #semst,0,0
NONE,kaine #scotusmarriage what great victory #semst,2,2
NONE,hope #semst,1,2
FAVOR,monday nightdo hillary supporters rock hill amazing phone bank come joinhillaryforsc #semst,0,1
FAVOR,pollar numbers jumped hillary winning nomination #semst,0,1
NONE,made decision shock probably supporting #semst,2,2
AGAINST,tweet#potus candidata #guncontrol read articleesp #jebbush make #gunviolence worse #gunsen #semst,1,0
AGAINST,that woman corrupt truthful thought #semst,0,0
NONE,#thingsyoudontsayasapolitician feel ways tired back line what diference make #semst,2,2
FAVOR,meet hillary clinton died back life happy #idol #semst,0,1
FAVOR,callar bill presidentthe president #imreadyforhillary #semst,1,1
NONE,thank adding list,0,2
AGAINST,#emails couple faceboks #totalincompetence #rednationrising #semst,0,0
AGAINST,chris christie president hahahahaha #clinton #hilary #semst,0,0
AGAINST,manage #lol #wakeupamerica #stophillary #semst,0,0
AGAINST,#hillaryclinton bok smaller venues rallies empty seats #semst,0,0
FAVOR,cantonada wait #yashillary shirt #semst,0,1
AGAINST,since #snl funny anymore president hilarious debatre #semst,0,0
FAVOR,#world supporting #semst,1,1
AGAINST,totally agree hillary incompetent scandal ridden phony #semst,0,0
AGAINST,hillary lock americà classroms campaign shell problems locking wants #semst,0,0
AGAINST,#alllivesmatter marriage woman giver years #semst,0,0
AGAINST,rich saudi donors executar gays join team #hypocrite #wakeupamerica #semst,0,0
NONE,republicà talk social policy betterfor #semst,0,2
AGAINST,manage #lol #semst,0,0
AGAINST,live herself #benghazi #semst,0,0
AGAINST,what #bernie work decades behalf american people corporatocracy corrupted #semst,0,0
NONE,sant hairstylist okay code that #lies #semst,0,2
FAVOR,volunteer local campaign weekend help build team hillary march bethesda #semst,1,1
