ID	Target	Tweet	Stance	Opinion towards	Sentiment
1	Hillary Clinton	@tedcruz And, #HandOverTheServer she wiped clean + 30k deleted emails, explains dereliction of duty/lies re #Benghazi,etc #tcot	AGAINST	TARGET	NEGATIVE
2	Hillary Clinton	Hillary is our best choice if we truly want to continue being a progressive nation. #Ohio	FAVOR	TARGET	POSITIVE
3	Hillary Clinton	@TheView I think our country is ready for a female pres, it can't ever be Hillary	AGAINST	TARGET	NEGATIVE
4	Hillary Clinton	I just gave an unhealthy amount of my hard-earned money away to the big gov't & untrustworthy IRS. #WhyImNotVotingForHillary	AGAINST	TARGET	NEGATIVE
5	Hillary Clinton	@PortiaABoulger Thank you for adding me to your list	NONE	NO ONE	POSITIVE
6	Hillary Clinton	Hillary can not win. Here's hoping the Dems offer a real candidate like Warren. #Warren2016	AGAINST	TARGET	NEGATIVE
7	Hillary Clinton	Respect FOR the law and respect BY the law Yes, needed desperately.  #BaltimoreRiots	NONE	OTHER	POSITIVE
8	Hillary Clinton	I don't want to be appointed to an Ambassador post.	NONE	OTHER	NEGATIVE
9	Hillary Clinton	#StopHillary2016 @HillaryClinton if there was a woman with integrity and honesty I would vote for such as woman president, NO	AGAINST	TARGET	NEGATIVE
10	Hillary Clinton	@HillaryClinton End lawless #ClintonFoundation. Jail Butcher of #Benghazi. #Arrest rapist #BillClinton. #HillaryClinton	AGAINST	TARGET	NEGATIVE
11	Hillary Clinton	Use your brain, keep Hillary out of the White House.Clinton2016	AGAINST	TARGET	NEGATIVE
12	Hillary Clinton	@HillaryClinton Hillary pandering with her logo. #ClintonFoundationscandal #ClintonCash	AGAINST	TARGET	NEGATIVE
13	Hillary Clinton	@readyforHRC @HillaryClinton #HillaryClinton, the US presidency is a testament to the success of #women their role in the world	FAVOR	TARGET	POSITIVE
14	Hillary Clinton	@CiaraAntaya cuz you know I'm such a feminist 	NONE	OTHER	NEITHER
15	Hillary Clinton	2 million bogus followers on Twitter @HillaryClinton #WhyImNotVotingForHillary	AGAINST	TARGET	NEGATIVE
16	Hillary Clinton	@lindasuhler : My name is Rebecca and my grandmother immigrated to Sunnybrook Farm. @twitchyteam	NONE	NO ONE	POSITIVE
17	Hillary Clinton	Where's the campaign store is the real question? I am ready to buy some Hillary gear	FAVOR	TARGET	POSITIVE
18	Hillary Clinton	It's a miracle, suddenly #Democrats don't mind having someone who voted for war.	AGAINST	TARGET	NEGATIVE
19	Hillary Clinton	@smileitsalicia @greekgummybear2 now i can live in peace	NONE	NO ONE	POSITIVE
20	Hillary Clinton	Hillary doesn't want to put anyone in prison anymore. Obviously worried about her own future.	AGAINST	TARGET	NEGATIVE
21	Hillary Clinton	The only way I support Hillary was if Elizabeth Warren ran or Karl Marx was running #2016 #Clinton2016	AGAINST	TARGET	NEGATIVE
22	Hillary Clinton	@HomeOfUncleSam @ScotsFyre @RWNutjob1 @SA_Hartdegen She's too old to understand the internet...that she can be fact checked.	AGAINST	TARGET	NEGATIVE
23	Hillary Clinton	Because Communist Breadlines are not my thing! #NoHillary #WhyImNotVotingForHillary	AGAINST	TARGET	NEGATIVE
24	Hillary Clinton	@HillaryClinton bad wife, bad role model for women, bad lawyer, bad First Lady, bad Senator, horrible Secretary of State.	AGAINST	TARGET	NEGATIVE
25	Hillary Clinton	Everything Hillary touches ends up being a scam, a lie, a cover-up, or a failure. William L. Just who we want as president.	AGAINST	TARGET	NEGATIVE
26	Hillary Clinton	Yes HRC subject 2 dbl standard Smh Come on @billclinton @HillaryClinton U Knew @ClintonFdn Donations Would b Scrutinized; Spun!	AGAINST	TARGET	NEGATIVE
27	Hillary Clinton	#Hillary to stop for #pizza today to garner the #Italian vote. #MSM is worthless. #libertynothillary #HillNo	AGAINST	TARGET	NEGATIVE
28	Hillary Clinton	I want America to great again #WhyImNotVotingForHillary	AGAINST	TARGET	POSITIVE
29	Hillary Clinton	March 8, 2016 Ohio is holding our Primaries! The date is subject to change. #Ohio #OurChampion	NONE	NO ONE	POSITIVE
30	Hillary Clinton	@RIGHTZONE @WethePeoplePets Let's hope the VOTERS remember! #HillNo	AGAINST	TARGET	POSITIVE
31	Hillary Clinton	Hillary Clinton has not driven a car since 1996. #clintonfakerealityshow	AGAINST	TARGET	NEGATIVE
32	Hillary Clinton	@NaughtyBeyotch @TheRealMadman23  Don't care for #Fiorina, but it seems she taking the #sexist gut punches by the #media. #MSM	NONE	OTHER	NEGATIVE
33	Hillary Clinton	@FoxNews @marthamaccallum @BillHemmer whose the opportunist now, #NoHillary2016	AGAINST	TARGET	NEGATIVE
34	Hillary Clinton	@HillaryClinton @WomenintheWorld we need to re-establish a #global system dominated by love and affection have #moral_humane RT	FAVOR	TARGET	POSITIVE
35	Hillary Clinton	#Hillary is as transparent as a brick wall #LibertyNotHillary	AGAINST	TARGET	NEGATIVE
36	Hillary Clinton	@WSJ . Clinton Foundation to keep accepting bribes from foreign governments #WhyImNotVotingForHillary	AGAINST	TARGET	NEGATIVE
37	Hillary Clinton	@josephbenning I agree, these are better than what you had before, like a severe cold is better than pneumonia. Good luck.	NONE	OTHER	NEITHER
38	Hillary Clinton	What are you afraid of @HillaryClinton? If you can't answer questions from the press, why do we want you as POTUS	AGAINST	TARGET	NEGATIVE
39	Hillary Clinton	Sorry, Hillary's new normal folk image doesn't take away from Behgnazi & her 0 foreign policy successes as Secretary of State.	AGAINST	TARGET	NEGATIVE
40	Hillary Clinton	CEO pay the target for 2016 election. From someone who makes more than most CEO's but you drank the Kool-Aid.	NONE	OTHER	NEGATIVE
41	Hillary Clinton	@NBCNews including repealing the first amendment. Way to go	AGAINST	TARGET	NEGATIVE
42	Hillary Clinton	@NBCNews Stop promoting @HillaryClinton. She is a liar. Just like her impeached husband. #WakeUpAmerica 	AGAINST	TARGET	NEGATIVE
43	Hillary Clinton	Lets take back our country! Whos with me? No more Democrats!2016	AGAINST	TARGET	POSITIVE
44	Hillary Clinton	RT @AnthonyCumia: If Hillary IS elected, I have my transition team together to smoothly move me from a racist to a sexist.	AGAINST	TARGET	NEGATIVE
45	Hillary Clinton	I'm #ThatChampion who got kicked off the #Watergate team due to misconduct.  #tcot	NONE	OTHER	NEGATIVE
46	Hillary Clinton	.@HillaryClinton is a droid & someone's programmed her to say things - thinks she doesn't have to WORK to win so she ISN'T!	AGAINST	TARGET	NEGATIVE
47	Hillary Clinton	@JVollmer08 @HillaryforIA #freedom_justice_equality_education for innovation and development to make #happy_life i Utopia	FAVOR	TARGET	POSITIVE
48	Hillary Clinton	Probably not perfect for everyone--which I think is great. But this is the beginning of a conversation.	NONE	NO ONE	POSITIVE
49	Hillary Clinton	I'm on the edge of my seat to start volunteering for @HillaryClinton 's presidential campaign!  So excited!!  #cantwait	FAVOR	TARGET	POSITIVE
50	Hillary Clinton	RT @FutureTXLeader: Is everyone in #ElPaso #Texas ready for president #MarcoRubio #UTEP #NewAmericanCentury #2016 #Future #Rub...	AGAINST	OTHER	POSITIVE
51	Legalization of Abortion	Just laid down the law on abortion in my bioethics class. #Catholic	AGAINST	TARGET	NEGATIVE
52	Legalization of Abortion	@tooprettyclub Are you OK with #GOP males telling you what you can and can't do with your own body?	FAVOR	TARGET	NEGATIVE
53	Legalization of Abortion	If you don't want your kid, put it up for adoption. #sorrynotsorry	AGAINST	TARGET	NEGATIVE
54	Legalization of Abortion	@RedAlert -there should be a "stigma" to butchering pre-born children - its a horrendous crime against humanity.  #murder	AGAINST	TARGET	NEGATIVE
