LABEL	preprocessing_B
AGAINST	cansado de los eslóganes de izquierdas y derechas quiero un país que progrese que acabe con los chiringuitos los privilegios políticos las condonaciones bancarias a los partidos que olvidan a las personas es izquierdas o es derechas sinceramente me da igual quiero valores
NONE	le recuerdo a que en cataluña los no indepes no nos podemos manifestar #relatorarv
AGAINST	me parece muy raro que la gallifanta y toda la patulea indepe no hayan hecho mención alguna a las declaraciones de los testigos que comprometen a los golpistas van a tener que tomar almax para digerir bien la realidad #juicioproces
NONE	así es inés arrimadas su carrera en vídeos
NONE	 melhor lateral direito do mundo
AGAINST	#endirecto cree que la intervención de se leerá en los libros de historia #juicioproces
AGAINST	 hitler hizo exactamente lo que los indepes pervertir la ley mediante el fraude para acabar con todos los con
FAVOR	estoy de acuerdo pero es que no se ha empezado ni a debatir para ir de la a a z lo importantes es pasar por b c d e es decir introduciendo la democracia directa poco a poco a todos los políticos incluidos indepes les interesa mantener la partidocracia
AGAINST	aquí tenéis la miga del independentismo alguien q llama invasores a quienes han sido elegidos democráticamente no a dedo como los presidents alguien cuyo argumento es el insulto alguien q dice q cat es una nación y anterior a españa discípulo d cucurull y d la estulticia
FAVOR	duro artículo de the washington post españa está juzgando a su democracia
AGAINST	abascal responde al boicot del psc al gran acto de vox en barcelona sois los tontos útiles del separatismo por vía
FAVOR	ten manipuladora  se te cayó el me estas hablando en polaco que le suelta el fachamierda primero #zasca
FAVOR	las pulgas de mi perro no son perro son pulgas aunque vivan en mi perro en cat pasa lo mismo con el fascismo unionista y son muy molestas y transmiten enfermedades
FAVOR	 nunca ha habido un acuerdo con los independentistas dice sanchez no había condiciones para votar a favor de la moció
FAVOR	#rumbournasarv lo mejor que puede hacer arrimadas es largarse a madrid que en breve se convertirá en el establo general de la ultraderecha
AGAINST	que manía de preguntar a si pactará con vox es una fuerza de momento extraparlamentaria y además aún no conocemos su programa lo que tenemos claro es que no pactaremos con quien quiere romper españa #objetivoelecciones
AGAINST	y el parlamento está sometido al control judicial recuérdaselo a los independentistas que tienen memoria selectiva y esta parte no les mola 
NONE	maduro una pregunta de verdad tú vas a ordenar que militares y civiles armados disparen a matar contra ese río humano de ciudadanos venezolanos desesperado por pan y libertad y uds militares acometerán ese crimen de lesa humanidad
NONE	sofía a la calle no nos toméis el pelo
AGAINST	 eurovisión del padecimiento #puigdemont y el grito de munch por xavier sardà
FAVOR	vergonzoso ataque de álvaro ojeda a àlex granell por dar apoyo a los presos vía
FAVOR	viendo quién está apoyando al golpista de guaidó me reafirmo que estamos en el lado correcto compañer@s casado rivera abascal sánchez carmena trump macrón ue y este individuo apoyan el golpe
FAVOR	yo he soñado esta noche que el congreso madrileño estaba lleno de diputados catalanes indepe me he levantado de contenta yo votaré
NONE	el actual presidente de la cámara catalana reivindica un segundo referéndum para solucionar la crisis territorial tengan presente que volveremos a votar
