LABEL	preprocessing_A
AGAINST	lindependentisme unitat popular barri criticar barri poble amunt francisco
FAVOR	divendres acte cloenda campanya candidatura presentar jornada votacio daquest dissabte escoltar candidata candidat creure nou maner politica #canviemelguio #autoconvocats #fvagageneral #judicifarsa
NONE	puigdemont portar defensor poblar europeu prohibicio lactar leurocambra
NONE	jose antonio nieto exsecretari destat seguretat lactuacio mosso desquadra insuficient ineficaç #judicitvcatradio
FAVOR	passar dia denunciar lautocar traslladar pres politics dir aprovar pressupost lamo avui dir repensar ridicul plegar infinit cert president catalunya treballar
FAVOR	voler votar votare permetre ferho tenir greu problema qui
NONE	torra cridar marxar pels dret civil pais dret lautodeterminacio lhomenatges rullar
AGAINST	sergi vidal quan petit parar portar veure petrovic campar penya pensar cabron navarro passar mateix jugador especial
AGAINST	setmana vinent decidir elecció agradar sortissim explicar proposta feunosho saber hashtag #piratesalfaqs #faqsstrubeltv
FAVOR	consentir manifestacio plaçar sant jaume feixista amenaçar irresponsabilitat
AGAINST	titular alternatiu ministrar linterior posar dubtar mateix realitat anunciar deixar politica dedicarse filosofia
FAVOR	sant joan vilatorrada tensar president partir garjola secretar general lexili referendum partir proposar ferne debo
FAVOR	foreceu nova elecció apartar enganyar votant shan treure mascarar autonomista politics coratge projectar complir mandat #oct avançar valer vot tenir pressa
AGAINST	ui zasca aquellos gustan recibir
NONE	divendres #postgraugovobert expectativa sessio director general datencio ciutadà parlar tendencies futur futur governança digital #aapp
AGAINST	tothom lesquerra autenticar recolzar ferotgement republica català dona suportar fanatics dultradreta torra
FAVOR	referendum estatut independencia pero aixo escocia aixi tardar veritat prou repetir mateix gent comprar esperar comprar
AGAINST	intel·ligencia artificial permetre identificar noure relacionar cancer
NONE	yokomizo lamuro daprenents kogoro #detectiuconanxl
NONE	atacar autobus fotre hitler banalitzar nazisme atacar llibertar dexpressio existir dret banalitzar nazisme aturar autobus fotre hitler aturar idear generalitat expulsantlo
AGAINST	nòmer recordar vegada memoria selectiu sraznar complice lassassinat milio personar esperar desitjar assassí jutjin podrir preso
AGAINST	boom alemania demanar suspendre reglar lunanimitat decisió politica exterior aixo espanya podrir bloquejarnos entrarhi
AGAINST	revolucio fer tu sindicar vertical dret catala puaf
NONE	donar superar esquema poder actual configurarne dacord marcar mental convidar construir lideratge femeni basar lautenticitat sobreadaptacio construir societat millorar justar
AGAINST	repetir votar sorprendre lendema tornar votar psoe franc noure duranilleida madrid voler indepe confiar mantenir franc cercar exvotants podemospsoe licitar
AGAINST	nòmer faltar reconeixesin culpabilitat aixi primer pero faltar testigs acusacio tenir credibilitat acusat
NONE	rajoy podrir guanyar elecció general facturar falsar pagament ocult segon publicar confidencial
AGAINST	estafador botifler malparir
AGAINST	parlament catalunya sempre treballar realment importar
FAVOR	#judiciproces aquest dimarts arrencar segon setmana declaració compareixença jordi turull consultar aqui anar sessió
FAVOR	vague lany passar diputat diputada donar vague entitat feminista explicar #parlament
FAVOR	veure saber portar messos deixar pujar videos #oct nòmer pujar pujar messos trobar
AGAINST	atenció marxar lefta tothom signar plaure topar governar catalunya demanar governar catalunya posicionar pertanyer efta firmar peticionar
AGAINST	pero evident declaracio dindependencia cosa articular juridica llei transitorietat sisisetdesetembre
NONE	laia contestate movil emergencia storie mimar
FAVOR	entendre parlament europeu donar feixista agressiu violent silenciar personar pacificar president legitimar lexili
NONE	forn negar judici declaracio dindependencia tenir valorar #judicitvcatradio
FAVOR	sistema judicial carles puigdemont espanya testimoni sino presoner advocar valtonyc #faqstherealtv
FAVOR	maragall paio passar ajuntament franquista porcioles fidel servidor psoe mister tripartir infaust memoria ultimar indepe solids principi projectar clar experiencia any candidat excel·lent
AGAINST	cosa poder barrejar cosa aixo lajuntament actual politiques social vista lunic partir portar judici carregar policial acte acte defensar labus gent empresonar
NONE	carles puigdemont tractar judici politic unio europeu tenir presoner politics
NONE	comissio defensar dret col·legi ladvocacia barcelona criticar declaració felip defensar democracia legalitat
FAVOR	entendre laltura saltar pobre trencar turmell #joacuso #judicifarsa
NONE	jutjar tot poder afusellar
FAVOR	quantissima dignitat notar massa merèixer fer nostre cuanta vergonyar indignitat egoisme despatx pero fer complices traicio passar feixista pero tu tampoc morir governar
AGAINST	plaçar sant jaume mateix catalunya combatre feixisme
AGAINST	patea callar recordar any governar projecte retreure pero siempre misma cantinela #plesantandreu
FAVOR	turull sentir acusacio part fiscalia considerar faltar respectar ciutadà catalunya #judicio
AGAINST	millo mentir badalona setembre alcalde alcaldessa mentir cabro aquest #fairy #joacuso
FAVOR	voler detenir willy toledo presentarse declarar suposar delicte blasfemia regir sassembla inquisicio pel·licula dhumor tenir clar #llibertatdexpressio #holaregim
FAVOR	#faqsstrubeltv espanya catalunya disposar politica
NONE	tribunal toquio deixar llibertar fiançar lexpresident nissanrenault carlos ghosn acusar frau fiscal abus confiança
FAVOR	lestaca sant jaume gallina piel #omplimstjaume #omplimsantjaume #llibertatpresespolitiques #llibertatpresospolitics
AGAINST	sentir nervi panxa fantasiar metre sera real senceten avui esperar tothom gaudir servir nodrir contenir feminista lgbti discurs dalliberament nacional actual graciar
FAVOR	facultar dinterrogar testimoni contrapart esta condicionar preguntar formular proposar provar feixisme togat espanyol innovar vegada dret #judicifarsa
FAVOR	virginia alguacil matar casar fill any professio parar desde matar portar casal davis defensar urna ploure molte gent matar votar #judicifarsa
NONE	#totesmoutv quin barrar crispacio català patir negar fondre català patiem cony neixer pretes demanar perdre català catalanista separatista
AGAINST	donar sempre part importar equip politics governar quan presentar candidatura seriar llistar paritaria #vallsbcn #vallsperlaigualtat #barcelona #diadeladona #diadelamujer
