Stance	text
AGAINST	woman deliberately destroys fetus answerable murderst basil great #semst
AGAINST	also abortion wrong biblically morally imaginar chance live life think #semst
AGAINST	people nuts #onepercent finar population deciding fate #obamacare #marriage #semst
AGAINST	students life north campus student union speaking #semst
NONE	harry favorite characters alive #semst
AGAINST	fight unborn #semst
NONE	hate lgbt disagree samesex marriage #sacramentofmatrimonyissacred #semst
FAVOR	captors bornar longer part body pregnant woman thats diference #semst
FAVOR	concerned womens health controlar stay outta lady part patrick #semst
AGAINST	funk chris christy republican yeah rino #nra #cos #ccot #tgdn #pjnet #wakeupamerica #semst
AGAINST	ireland unborn child constitutional protection long continuedyouth #semst
NONE	days #kansas conservatiu #ksleg courts #scotusmarriage #scotuscare #scholfunding #sweep #semst
AGAINST	problem birth controlar free thing again solution murder god idea #semst
NONE	planned pregnancy election datar times #semst
NONE	outsmart #satan thousands years #scotus #marriage #isis #lovewins #semst
AGAINST	#right #life #first #humanrights popar francisyouthgen #semst
AGAINST	abortion make unpregnant makes mother dead childisright #semst
AGAINST	abortion workers charged manslaughter after another woman dia from #semst
AGAINST	#obama cara deserters unborn babies #protecttheunprotected #antiabortion #semst
FAVOR	body live dismiss problem #semst
AGAINST	please join pray global holocaust abortion #semst
NONE	christian coward#repkevincalvey #libcrib #uniteblue #semst
AGAINST	wears shoes hurts prolife #thereadclub #semst
AGAINST	forcing women change bodys normal function epitome controlling women #semst
AGAINST	#america nation under #violence #racism #samesex #lustwins #populationcontrol #hate #atheism #secularism #semst
AGAINST	human beings womb harvest transplant organs human beings #semst
FAVOR	reasoning horrible talking abortion death #semst
NONE	life #semst
NONE	kingdom founded violence long controlar vice brought existence comentary judges #semst
AGAINST	sizelevel development environmentdegree dependency afectar humà value fetus human #prolifeyouth #semst
AGAINST	doctor guns perform abortions liberal opposed #liberallogic #semst
NONE	whos #dail talking bullying bullying finar gael bullying members #semst
AGAINST	where right when right conception #antichoice #semst
NONE	possible #bristolpalin #semst
AGAINST	they abort millions progressiu future #downfall #semst
NONE	nowhere care #semst
AGAINST	alright #scotus order business overturning #roevwade #semst
AGAINST	god reminder million children granted opportunity share breath #equality #semst
AGAINST	disturbing thing planet flod streets #blod #children #happyearth #semst
NONE	hand smells dick #semst
NONE	last meeting year tonight casar hall rom come pizza provided
AGAINST	brain heart unique mothers alive human please kill #semst
AGAINST	legalized tweetinginsteadofprocreating discriminates unconceived child #worstargumentever #lolanti #semst
AGAINST	handle importantlike murder #semst
NONE	follow news people married that #semst
AGAINST	utilized wonderful gift choice #prochoice #semst
NONE	what happened pastar make cruel frighteningly hardhearted woman #waronwomen #semst
NONE	sweden #womangolf #letsgo #semst
AGAINST	#god #live plaçar inside #mother phil robertsonyouthgen #semst
AGAINST	agree marriage agree prolife adoptar babies aborted
FAVOR	passar judiciary cmtethis bill efort shame women personal private medical decision #semst
FAVOR	abortion illegal judge woman making choice #semst
AGAINST	counting loking forward standing life #semst
AGAINST	were human every human life worth same worth saving rowling #semst
AGAINST	contraceptive mandate challenged #scouts times lost times #contraception #semst
NONE	draw line arbitrarily drawn draw anywhere nonsense #semst
AGAINST	#signsyoureintheusa pull baby womb stick knife head kill child #semst
FAVOR	progress #africanamericans check progress #gay people check progress #women waiting waiting waiting #semst
AGAINST	bernie sanders there people chance people chance share #semst
NONE	that lady help mental illness issue #semst
NONE	ready abortion debate #semst
FAVOR	choice womans abortion votar issue #semst
