LABEL	preprocessing_A
AGAINST	lindependentisme unitat popular barri criticar barri poble amunt francisco
FAVOR	passar dia denunciar lautocar traslladar pres politics dir aprovar pressupost lamo avui dir repensar ridicul plegar infinit cert president catalunya treballar
AGAINST	setmana vinent decidir elecció agradar sortissim explicar proposta feunosho saber hashtag #piratesalfaqs #faqsstrubeltv
FAVOR	consentir manifestacio plaçar sant jaume feixista amenaçar irresponsabilitat
AGAINST	titular alternatiu ministrar linterior posar dubtar mateix realitat anunciar deixar politica dedicarse filosofia
FAVOR	sant joan vilatorrada tensar president partir garjola secretar general lexili referendum partir proposar ferne debo
FAVOR	foreceu nova elecció apartar enganyar votant shan treure mascarar autonomista politics coratge projectar complir mandat #oct avançar valer vot tenir pressa
AGAINST	tothom lesquerra autenticar recolzar ferotgement republica català dona suportar fanatics dultradreta torra
FAVOR	referendum estatut independencia pero aixo escocia aixi tardar veritat prou repetir mateix gent comprar esperar comprar
NONE	yokomizo lamuro daprenents kogoro #detectiuconanxl
AGAINST	nòmer recordar vegada memoria selectiu sraznar complice lassassinat milio personar esperar desitjar assassí jutjin podrir preso
AGAINST	boom alemania demanar suspendre reglar lunanimitat decisió politica exterior aixo espanya podrir bloquejarnos entrarhi
AGAINST	repetir votar sorprendre lendema tornar votar psoe franc noure duranilleida madrid voler indepe confiar mantenir franc cercar exvotants podemospsoe licitar
AGAINST	nòmer faltar reconeixesin culpabilitat aixi primer pero faltar testigs acusacio tenir credibilitat acusat
AGAINST	estafador botifler malparir
AGAINST	parlament catalunya sempre treballar realment importar
FAVOR	vague lany passar diputat diputada donar vague entitat feminista explicar #parlament
FAVOR	entendre parlament europeu donar feixista agressiu violent silenciar personar pacificar president legitimar lexili
FAVOR	sistema judicial carles puigdemont espanya testimoni sino presoner advocar valtonyc #faqstherealtv
FAVOR	maragall paio passar ajuntament franquista porcioles fidel servidor psoe mister tripartir infaust memoria ultimar indepe solids principi projectar clar experiencia any candidat excel·lent
AGAINST	cosa poder barrejar cosa aixo lajuntament actual politiques social vista lunic partir portar judici carregar policial acte acte defensar labus gent empresonar
NONE	jutjar tot poder afusellar
FAVOR	quantissima dignitat notar massa merèixer fer nostre cuanta vergonyar indignitat egoisme despatx pero fer complices traicio passar feixista pero tu tampoc morir governar
AGAINST	plaçar sant jaume mateix catalunya combatre feixisme
FAVOR	#faqsstrubeltv espanya catalunya disposar politica
FAVOR	lestaca sant jaume gallina piel #omplimstjaume #omplimsantjaume #llibertatpresespolitiques #llibertatpresospolitics
FAVOR	facultar dinterrogar testimoni contrapart esta condicionar preguntar formular proposar provar feixisme togat espanyol innovar vegada dret #judicifarsa
NONE	#totesmoutv quin barrar crispacio català patir negar fondre català patiem cony neixer pretes demanar perdre català catalanista separatista
FAVOR	mur humà llarg historiar shan convertir icona universal defensar dret llibertat huma puto huma voler tombar trobar faltar feixisme entrar casa
AGAINST	esperar signar conveni marcar llei front #condonaciondedeuda
AGAINST	preciós massatgista erotica català fara delicies mà blanc puig català calent
AGAINST	sap pilar creure diada gana emocionar recordar presoses exiliatsdes totses aquellses patir violencia #joanirealadiagonal #diada
AGAINST	mentir aixo falsar
AGAINST	pregonero fiestas cerdanyola llama prostituta ines arrimadas
FAVOR	tossudament alçat cami republica #omplimsantjaumes #femxarxa #llibreslliures
AGAINST	aixo reglamentar aprovar juliol despres setembre aplicar lesmentat reglamentar favor retallar titular conèixer noticiar sencer
AGAINST	segurament gent venir frança
AGAINST	sentir condoldre lalcaldessa morir marit suportar escalfar moment dificils
NONE	descoltar compartir arribar queixar escoltar tampoc #llibertatpresospolitics
