Stance,text,predicted,true
AGAINST,schols served soya beans milk schols outrage #semst,0,0
AGAINST,prophet muhamad said exchange gift increase love another #islam #world #quran #semst,0,0
FAVOR,thomas jeferson george washington afterlife thomas paine atheist #semst,1,1
AGAINST,believe worst moment #god #here #always #trust #semst,0,0
FAVOR,religió stopped credible minutar dinosaur fossil found #semst,0,1
FAVOR,happy #sundayfunday mortal #lovewins loses honestly #icouldusealittlemorecowbell #fsm #atheists #semst,2,1
FAVOR,because #god made literally answer keep curiosity alive #semst,0,1
AGAINST,manmade ideology flawed mà limitations biases #muslimssalvageyourselves #semst,0,0
AGAINST,today idea facing #god christ supplied need #semst,0,0
FAVOR,evidencebased thought feet planted ground superstitionbased thought #freethinker #semst,1,1
AGAINST,dwell peaceful habitation secure dwellings quiet resting plaçar #semst,0,0
AGAINST,father heaven hallowed name kingdom come earth heaven #rosary #teamjesus #semst,0,0
NONE,wing imploding understand funny #scotusmarriage #pot #healthcare #semst,0,2
FAVOR,faith means believing evidence justify anything #scary #semst,0,1
FAVOR,deleted #lovewins #reasonoverreligion #semst,2,1
AGAINST,fol dia wisdom words mouth feed província #semst,0,0
AGAINST,dont life potter #iamtheclay #iamisthepotter #god #belief #christianity #semst,0,0
FAVOR,happy suns friends find downbreathe deeply count youre delusionitll pass #semst,0,1
AGAINST,lord hope trust #semst,0,0
AGAINST,bought world soldar heart traded heaven again #semst,0,0
NONE,throw towel half #semst,0,2
NONE,reason crazy crazy trying damnar guess crazy #humans #semst,0,2
AGAINST,heaven created might expander quran #semst,0,0
AGAINST,zubair awwam accepted #islam dedicated #life protecting promoting #blessedten #semst,0,0
AGAINST,amar amar #hallelujah lamb worthy praised #praisethelord #christians #church #semst,0,0
AGAINST,strong wise fullar knowledge província #semst,0,0
NONE,really week bigot #lgbt #equality #nondiscrimination #semst,2,2
AGAINST,pain setbacks part life stay faith dont question mark #god period #semst,0,0
FAVOR,there kinds people earth they magic miracle myth rational regards #semst,2,1
FAVOR,thou self #freethought #freethinker #reality #semst,1,1
FAVOR,yours minar wait #lovewins #semst,2,1
NONE,dont wait time right #thoughtoftheday #justdoit #semst,0,2
NONE,#police holigans challenge police frustrationcriminals face blackwhite #semst,0,2
AGAINST,hallelujah overcome overcome jesus overcome world victor heart #semst,0,0
AGAINST,satan busy controlar #god #spiritual #motivation #relax #noworries #strength #semst,0,0
NONE,except possibly craig stephen hicks #chapelhillshoting #semst,0,2
FAVOR,hell existed bush line christian morality transcends religion #semst,1,1
AGAINST,faith sees invisible believes incredible receives impossible #god #semst,0,0
NONE,amber rudd joke espouse #thatcherism #greece #band human being #semst,0,2
AGAINST,#god controlar that means stressed worried #semst,0,0
AGAINST,nothing lies reach prayer lies #god unknown #quote #teamjesus #semst,0,0
AGAINST,mercy lifted broken road live greater purpose #semst,0,0
NONE,made wiser mature shame #semst,0,2
FAVOR,that nagging doubt gods testing intellect beliefs bullshit #semst,0,1
AGAINST,remove bitterness heart lord amar #semst,0,0
AGAINST,matter face okay maker #happynote #semst,0,0
NONE,theres hangs wrong people care reputation #semst,2,2
AGAINST,thank lord beautiful sunday blessed #blessed #church #jeremysumpter #love #happines #semst,0,0
NONE,current trend constitution making continuar indigenous peoples madhesis hachethu #identity #inclusion #semst,2,2
AGAINST,bible expo truthcastercom please come thanks #bible #expo #truths #semst,0,0
NONE,answer #israel#palestine problem #singlesecularstate huge emphasis #semst,0,2
NONE,#love kind dog carries baby home dump photo #hero #semst,0,2
AGAINST,heart prayers city baltimore hope clarity resolution people city #semst,0,0
NONE,loks lost followers yesterday #lol #bye #lovewins #semst,2,2
AGAINST,keep faith amazing things life tend happen moment give hope #semst,0,0
AGAINST,devil enemy mind battleground plays josh ricketson #rush #rushswag #semst,0,0
