LABEL	preprocessing_A
AGAINST	cansar eslogan izquierdo derecho querer progresar acabar chiringuito privilegio politicos condonación bancario partido olvidar persona izquierdo derecho sinceramente igual querer valorar
NEUTRAL	recordar cataluña indepes manifestar #relatorarv
AGAINST	gallifanta patulea indepe mencion declaración testigo comprometer golpista tomar almax digerir realidad #juicioproces
NEUTRAL	ines arrimar carrera videos
NEUTRAL	melhor lateral direito mundo
AGAINST	#endirecto creer intervencion leera libro historia #juicioproces
AGAINST	hitler exactamente indepes pervertir fraude acabar
FAVOR	estar acordar empezar debatir para importante pasar decir introducir democracia directo poco todo politicos incluir indepes interesar mantener partidocracia
AGAINST	aqui migar independentismo alguien llamar invasor elegir democraticamente dedo presidents alguien argumentar insultar nacion españa discipulo cucurull estulticia
FAVOR	durar articular washington post españa juzgar democracia
AGAINST	abascal responder boicot acto barcelona ser tonto utiles separatismo
FAVOR	manipulador cayo este hablar polaco suelto fachamierda #zasca
FAVOR	pulga perro perro pulga vivir perro paso fascismo unionista molesto transmitir enfermedad
FAVOR	nunca acordar independentista sanchez condicionar votar favor mocio
FAVOR	#rumbournasarv arrimar largarse madrid convertira establo ultraderecha
AGAINST	mania preguntar pactar forzar extraparlamentario conocer programa pactar romper españa #objetivoelecciones
AGAINST	parlamentar someter control judicial recuerdaselo independentista memoria selectivo mola
NEUTRAL	maduro preguntar verdad ordenar militar civil armar disparar matar humano ciudadano venezolano desesperar libertar militar acometeran crimen leso humanidad
NEUTRAL	sofia callar tomeis pelar
AGAINST	eurovision padecimiento #puigdemont gritar munch xavier sardo
FAVOR	vergonzoso atacar álvaro ojeda àlex granell apoyar preso
FAVOR	ver apoyar golpista guaido reafirmar correcto compañer@s casado rivera abascal sanchez carmenar trump macron individuo apoyar golpe
FAVOR	soñar noche congreso madrileño llenar diputar catalán indepe levantar contento votar
NEUTRAL	actual presidente camara catalán reivindicar referendum solucionar crisis territorial tener presentar volver votar
FAVOR	atento lobby jugar reunio politicos español presionar favor sector aparecer nombre cabanillas rafael catala codere exdiputado andres ayala orenes #maspartidopopularmasigualdad #maspartidopopularmasludopatia
AGAINST	alla pintar trapero pintar forn todo este orquestar arribar orden guion partir gencat pasar omnium mossos cdrs grupo vario título película todo golpista imbeciles
FAVOR	quien ciudadano resucitar puigdemont campaña general show debilitar necesitar otro puigdemont recoger guante arrimar recibira waterlo
NEUTRAL	vilalta alertar psoe aprovechar tramitacion presupuesto para electoralismo costa independentismo
FAVOR	alguien conocer argumentar favor independencia cataluña querer hilar contrargumentandolos ocurrir poco ayudar
FAVOR	apoder gobernar proxima legislatura apoyar partido independentista bildu permitir parar derecho mesa negociacion estar terminar pais terminos partido
AGAINST	tras linchamiento indepe montserrat toro redar
AGAINST	unico cambiar avenir princep dasturies renombrarla princesa asturias #colau cambiar nombrar complacer separatista vista futuro pacto barcelona #yoconbou
AGAINST	tener razon cataluña año cataluña vivir regimen dictatorial adicto govern medio propaganda parecer sociedad indepe corear norte
NEUTRAL	junquera nomes respon preguntar seva defensa #orioljunqueras #judiciproces #junqueras
NEUTRAL	arrimar anunciar saltar politica nacional
NEUTRAL	teve amor teve compaixão teve soliedariedade teve gigantismo inimigos rivais ser sereshumanos
AGAINST	aceptar dar bienvenido decencia socialista decir tanto tonteria cesion politicos separatista golpista justicia esperar todo
AGAINST	para colau lengua materno español #dolcacataluña #jacobialcalde #barcelona #tabarnia #españa
AGAINST	perdais periodista xavier rius desmontar mentira separatismo minuto podeis enlazar
FAVOR	ademar medio comunicacion arabes bombardear constantemente poblacion estrategia demonizar español alguno politicos arabes calificar terrorista golpista criminal acusar violento violento policia
NEUTRAL	padraic kenna mientras banco interesar preciar vivienda alto politicos
FAVOR	#inesssss cuidao venen drones indepes arreu bonito quedar jefe
AGAINST	ofrecer competencia lograr satisfacer nacionalismo sentirse insatisfecho error satisfacer nacionalismo competencia
AGAINST	calladitos estais golpista fascistasno gustar juicio eh golpista fascista violentossois chulo
NEUTRAL	contar indepes pues
AGAINST	#pensamiento causar sonrojar verguenza ajeno escuchar quim torrar manosear concepto democracia libertar
AGAINST	seguir campar ancho hasta punto atrever acosar juez politicos atacar sede judicial pasar alla atacar pintura amarillo cuartel #lasilenciosacat
AGAINST	mencionar pagar monica terribas llamar desplazamiento vehiculos #judicitvcatradio #juiciodelproces
FAVOR	este tipo cargar votar titular imponer dictador fascista familia fuente legitimidad nido opacidad corrupcion latrocinio lección democracia porra
AGAINST	#deabril todasos izquierdo progresista ciudadano sensatez sentir comun #votapsoe #siemprepsoe #yoconpedro
AGAINST	hospital sant esteve pensar ladron condicion pedir grabación videos indepes lazitos amarillo premeditar preparar maquinar urdir intrigar vetar acuestate cama hospi
AGAINST	ponte situacion atrevete levantar discrepar rodear simbologia golpista supremacista jefe cortesano corear hospital siun hospital
FAVOR	cancer faltar respetar sufrir cancer independencia proyecto legitimar unidad millón independentista crecer extirpar estilar franco habra recurrir referendum querer imponer
NEUTRAL	#últimahora soraya rodriguez bajo psoe discrepancia profundo politica partido independentismo
FAVOR	director votar referendum ilegal cometer violacion sexual entrevistador escandalizar palabra nacionalismo español gradar maximo #freecatalanpoliticalprisoners #republicacatalana #cataluña
AGAINST	miercoles comenzar testifical primer politicos testigoses decir interesante
NEUTRAL	empresario independentista concurrir elección camaras catalán #economia
AGAINST	despues escuchar roger torrent ayer ir parlament catalunya existir forzar molestar independentista
FAVOR	verguenza españa gente mentir juez paso nada proporcional mundo psoe presentar quejar cataluña flipando injusticia saldra indepes
AGAINST	limpiate boca hablar #guardiacivil nombre palabra #paz cuerpo seguridad #codigodehonor sufrir violencia banda #eta #bandaterrorista cobarde deleznable
FAVOR	este pensar canada ver imagenes como frio twitter congelar octubre
FAVOR	entender nacionalismo querer identitarioetnico parecer procesar yugoslavo hablar decidir democraticamente organizar sociedad
NEUTRAL	contatinhos sofrer pelar mesmo pessoa coisa adolescente adulto fica esperar melhor cartão fazer comprar
FAVOR	diselo compañero hilar generalizar clasificar bando indepes noindepes
AGAINST	#quenoensenfrontin dividir venceras poner lazar amarillo quito banca quedar guitar
AGAINST	incomprensible desaparecer voluntad cataluña victoria autonomicas primer sacrificar sigla arrimar hacerle hueco impostor frances valls gobernar paris
AGAINST	alejandro fernandez madrid pedir solucion politica
AGAINST	guardia civil suspender grabar coche policial furgon golpista actuo pero expte falto levar suspenderlo inmediato evidenciar desverguenza director politicos interior cobarde
NEUTRAL	desde españa pendiente salir
AGAINST	poder hora comer socialista siempre principio sentir estar dedo frente #sanchezdimision
AGAINST	sanchez cerrar volver pactar independentista elección abril
NEUTRAL	ministerio interior vetar president llevar seguridad oficial mossos acto compartira puigdemont
FAVOR	estan desear catalán montar follon par violencia terrorismo independencia buscar relatar violentar violentar
FAVOR	deberias aprovechar preso madrid contarnos aravaca harvard facha
FAVOR	peter gabriel apoyar causar democratica catalunya apoyar internacional empezar contundente dejar evidenciar estar español #judiciproces
AGAINST	fiscalia investigar independentista difundir fotografia secretario judicial rata miserable
AGAINST	traducir respetar democracia obviar mayorias parlamentario necesario imponer medir poblar
FAVOR	todo acercar restaurar democracia venezuela encubrimiento configurar paises latinoamericano criterio estadounidense reiterar director departamento america latino cancilleria ruso
AGAINST	ser excelente mostrar circulos cercano govern talento triunfar siquiera profesionalidad
AGAINST	consejero actualmente fugar justicia toni comin pedir separatismo subir tension cataluña
AGAINST	ver puigdemont sacar bandeja pastitas invitar arrimar demostrar dialogante buenrrollista pero ocurrir darle profugo gloria
NEUTRAL	sera morar auto prenderse proprio rsrsrsrsrsrsrsrs
FAVOR	cobos decia intentar aplicar articular puerta atras forzar probablemente colegio electoral marchena decidir acabar sesion seguir mañana
FAVOR	contar directo policia entrar forzar colegiar puigdemont pero resultar entrar destrozar puerta interior prensar internacional conectar directo
AGAINST	pues levantar sintiendome ciudadano imperio cartagines exigir poder autodeterminarme ciudadano carthago inmediatamente referendum votar unicamente autodeterminarse delito estar español fascista
AGAINST	republica burgués yanqui alemán francés seguir mandar cambiar explotador nada republica democratica popular poder verdad gente
NEUTRAL	presidente lamentar independentismo tener pavor sentarse dialogar descartar pacto tampoco cerrar poder
AGAINST	ordenar referendum forn mossos
FAVOR	cante victoria quedo carta
AGAINST	chile volvio corrupto empresario prebendarios politicos corrupto institución debiles importante sociedad civil empodere sacar principal activar honestidad
NEUTRAL	tenista destacar solucion conflicto paso convivencia
AGAINST	durante año vestir cataluña establecia discursar unico separatista contradiscurso constitucionalista fallar haber hora gente hablar reparo cataluña
