Stance	text
NONE	selfish men everywhere #birthcontrolhelpedme cheat on my wife but she found out anyway our marriage was destroyed #semst
AGAINST	it is a #poverty to decide that a #child must #die so you may live as you wish mother teresa #prolifeyouth #prolifegen #semst
AGAINST	u dont have to be a religious to be prolife all u have to believe is that every life is sacred #semst
FAVOR	kudos to the mentality that believes people who are dumb enough to not use protection are mature enough to take care of a baby #semst
AGAINST	because it is settled that abortion is constitutional it necessarily follows that there must be a means of carrying it out #semst
AGAINST	theres a gray area when it comes to abortion we discuss the #legal #ethical #dilemas that #doctors #patients face regarding #semst
AGAINST	why is it illegal to kill an unhatched eagle egg but its legal to kill an unborn human babyisright
AGAINST	the day that love will truly win is the day that the injustice known as abortion is abolished #alllivesmatter #semst
NONE	tip for protesters everywhere your goal is to change the minds of rational adults not to scar the minds of little kids #pgh #semst
NONE	everyone who disagrees has always had the right to mind their own damn business #lovewins #semst
AGAINST	alright #scotus your next order of business should be overturning #roevwade #semst
AGAINST	#signsyoureintheusa doc can pull baby way out of the womb stick a knife in its head kill the child says its ok #semst
AGAINST	abortion is not a political issue it is a moral issue #catholic #christian #conservative #semst
AGAINST	do nothing at all unless you begin with prayer st ephraem the syrian #semst
FAVOR	i refuse to let people like you shame and insult women for accessing healthcare sorry just no
AGAINST	without #life the right to liberty and the pursuit of happiness arent possible #prolifeyouth #alllivesmatter #semst
NONE	do you spend more in cares to animals than in charity #laudatosi #semst
FAVOR	sadly most health insurance plans dont cover abortions so the price can be quite high
AGAINST	you have a #god given right to #live and of all places inside your #mother phil robertsonyouthgen #semst
FAVOR	 dear religious right i keep my uterus out of your church so keep your church out my uterus #semst
NONE	equality in the states is a nice step forward to a better america #proudtolove #semst
AGAINST	 it seems to me clear as daylight that abortion would be a crime ghandi #prolifeyouth #semst
FAVOR	i cant stand people who are pro life because they had a stillborn or loss #semst
AGAINST	i despair i want grandchildren or are they a luxury item #catholic #semst
NONE	deepseated cultural codes religious beliefs and structural biases have to be changed no now what #semst
AGAINST	how much do we really believe in equal rights for all mankind #unborn #lovewins #followthrough #scotus #roevwade #science #semst
AGAINST	i refuse to stop praying for an end to abortion #semst
NONE	hypocrisy saying #lovewins while supporting #quitkillinggirls #semst
FAVOR	bravo to both of you beautifully explained hold up #humantraficking bill #womensrights #righttochose #semst
AGAINST	turning it into a racial thing kek #semst
AGAINST	you have to live with that murder i am speechless with rage hurt and complete disgustfinding it vhard to hold my tongue here #semst
NONE	to far sorry so is he
AGAINST	even the #smallest #person can change the course of the #futureyouthgen #semst
NONE	time to make a change in my boxing style can u say style but still be great on my defense #beastmode #boxing #ximenez #semst
FAVOR	god forbid youd ever have to walk a mile in her shoes then you really might know what its like to have to chose #semst
AGAINST	great job on #scotus should have been eliminated years ago when they called for the murder of children #semst
AGAINST	 yes i will be at counting down to it loking forward to standing up for the right to life # #semst
AGAINST	#prolifeyouth if you are truly a feminist you would be fighting for the womans life that is in the womb #alllivesmatter #semst
AGAINST	but adoption choses to let them live obviously a huge diference you can see that right #adoption #semst
FAVOR	its so brilliant that #lovewins now extend the equality to womens rights #abortionrights #semst
FAVOR	yes he has an opinion but the choice should be in the hands of the women you know the person directly afected #semst
FAVOR	bodily autonomy is a human right a persons access to abortion is a human right #reprojustice #reprorights #semst
NONE	he is still waiting for an answer instead of wealding his authority to put a stop to it and disobey the government #semst
AGAINST	i will agree to gay marriage if you agree to prolife and then adopt babies that would have been aborted
NONE	findin budget compromise a process #brownback says #income #thestate #semst
AGAINST	rise shine its a new day youre alive thank god another day of precious life #christian #catholic #teamjesus
NONE	antivaxxers are such an idiotic bunch seriously guys vaccinate your kids #stopsb #conformcomics #marvel #dc #semst
AGAINST	the causes circumstances of pregnancies vary but one thing is unwavering a human with a right to life #prolifeyouth #semst
AGAINST	we say god bless america but we kill babies a year #semst
NONE	not possible #bristolpalin doesnt believe in #semst
NONE	 why doesnt anyone congratulate me for not getting knocked up throw me a damn shower #reprojustice #semst
AGAINST	please join us as we pray to end the global holocaust of abortion #semst
FAVOR	u know what isnt funny male politicians deciding what women should do with their bodys
AGAINST	your body belongs to you it doesnt belong to the church the state or an embryo #semst
AGAINST	hey megana babys heart starts beating at days after conception no time is the right time to end its life #kellyfile #semst
NONE	if you dont draw the line where ive arbitrarily drawn it you cant draw it anywhere nonsense #semst
AGAINST	i am just as much a feminist as any prochoicer i simply carry my beliefs to their logical conclusion #faminism #yesallwomen #semst
NONE	fact of todays population is equivalent to residents in new york florida and pennsylvania wheres the outrage for this
AGAINST	you support #abortion never had an abortion youll still have to give account to your creator for the taking of innocent life #semst
AGAINST	true progressives work toward greater inclusion and protections for the marginalized standing up for the unborn is progressive
FAVOR	at the mass state house again tomorrow for planned parenthods sexual health lobby day #reproductivejustice #feminism #semst
AGAINST	some bitches be scared to kill a little cockroach in their house but quick to kill a baby #semst
AGAINST	hadnt seen october baby until the other night had me crying thru the whole thingi dont cry at movies so touching #adoption #semst
NONE	we may disagree but i love ya man i dont want hard feelings #semst
AGAINST	#prolifeyouth have no chill and were dang proud of it human rights injustices should never be treated lightly #prolifegen #semst
FAVOR	if the fetus isnt inside you than shut up love #semst
NONE	there will never be enough of us should be the slogan at #semst
NONE	a little van action before work #datadatadata #semst
AGAINST	can we get a law for the little ones who cant even speak for themselves #prolifeyouth #everylifematters #gay #straight #baby #semst
NONE	follow #patriot thanks for following back #truth #liberty #justice #proisrael #wakeupamerica #freeamirnow #semst
NONE	#cogar get more #questions on #d #ballott #irelands #dail is stuck well #help #drugswar #landwar #etc #tanks
AGAINST	like i said you are weak we are strong #christian #wewillovercome #semst
AGAINST	if it isnt a #human life then why does have a problem with usyouth #itisahumanlife #semst
NONE	and where is nowhere to be seen cause they only care about #semst
NONE	peer pressure is real parents also need to get real lay the facts right on sex to those who are misleading shame on u #semst
AGAINST	there should be a stigma to butchering preborn children its a horrendous crime against humanity #murder
AGAINST	why dont black lives matter in the womb #semst
NONE	dear nuns your advocacy of tax paying is weird #war #iraq #deathpenalty #taxespayforthisto #taxpayerpride #semst
AGAINST	of mothers advising their daughters to abort are insane its unacceptable #condoms #itsnotonitsnotsafe #semst
AGAINST	#florida attorneygeneralbondi files appeal after judge grants aclu request to temporarily halt new law requiring hr wait before #semst
AGAINST	scotus at it again blocks texas from enforcing part of new abortion law we have to stop killing babies #semst
AGAINST	precisely in gods eyes all life is precious lets make this generation the one who ends abortion #prolifeyouth #semst
