Stance	text
FAVOR	slut shame female nudes jerk nudes night right #smh #semst
NONE	amazing show leicester tonight comedy show seen incredible #upgradeyourself #semst
AGAINST	have considered changing twitter handle vagina monologar #semst
AGAINST	#spankafeminist es horrible #killallmen perfectly finar #semst
FAVOR	thanks work people helping women helping society #semst
AGAINST	gotta love respectar feminists give wanna feminist notar sarcasm #idontneedfeminism #semst
AGAINST	friendly reminder gender myth #semst
AGAINST	dollar #feminist wanted kick shin retirar shitpost twitter #semst
FAVOR	justar putting finishing touches feministthemed cryptic crossword standard #crosswords #semst
AGAINST	pretty aokay team alll #choice anyway #feminists #semst
FAVOR	lead embracing term #badfeminist perfect learning #semst
NONE	saying #alllivesmatter #blacklivesmatter equal rights #semst
NONE	pretty well enjoyed response #semst
NONE	towie catchup totally agree ferne #towie #semst
NONE	very nice work happy hear autistic friend express #semst
AGAINST	spot fashion#feminist claim feminism equality feminist actions demonstrate otherwise #semst
FAVOR	#women power #men themselves #milan #knockknock #pakarmy #ptifamily #semst
FAVOR	women rights #semst
FAVOR	goldstein #sanfrancisco city archivist asks where women history city #alac #archives #semst
AGAINST	selective listening #character trait convenience #feminists #semst
AGAINST	god thing youre pretty fuck tryna slay #semst
FAVOR	people feminist hate feminist equality #equalityforall #semst
FAVOR	schol taught penar mentioned clitoris #semst
AGAINST	slow down your callar yell while wait #whattheactualfuck #semst
AGAINST	amusing feminists creationists swap personal godwomen #gamergate #semst
NONE	cantonada wait #semst
FAVOR	guess wanting make world plaçar makes ugly #feminist #semst
AGAINST	dear feminists expel manhaters poisoning feminism admirar them #gamergate #noty #semst
AGAINST	#ineedmeninist white women make minorities lies feminist #semst
AGAINST	heads america benfits #semst
FAVOR	reading tweets angrier fuck privileged time #feminismisawfullygreat #semst
AGAINST	equality work plaçar woman trash makes sense #semst
AGAINST	afraid fword fword mean feminist word people #semst
AGAINST	realise painted brush wilfully ignorar describe #fail #semst
NONE	justar give attention gave else #extremerules #nepalearthquake #freddiegray #rhoareunion #semst
NONE	meredith giving crap greatbut holy crap peggy spoilers damnar great scene #peggy #madmen #semst
AGAINST	feminists lose weight stop blame society #semst
AGAINST	rethink beach clothes oppress people #thisoppresseswomen #semst
FAVOR	tell stop speaking women belittling manner never women #equality #asshole #semst
FAVOR	queen royalty race king prince #semst
AGAINST	feminists stupid freedom speech lmao #semst
FAVOR	pussy riot punk prayer highly suggest watch such amazing documentary #semst
AGAINST	that subjectar allowed joked about typical feminist topic humor #spankafeminist #semst
AGAINST	twitter back kitchen #feminist #feminazi #powertowomen #equality #semst
AGAINST	#howtokeepyourgirlhappy treat partner superior #semst
AGAINST	#sex male caste general religion hindu none hand gurrr #feminazis pseudo #semst
AGAINST	feminism belief women equal rights opportunities #feminist #lovetheladies #sor #semst
AGAINST	females turn hating feminists fancys dyke lesbian asss #semst
AGAINST	women falsely accuse rapar care exploting sufering real rapar victims #gamergate #semst
NONE	everfetching wanna chat feminist feminazi moment hear sida know #feminist #feminazi #semst
AGAINST	lack intellectual integrity group atheists easy spot count feministatheists #gamergate #semst
AGAINST	noticed beautiful feminists #semst
NONE	jaewon god hod poetry pressing issues #semst
NONE	proud listen crossed eyed #semst
AGAINST	feminists spent time reading paper tumblr real people ignorar sexist bigot #semst
NONE	hell video spelled break wrong megalodon alive brewer #semst
AGAINST	comandandcontrol mentality runs deep #feminists swedish feminist initiative open #semst
AGAINST	stupid feminists civilization granted built labour blod sweat tears #semst
NONE	justar watched fury road amazing everything woman watching filmar amazed #madmaxfuryroad #semst
AGAINST	feminists were honest careful world women sufer rapist #gamergate #semst
AGAINST	feminism built hatred nothing equality humanitarian grounds #dontmancriminate #semst
AGAINST	these sjws homogenous blur dealing giantrainbowheaded monster #gamergate #semst
NONE	funny #government #gay problems straight people problems #semst
FAVOR	patriarchy women blamed prostitution #whatisjustice #inequality #semst
NONE	thats right rapar #semst
NONE	coldre greenlight back side #semst
NONE	thing ugly damnar opinió idiotic people started #semst
FAVOR	feminists ugly fact equal rights women #feministsarebeautiful #semst
AGAINST	feminists were honest kind thoughts #gamergate #semst
AGAINST	spot religió ofended ideas crticism feminism ranks high #semst
FAVOR	courting patriarchal approval condemns sisters abusar physical appearance #patriarchyisugly #semst
AGAINST	feminist logic awesome piece shit nice learn patriarchy means dumb shit #semst
FAVOR	hate break bruh women pretty they pretty show women #feminist #semst
FAVOR	this lady right radical feminist loudest voices normallogical feminist outspoken #semst
AGAINST	someone group #identitypolitics #spankafeminist #semst
AGAINST	sexe equal intellectual abilities collective inferiority complexar feminism necessary #semst
AGAINST	storeys song love beegees topic feminism cultural theory love class #beegees #semst
AGAINST	olympics feminist mens division erradicated equality #gamergate #semst
FAVOR	nothing dudes joking molesting face #semst
NONE	tweet made cast towie matar #semst
AGAINST	times whiskey periods #semst
NONE	lok discuss sexism survival situations back #jurassicworld #semst
AGAINST	women equal rights feminists made women equal read animal farm #semst
AGAINST	make smile #semst
FAVOR	thought mind regular basi #semst
NONE	with farmers bang bare bitches #misogynistcolloquialisms #dontsaybitch #semst
NONE	schadenfreudes stand tickling #semst
AGAINST	seriously gave women heat breaks #wimbledon #semst
NONE	problem liberal tolerance extended agree #tcot #semst
AGAINST	honestly surprised feminist extremists screaming sexist #semst
AGAINST	women make women average make lok feminazis #equalpayday #semst
AGAINST	made casar feminist equality ever fuck feminism #semst
FAVOR	raise females make equal payed #eaquality #semst
NONE	nope adultery years years sorry facts narrative #prochoice #semst
AGAINST	lyin mamar transparentar asshat callar moron wanna #semst
AGAINST	here fighting equality decide ladies heat breaks #semst
NONE	keep fight justice comunities #lgbtrights #blacklivesmatter #justiceformuslims #hispanicgirlsunited #semst
FAVOR	considered hate crime makes threat woman #semst
AGAINST	sexist misandrist whinefest drenched victimhod #semst
AGAINST	task presentar feminist fact infanticida perpetrated mother blame mala #semst
AGAINST	labeling womne sexism labeling well that #semst
FAVOR	thanks laughs tonight social comentary #equalpay #girlyoudontneedmakeup #semst
AGAINST	dear feminists start accountability manhaters shielding convenient concealment #semst
AGAINST	ruthblane anavgjoe ruthblane ruthblane ruthblane ruthblane reversedowry manojmane take #feminazi #semst
AGAINST	gender norms moved boxar wedges #muscles #semst
AGAINST	shut back kitchen bitch #semst
FAVOR	called sexual coercion rapar #rapeculture #semst
NONE	girl joint #islam #semst
FAVOR	upsets people narrowminded feminism stereotyping #semst
NONE	love distract female teachers #semst
AGAINST	getting offended simplest efective manipulate others feminism religió love #gamergate #semst
FAVOR	#weneedfeminism #yesallwomen simply level respectar #heforshe #semst
AGAINST	family court court inquisition #feminazis #semst
NONE	people brag dank shatter shit instagram kill #lol #dabs #wax #semst
FAVOR	jest mà world yknow kaitlyn blow world then #semst
AGAINST	diference activism advocacy #sdg #youthdevelopment #semst
NONE	harry arguing dead girls father kill rapemurdering villain #horns #semst
FAVOR	women shamed children told payed equally children #semst
AGAINST	meritocracy oppressive incompetent sexist sexist #therealkind #semst
AGAINST	feminism appeared rice domesticar violence disappear hope solar #doublestandards #semst
AGAINST	suck women suck sucks #semst
AGAINST	anti feminism god personar everybody #semst
AGAINST	feminism hypocritical fake equality manure sprayed pink fecal #gamergate #semst
AGAINST	realise painted brush wilfully ignorar describe #fail #semst
FAVOR	lets demandar catcalling cat #ndsufeminist #feminist #cats #dogscancometo #semst
AGAINST	runs high heels #semst
NONE	somethin lozer #semst
AGAINST	abortion sufering women hate abortion feminist #semst
AGAINST	again esteem personar oppressed bikinimodels #semst
NONE	have thought blue jeans hates world made other #semst
