LABEL	preprocessing_B
AGAINST	en ha fet més per lindependentisme i la unitat popular a nou barris que tots aquests que tant el critiquen als seus barris i pobles amunt francisco
FAVOR	divendres f acte cloenda campanya de les candidatures q es presenten a la jornada de votació daquest dissabte f escoltarem les candidates i candidats q sí creuen en una nova manera de fer política #canviemelguió #autoconvocats #fvagageneral #judicifarsa
NONE	puigdemont porta a la defensora del poble europea la prohibició de lacte a leurocambra
NONE	josé antonio nieto exsecretari destat de seguretat lactuació dels mossos desquadra va ser insuficient i ineficaç #judicitvcatràdio
FAVOR	es passen dies denunciant lautocar amb que van traslladar els presos polítics ahir diuen que no aprovarien els pressupostos de lamo i avuí diuen que sho repensaran el ridícul de tot plegat és infinit per cert el president de catalunya treballa
FAVOR	vull votar i votaré hi ha quelcom que no em permet no ferho ara bé tinc un greu problema no sé a qui
NONE	torra crida a fer una marxa pels drets civils del país i pel dret a lautodeterminació en lhomenatges a rull
AGAINST	 sergi vidal a rac quan era un molt petit el meu pare em portava a veure petrovic al camp de la penya i pensava què cabrón com les fot amb navarro passa el mateix és un jugador especial
AGAINST	si la setmana vinent decidim anar a les eleccions del a us agradaria que sortíssim al a explicar la nostra proposta feunosho saber amb el hashtag #piratesalfaqs #faqsstrubeltv
FAVOR	consentir una manifestació a plaça sant jaume de feixistes que ens amenaça és una irresponsabilitat del
AGAINST	titular alternatiu el ministre de linterior posa en dubte la mateixa realitat i anuncia que deixa la política per dedicarse a la filosofia
FAVOR	en un bar de sant joan de vilatorrada tens el president del partit a la garjola i la secretària general a lexili per haver fet un referèndum i els del partit proposen ferne un de debò
FAVOR	foreceu noves eleccions ja apartem als qui el d van enganyar als seus votants i ara shan tret la màscara autonomista amb polítics sense coratge ni projecte que no compleixen el mandat del #oct no avancem feu valer els nostres vots tenim pressa
AGAINST	 ui un zasca de aquellos que te gustan recibir
