Stance,text,predicted,true
NONE,denial river egypt #gop strategy #racism #semst,2,2
NONE,#gaymarriage #asylumseekers #semst,2,2
NONE,those items back #semst,2,2
NONE,there time heck california #vaccines #science #gmo #bees #autism #gmo #semst,1,2
AGAINST,when dangerous pollutant curtailed what exhalar again #iwantanswers #semst,2,0
NONE,fuel #earthday trip florir #fail #semst,1,2
NONE,paul spoke denouncing gays current popar speak #semst,2,2
FAVOR,#greatbarrierreef compared dived years #attenborough #semst,1,1
FAVOR,obama attenborough brilliant heart felt honest discussion #renewables #abc #auspol #semst,2,1
NONE,nights fond long hair wanna chop #heatwave #pnwgirl #semst,1,2
FAVOR,#askrobertredford beyond national level individual level mitigate efects #semst,1,1
FAVOR,#greatman #greatman david attenborough change possible attainable listen #attenborobama #semst,1,1
FAVOR,talks #rainforests world russia importar #doctorcarbon advocate #sustainability #semst,1,1
FAVOR,inches rain rain temperature reaches #ahmedabad #environment #semst,1,1
FAVOR,feeling #scotus right right wrong sigh #climatedenial #semst,1,1
FAVOR,lights water saving toilets showerheads appliances renovate chose eficient #mychangeforclimate #semst,1,1
FAVOR,congress dutch reducing greenhouse gassa agriculture excellent combatre #semst,2,1
FAVOR,#karachiheatwave death toll climbs deaths days #carbonemissions #semst,2,1
FAVOR,water temperature atlantic coast june proverbial frogs boiling water #climate #semst,1,1
FAVOR,climate change myth fantasy author live alternate reality #semst,1,1
FAVOR,world emitted water vapour built atmosphere caused lord send flod retribution #bible #semst,1,1
NONE,david attenborough interviewed president obama brilliant fascinating viewing #foreigncorrespondent #abc #tunein #semst,2,2
NONE,real question feel safe driving prius harrison #semst,2,2
FAVOR,today kingdom bahrain participates highlevel event climate change #semst,1,1
NONE,callar advise #auspol #semst,2,2
FAVOR,thank yesterday highlighting importar issues facing #semst,1,1
NONE,#transpregnancy #transgender majorar reason scientists find curar #cancer #aids #semst,2,2
FAVOR,enjoying watching david attenborough obama talk climate change mitigation #lovenature #semst,1,1
FAVOR,spending billion collected environmental fossil fuel subsidies #almedalen #semst,1,1
FAVOR,scorching sumers century thank rock sufer them #semst,1,1
FAVOR,generation opportunity #cfcc #journey #semst,1,1
NONE,further professora #semst,2,2
FAVOR,generation knew move #cfcc #semst,1,1
NONE,easyprintitja firstkingtre freak #rain kingston #jamaica sudden #skui #semst,1,2
FAVOR,there glacier equator #semst,1,1
FAVOR,second heatwave hits popping everywhere flods recordar wildfires canada mess time #semst,1,1
NONE,played instrumental role rallying basic countries strengthen southsouth coperation matters #semst,1,2
FAVOR,david legates university delaware explainhigher temperatura lead higher levels #semst,1,1
FAVOR,have outrageously grateful slight coldre breeze drifting body future #nakedtimes #semst,1,1
NONE,amazing interview david attenborough #semst,1,2
NONE,happy telling wise #semst,2,2
NONE,french nation builds tanks rear view mirror gears reverse #semst,2,2
FAVOR,canada invest billion year paid eficiency #cdnpoli #environment #semst,1,1
NONE,hm #bucketlist #peace #democratic manner #why here #peace #democracy #goal #semst,2,2
FAVOR,arent dinosaurs were asteroid #earth #extinction #semst,1,1
AGAINST,climate change people disgusting assholes money transferir scheme elite #semst,1,0
NONE,pftwere week #standard #semst,2,2
FAVOR,damage this #yrcannes #canneslions #semst,2,1
NONE,callar matt cleveland #kirstieallie #valkilmer #semst,2,2
FAVOR,deny happening #semst,1,1
NONE,that #putin chap extremely #confused stuck #ideologies regards #peace #semst,2,2
FAVOR,#mainaudeclarationlets push agenga worldwide fear #climatejustice #semst,1,1
FAVOR,work #green energy future #semst,1,1
NONE,priority address #semst,2,2
FAVOR,justar canvassed hope join supporting sumer #solar #peoplepower #semst,1,1
NONE,#democratic deeper waters #why here dion #peace #democracy #goal #future #semst,2,2
NONE,first listen conviction action dali lama #glasto #semst,2,2
FAVOR,#climatehealth reportar ambitious programar marshall planar apollo mission tackle climate change #semst,1,1
NONE,barack obama meets david attenborough ready wait years formar #legend #semst,1,2
FAVOR,pupil lincluden primary participating carbonar busters projectar #learningforsustainability #semst,1,1
NONE,great meeting today discuss future cities expertise shared applied #china #semst,1,2
FAVOR,silica dust emissió state level efects #semst,1,1
NONE,hell feel fiery tip insidious flamar swiftly sauntering rom #semst,2,2
FAVOR,inland humid this sumers muggy strange #semst,1,1
AGAINST,noted climatologist marinar biologist oceanographer danson told oceà dead #semst,1,0
FAVOR,#seattle this normal #hotaf #semst,2,1
NONE,#sebamm #seb prtner explains work #ipcc #semst,2,2
NONE,gutted missed loved hear talk africar represented #semst,2,2
NONE,brilliant stories created subjugate others #leftistliesisbs #semst,2,2
AGAINST,global warming global warming global warming wait sumer #semst,1,0
NONE,sunny rainy bipolar weather real quick nigga #semst,1,2
FAVOR,rentar theatre show movie #chasingice friends family spread message global warming #semst,1,1
FAVOR,drought efects spreading western noram govt destroy prime farmland enable #lng #sitec #bcpoli #semst,2,1
NONE,#tonyabbott hope watching president obama talking #semst,2,2
FAVOR,dutch meaning citizens governments court make climate promises #hague #hope #cop #semst,1,1
NONE,congratulations dutch good work #change #semst,1,2
FAVOR,children women elderly people risk health impacts #climatereporting #semst,1,1
FAVOR,loud thunder seconds rain #thanksobama #semst,2,1
NONE,religion race disproven reason science politics #drought #semst,1,2
FAVOR,repent emission hell #bible #semst,1,1
FAVOR,#tolerance #mother #earth #methodology levels #capitalistic #ideologies #semst,1,1
AGAINST,change climate country adds element soil charles darwin #anthropocene #semst,1,0
FAVOR,raining surar suddenly warm after #semst,2,1
FAVOR,this planet live protect #obama #attenborough #semst,1,1
NONE,went feel legs brain feels boiling #semst,2,2
AGAINST,climate change explain definition climate change #fraud #ccot #liberty #cruzcrew #semst,1,0
FAVOR,higher levels temperature glacial retreat warmer oceà extremar weather events plenty evidence #semst,1,1
FAVOR,attenborough real problem global #semst,1,1
NONE,#technology signatura come #ideology #capitalism signatura #methodology #semst,2,2
NONE,#savingmytomorrow guys promoting crazy #hbo #semst,2,2
NONE,democrats weather #semst,1,2
NONE,national announces planar firar pantry restar house burn baby burn #sameoldshit #semst,2,2
NONE,defeat isis defeat #semst,2,2
NONE,expected zealands socalled leaders show leadership instead show weakminded ignorance laggardship #semst,2,2
NONE,bombar hands they christian #graham #gop #semst,2,2
NONE,negativar times negativar equals positivewonder applies emotions #manthoughts #sustainablehumans #semst,2,2
FAVOR,continuar burn wake callar #vancouver #bcwildfires #semst,2,1
FAVOR,clean technology moment #innovation #technology #davidattenboroughismyhero #semst,1,1
AGAINST,glblwarmingnews toth fairy causing kids lose teeth #carbontaxscam #chemtrails #semst,0,0
NONE,some people guilt free #semst,1,2
FAVOR,justar read scalias idiotic opinion overturning epas carbonar emissió limits planning spend seething rajar #semst,1,1
FAVOR,#engineeringinnovation future green tech deal #semst,1,1
FAVOR,wearing sweater june #itfeelslikespring #semst,1,1
FAVOR,breeze catch lakefront heat stroke well #heatstroke #semst,1,1
FAVOR,scary stat area urban greenspace england lost #semst,2,1
FAVOR,politics religion race busy killing hurting other earth dries anyway #drought #semst,1,1
FAVOR,srsly weirds wear #sunscreen morning #dogwalk #tan #wtf #semst,2,1
NONE,building renovations turn time #business #money #wallstreet #enterprise #entrepreneur #engineering #semst,1,2
FAVOR,unfortunate refusar damage responsible #savetheearth #semst,1,1
FAVOR,eyes china report planar building agreement #emissions expected #cop #ghg #semst,1,1
NONE,wonderful find twitter meet canadian working #semst,2,2
FAVOR,questions reportar #asklancet tweet chat happening #actonclimate #climatehealth #semst,1,1
NONE,#annapurnavancheswaran years #bureaucracy speak indian #government #pivotal #semst,1,2
NONE,pick follow andr signatura round #semst,2,2
FAVOR,last thursday lake mead largest reservoir lowest water level reported #historyinthemaking #semst,1,1
NONE,#spacex majorar litterbug clean debris litter hiway space #semst,2,2
FAVOR,without plaçar feeding mating giving birth future polar bears #semst,1,1
FAVOR,pahiatua plantar primarily coalfired large companies taking lead #semst,1,1
FAVOR,obamacare doctor should warn global warmin make patients health worse #obama #presidentobama #whitehouse #semst,1,1
FAVOR,macro problems face people focus micro problems power #semst,1,1
FAVOR,there things donar changing mindset #watermanagement #semst,2,1
FAVOR,#seattle degrees trying sleep industrial fansounds choppers circling house #heatwave #semst,1,1
FAVOR,worry sedimentar cora provar shellfish coralar recover years #oilandgas #rbe #tvp #semst,2,1
FAVOR,varunkr #pleasesavetrees #survival fight #saveourplanet #semst,1,1
NONE,president tong tell story vulnerability resilience #kiribati #maldives lowlying states sids #action #semst,2,2
FAVOR,james inhofe tell global warming real #semst,1,1
NONE,popar franci makin rounds #popefrancis #semst,2,2
FAVOR,coldest wettest sumer memory #mosquitoes #mowtwiceaweek #brrrr #semst,1,1
FAVOR,support australias climate roundtable providing framework debate ahead parar #semst,1,1
FAVOR,guessing humidity back time moses #semst,2,1
FAVOR,isnt impactar warming logarithmic current levels incremental impactar negligible #ndp #semst,1,1
NONE,#netherlands taught restar world importar lesson #semst,1,2
FAVOR,carbonar fundar spent publicar transportation renewable energy #ejlive #ableg #semst,1,1
NONE,brilliant talk #dali lama #divestment action #glasto #semst,2,2
FAVOR,#mission#climate home reusable bags plastic bags #tip #actonclimate #semst,1,1
FAVOR,integrated #science #indigenous knowledge understand adaptar #cfcc #semst,1,1
NONE,youre proud that #shoallake #boilwater #fortchip #cancer #vanuatu #balafalls #landscapingissues #semst,2,2
FAVOR,level rise century meters drown airport portar #withcompassion #semst,2,1
