LABEL	preprocessing_B
AGAINST	en ha fet més per lindependentisme i la unitat popular a nou barris que tots aquests que tant el critiquen als seus barris i pobles amunt francisco
FAVOR	es passen dies denunciant lautocar amb que van traslladar els presos polítics ahir diuen que no aprovarien els pressupostos de lamo i avuí diuen que sho repensaran el ridícul de tot plegat és infinit per cert el president de catalunya treballa
AGAINST	si la setmana vinent decidim anar a les eleccions del a us agradaria que sortíssim al a explicar la nostra proposta feunosho saber amb el hashtag #piratesalfaqs #faqsstrubeltv
FAVOR	consentir una manifestació a plaça sant jaume de feixistes que ens amenaça és una irresponsabilitat del
AGAINST	titular alternatiu el ministre de linterior posa en dubte la mateixa realitat i anuncia que deixa la política per dedicarse a la filosofia
FAVOR	en un bar de sant joan de vilatorrada tens el president del partit a la garjola i la secretària general a lexili per haver fet un referèndum i els del partit proposen ferne un de debò
FAVOR	foreceu noves eleccions ja apartem als qui el d van enganyar als seus votants i ara shan tret la màscara autonomista amb polítics sense coratge ni projecte que no compleixen el mandat del #oct no avancem feu valer els nostres vots tenim pressa
AGAINST	tothom sap que lesquerra autèntica recolza ferotgement la república catalana i que no dona suport a fanàtics dultradreta com torra
FAVOR	referèndum sobre estatut i independència però què és això a escòcia va ser així oi que no ja prou tardà de veritat prou per molt que repeteixis cada dia el mateix la gent no tho compra i espero que no tho compri mai
NEUTRAL	en yokomizo vs lamuro daprenents den kogoro #detectiuconanxl
AGAINST	només recordar pq de vegades la memòria és selectiva que el sraznar és còmplice de lassassinat de quasi mig milió de persones espero i desitjo que com tots els assassins algun dia et jutjin i et podreixis a la presó
AGAINST	️  boom alemania demana a lue que suspengui la regla de lunanimitat per les decisions de política exterior això vol dir que espanya no podria bloquejarnos per entrarhi
AGAINST	tho estant repetint cada dia si votes erc el #a no et sorprenguis lendemà quan tornin a votar amb el psoe de franc i a fer de nous duranilleida a madrid no volen el vot indepe que confien mantenir de franc cerquen exvotants de podemospsoe lícit pero no amb el meu vot
AGAINST	si si només faltaría que reconeixesin la culpabilitat aixi de primeres pero encara falten el testigs de la acusació que tenen tanta credibilitat com els acusats
AGAINST	es un estafador botifler i malparit
AGAINST	 el parlament de catalunya sempre treballant pel que realment importa
FAVOR	com ja vam fer amb al vaga de lany passat els diputats i diputades donarem el nostre sou del dia de la vaga a entitats feministes explica al #parlament
FAVOR	no entenc com al parlament europeu donen veu a aquests feixistes agressius i violents i silencien la veu de persones pacifiques com el nostre president legítim a lexili
FAVOR	el sistema judicial vol carles puigdemont a espanya no com a testimoni sinó com a presoner advocat de valtònyc #faqstherealtv ️
FAVOR	maragall un paio que va passar de l ajuntament franquista de porcioles a fidel servidor del psoe de mister x als tripartits d infausta memoria i per ultim indepe es algu de solids principis i projecte clar i si a mes te l experiencia de anys es un candidat excel·lent
AGAINST	en una cosa té raó no es poden barrejar les coses per això lajuntament actual fa polítiques socials com mai vistes i a més és lúnic partit q ha portat a judici les càrregues policials de lo i fa actes actes en defensa de labús de la gent empresonada
NEUTRAL	 ens jutgen a tots perquè no ens poden afusellar
FAVOR	quantissima dignitat en cada nota massa no mereix el que ens estan fent els nostres cuanta vergonya indignitat i egoisme hi ha als despatxos però no ens fareu còmplices de la vostre traïció no passaran els feixistes però vosaltres vosaltres tampoc mori el mal govern
AGAINST	 plaça sant jaume ara mateix catalunya combat al feixisme
FAVOR	 #faqsstrubeltv espanya amb catalunya ha estat disposat a fer de tot de tot menys política
FAVOR	lestaca a sant jaume gallina de piel #omplimstjaume #omplimsantjaume #llibertatpresespolítiques #llibertatpresospolítics
FAVOR	des de quan la facultat dinterrogar a un testimoni de la contrapart està condicionada a les preguntes que li hagi formulat abans el proposant de la prova el feixisme togat espanyol innovant una vegada més el dret #judicifarsa
NEUTRAL	#totesmoutv quina barra dir q ara hi ha crispació i ara els catalans patim i negar q fons ara els catalans no patíem cony q des q vaig néixer han pretès q demanes perdó per ser catalana catalanista i separatista
