FAVOR	Human rights are women's rights and women's rights are human rights. - Hillary Clinton
AGAINST	Hillary will get past the primaries cause Dem voters don't think she can do any wrong. But she will be beat in November
AGAINST	The guy in the multicolored shirt looks chi as fuck.
AGAINST	"redsteeze: Broke, as in Dead broke"" Elitist Nauseating Get behind the rope Hateful Arrogant Z Ideologue Someone else add Z."
NONE	.CaptYonah thehill Fine; unethical or illegal quid pro quo uranium deal works for me.
NONE	I'm going to apply for the Intern job
AGAINST	Reince Facts confirm what we knew. Used server to prevent e-mails from becoming public records. Like Obama, no transparency.
NONE	"So we're to believe that ""Santa"" is a hairstylist? Um... okay. You often need code for that. Lies"
AGAINST	Why is Hillary lying AGAIN about something news worthy? What's news worthy is if she doesn't lie about something
AGAINST	"ResistTyranny ""HillaryClinton can't even manage billclinton and she wants to be POTUS"" lol WakeUpAmerica StopHillary2016"
AGAINST	"hey ""transparent"" HillaryClinton so...who is ""Santa""? LibHack Pay2Play Corruptocrat tcot Benghazi VinceFoster Monica"
NONE	I think I'll take JebBush over BobbyJindal now.. and that is scary to say. badchristianvalues
AGAINST	Kind of scares me that there are still thousands of emails that have not been released from Hillary's private emails.
NONE	NRO Does johnpodesta have any grasp on reality? I need more than 140 characters to address someone as naive as this man.
NONE	occupycorruptDC she ain't no ways tired of being a dumbass
FAVOR	HillaryClinton literally the greatest video I have ever seen.
FAVOR	96 commit cards collected for Hillary in Greenville, SC so far! FellowsSC
AGAINST	PhilGlutting megadreamin Thank you so much for RT and FAV!!! WakeUpAmerica Rubio2016 Cruz2016
AGAINST	Great day in Emmetsburg meeting with HillaryClinton supporters and learning more about important issues in Palo Alto county
AGAINST	I am a big HILLARY Clinton supporter. My plan is working, poor Donnie doesn't even know. Trump2016
AGAINST	RIGHTZONE WethePeoplePets Let's hope the VOTERS remember! HillNo
NONE	How many poor kids could $2.5 billion feed?
AGAINST	Leader of free world. Global navigating. Interacting with the international community. Beyond big crowds. Learned lesson.
AGAINST	CBSThisMorning Emails missing and incomplete? Who'd of thunk it? I'M ABOVE THE LAW and the rest of you peons! JUST TRUST ME!
AGAINST	.HillaryClinton is a droid & someone's programmed her to say things - thinks she doesn't have to WORK to win so she ISN'T!
NONE	bristola48 AlciniaH Mahogany1992 stphil MzDivah67 Progress4Ohio graceslick77 AuntLulie deejayedee He cool, but NO
AGAINST	KCA VoteJKT48ID RfWheels3015: davidjones720 rratkinson Right I mean what the heck is an ArabDonorGroup ?? HillaryEmails D...
AGAINST	"WhyImNotVotingForHillary she calls education a ""non-family enterprise"" ImCommitted2DefeatHillary Are you? ncpol GOP"
AGAINST	fuzislippers KLSouth gdebenedetti Yeah, she's a real forward thinker! Lol MakeAmericaGreatAgain WhyImNotVotingForHillary
NONE	ProBirdRights: I do a stump speech. It on the stump in the park. attendance mandatory.
AGAINST	Hillary Clinton makes Nixon look like an amateur schoolboy ClintonCash ClintonFoundation Clinton
NONE	I am just full of myself tonight tofunny funny funnier hilarious HilaryDuff QuotesOfTheDay quotestoliveby quotes
NONE	Come visit me at the Jefferson County Fair! Representative Curt Hanson will tell a joke and I'll tell a story about why vote
AGAINST	HillaryClinton A Rainbow logo? Did u know only 4% of the US is gay? (2010 Census). WhyImNotVotingForHillary
AGAINST	Breaking News: Hillary trades campaign bus for a broomstick.
FAVOR	Don't you someday want to see a well qualified candidate by the president of the United States? ReflectingHillary
FAVOR	HillaryClinton ca_hillary stand on the right side
NONE	RAM0018 joanwalsh Salon BreeNewsome chrislhayes Without the blacks and minority voters? NO, Won't happen!
AGAINST	petefrt That woman is so corrupt she can't even have a truthful thought.
AGAINST	Dude, why can't Hillary run a fax machine?
NONE	A body-cam on every cop, private servers for Cabinet Secretaries.
FAVOR	ChelseaClinton's mom has got it going on! POTUS ChelseasMom
AGAINST	HillaryClinton I wish u were in Benghazi instead of those great people, chronic liar and power hungry animal
FAVOR	HillaryClinton BarackObama The whole world is supporting you.
AGAINST	Today's number is 8! That's how many years old Jesus was when he learned to ride a bike! Pretty cool dude! USWNT proudmom
AGAINST	petefrt this is how GOP needs to be handling campaign not attacking each other but showing all hillary fails. uniteright
AGAINST	It's official. Every single GOP member is now a candidate for POTUS. Who needs leadership when you have a soapbox?
AGAINST	Who's monica Lewinsky's favorite football player? Ha-Ha Clinton Dix
FAVOR	lbush34 HillaryClinton just defending my girl Hillary!
AGAINST	theblaze Heaven forbid anyone invade the space of the Queen of Lies. -_-
AGAINST	so AdamParkhomenko met oliviawilde . there aren't enough words to describe my envy haha
AGAINST	How much was Monica getting paid when Bill's burrito squirted sauce all over her pretty blue dress? MauraReynolds politico
AGAINST	Chipotle employees shouldn't complain Hillary left nothing in the tip jar. They're lucky she didn't dip in and help herself
