Stance,text,predicted,true
FAVOR,slut shame female nudes jerk nudes night right #smh #semst,0,1
NONE,amazing show leicester tonight comedy show seen incredible #upgradeyourself #semst,0,2
AGAINST,have considered changing twitter handle vagina monologar #semst,1,0
AGAINST,#spankafeminist es horrible #killallmen perfectly finar #semst,0,0
FAVOR,thanks work people helping women helping society #semst,1,1
AGAINST,gotta love respectar feminists give wanna feminist notar sarcasm #idontneedfeminism #semst,0,0
AGAINST,friendly reminder gender myth #semst,1,0
AGAINST,dollar #feminist wanted kick shin retirar shitpost twitter #semst,0,0
FAVOR,justar putting finishing touches feministthemed cryptic crossword standard #crosswords #semst,0,1
AGAINST,pretty aokay team alll #choice anyway #feminists #semst,0,0
FAVOR,lead embracing term #badfeminist perfect learning #semst,0,1
NONE,saying #alllivesmatter #blacklivesmatter equal rights #semst,1,2
NONE,pretty well enjoyed response #semst,0,2
NONE,towie catchup totally agree ferne #towie #semst,2,2
NONE,very nice work happy hear autistic friend express #semst,0,2
AGAINST,spot fashion#feminist claim feminism equality feminist actions demonstrate otherwise #semst,1,0
FAVOR,#women power #men themselves #milan #knockknock #pakarmy #ptifamily #semst,1,1
FAVOR,women rights #semst,1,1
FAVOR,goldstein #sanfrancisco city archivist asks where women history city #alac #archives #semst,1,1
AGAINST,selective listening #character trait convenience #feminists #semst,0,0
AGAINST,god thing youre pretty fuck tryna slay #semst,2,0
FAVOR,people feminist hate feminist equality #equalityforall #semst,0,1
FAVOR,schol taught penar mentioned clitoris #semst,2,1
AGAINST,slow down your callar yell while wait #whattheactualfuck #semst,0,0
AGAINST,amusing feminists creationists swap personal godwomen #gamergate #semst,0,0
NONE,cantonada wait #semst,0,2
FAVOR,guess wanting make world plaçar makes ugly #feminist #semst,1,1
AGAINST,dear feminists expel manhaters poisoning feminism admirar them #gamergate #noty #semst,0,0
AGAINST,#ineedmeninist white women make minorities lies feminist #semst,0,0
AGAINST,heads america benfits #semst,1,0
FAVOR,reading tweets angrier fuck privileged time #feminismisawfullygreat #semst,2,1
AGAINST,equality work plaçar woman trash makes sense #semst,1,0
AGAINST,afraid fword fword mean feminist word people #semst,0,0
AGAINST,realise painted brush wilfully ignorar describe #fail #semst,0,0
NONE,justar give attention gave else #extremerules #nepalearthquake #freddiegray #rhoareunion #semst,2,2
NONE,meredith giving crap greatbut holy crap peggy spoilers damnar great scene #peggy #madmen #semst,0,2
AGAINST,feminists lose weight stop blame society #semst,0,0
AGAINST,rethink beach clothes oppress people #thisoppresseswomen #semst,0,0
FAVOR,tell stop speaking women belittling manner never women #equality #asshole #semst,0,1
FAVOR,queen royalty race king prince #semst,0,1
AGAINST,feminists stupid freedom speech lmao #semst,0,0
FAVOR,pussy riot punk prayer highly suggest watch such amazing documentary #semst,2,1
AGAINST,that subjectar allowed joked about typical feminist topic humor #spankafeminist #semst,0,0
AGAINST,twitter back kitchen #feminist #feminazi #powertowomen #equality #semst,0,0
AGAINST,#howtokeepyourgirlhappy treat partner superior #semst,0,0
AGAINST,#sex male caste general religion hindu none hand gurrr #feminazis pseudo #semst,0,0
AGAINST,feminism belief women equal rights opportunities #feminist #lovetheladies #sor #semst,0,0
AGAINST,females turn hating feminists fancys dyke lesbian asss #semst,0,0
AGAINST,women falsely accuse rapar care exploting sufering real rapar victims #gamergate #semst,0,0
NONE,everfetching wanna chat feminist feminazi moment hear sida know #feminist #feminazi #semst,0,2
AGAINST,lack intellectual integrity group atheists easy spot count feministatheists #gamergate #semst,0,0
AGAINST,noticed beautiful feminists #semst,0,0
NONE,jaewon god hod poetry pressing issues #semst,0,2
NONE,proud listen crossed eyed #semst,2,2
AGAINST,feminists spent time reading paper tumblr real people ignorar sexist bigot #semst,0,0
NONE,hell video spelled break wrong megalodon alive brewer #semst,1,2
AGAINST,comandandcontrol mentality runs deep #feminists swedish feminist initiative open #semst,0,0
AGAINST,stupid feminists civilization granted built labour blod sweat tears #semst,0,0
NONE,justar watched fury road amazing everything woman watching filmar amazed #madmaxfuryroad #semst,0,2
AGAINST,feminists were honest careful world women sufer rapist #gamergate #semst,0,0
AGAINST,feminism built hatred nothing equality humanitarian grounds #dontmancriminate #semst,0,0
AGAINST,these sjws homogenous blur dealing giantrainbowheaded monster #gamergate #semst,0,0
NONE,funny #government #gay problems straight people problems #semst,0,2
FAVOR,patriarchy women blamed prostitution #whatisjustice #inequality #semst,1,1
NONE,thats right rapar #semst,0,2
NONE,coldre greenlight back side #semst,0,2
NONE,thing ugly damnar opinió idiotic people started #semst,1,2
FAVOR,feminists ugly fact equal rights women #feministsarebeautiful #semst,1,1
AGAINST,feminists were honest kind thoughts #gamergate #semst,0,0
AGAINST,spot religió ofended ideas crticism feminism ranks high #semst,0,0
FAVOR,courting patriarchal approval condemns sisters abusar physical appearance #patriarchyisugly #semst,0,1
AGAINST,feminist logic awesome piece shit nice learn patriarchy means dumb shit #semst,0,0
FAVOR,hate break bruh women pretty they pretty show women #feminist #semst,0,1
FAVOR,this lady right radical feminist loudest voices normallogical feminist outspoken #semst,0,1
AGAINST,someone group #identitypolitics #spankafeminist #semst,0,0
AGAINST,sexe equal intellectual abilities collective inferiority complexar feminism necessary #semst,0,0
AGAINST,storeys song love beegees topic feminism cultural theory love class #beegees #semst,0,0
AGAINST,olympics feminist mens division erradicated equality #gamergate #semst,0,0
FAVOR,nothing dudes joking molesting face #semst,0,1
NONE,tweet made cast towie matar #semst,2,2
AGAINST,times whiskey periods #semst,0,0
NONE,lok discuss sexism survival situations back #jurassicworld #semst,0,2
AGAINST,women equal rights feminists made women equal read animal farm #semst,1,0
AGAINST,make smile #semst,0,0
FAVOR,thought mind regular basi #semst,0,1
NONE,with farmers bang bare bitches #misogynistcolloquialisms #dontsaybitch #semst,0,2
NONE,schadenfreudes stand tickling #semst,0,2
AGAINST,seriously gave women heat breaks #wimbledon #semst,0,0
NONE,problem liberal tolerance extended agree #tcot #semst,0,2
AGAINST,honestly surprised feminist extremists screaming sexist #semst,0,0
AGAINST,women make women average make lok feminazis #equalpayday #semst,1,0
AGAINST,made casar feminist equality ever fuck feminism #semst,0,0
FAVOR,raise females make equal payed #eaquality #semst,0,1
NONE,nope adultery years years sorry facts narrative #prochoice #semst,2,2
AGAINST,lyin mamar transparentar asshat callar moron wanna #semst,0,0
AGAINST,here fighting equality decide ladies heat breaks #semst,1,0
NONE,keep fight justice comunities #lgbtrights #blacklivesmatter #justiceformuslims #hispanicgirlsunited #semst,2,2
FAVOR,considered hate crime makes threat woman #semst,0,1
AGAINST,sexist misandrist whinefest drenched victimhod #semst,0,0
AGAINST,task presentar feminist fact infanticida perpetrated mother blame mala #semst,0,0
AGAINST,labeling womne sexism labeling well that #semst,0,0
FAVOR,thanks laughs tonight social comentary #equalpay #girlyoudontneedmakeup #semst,0,1
AGAINST,dear feminists start accountability manhaters shielding convenient concealment #semst,0,0
AGAINST,ruthblane anavgjoe ruthblane ruthblane ruthblane ruthblane reversedowry manojmane take #feminazi #semst,0,0
AGAINST,gender norms moved boxar wedges #muscles #semst,1,0
AGAINST,shut back kitchen bitch #semst,0,0
FAVOR,called sexual coercion rapar #rapeculture #semst,1,1
NONE,girl joint #islam #semst,1,2
FAVOR,upsets people narrowminded feminism stereotyping #semst,0,1
NONE,love distract female teachers #semst,1,2
AGAINST,getting offended simplest efective manipulate others feminism religió love #gamergate #semst,0,0
FAVOR,#weneedfeminism #yesallwomen simply level respectar #heforshe #semst,1,1
AGAINST,family court court inquisition #feminazis #semst,2,0
NONE,people brag dank shatter shit instagram kill #lol #dabs #wax #semst,0,2
FAVOR,jest mà world yknow kaitlyn blow world then #semst,0,1
AGAINST,diference activism advocacy #sdg #youthdevelopment #semst,0,0
NONE,harry arguing dead girls father kill rapemurdering villain #horns #semst,1,2
FAVOR,women shamed children told payed equally children #semst,1,1
AGAINST,meritocracy oppressive incompetent sexist sexist #therealkind #semst,0,0
AGAINST,feminism appeared rice domesticar violence disappear hope solar #doublestandards #semst,0,0
AGAINST,suck women suck sucks #semst,0,0
AGAINST,anti feminism god personar everybody #semst,0,0
AGAINST,feminism hypocritical fake equality manure sprayed pink fecal #gamergate #semst,0,0
AGAINST,realise painted brush wilfully ignorar describe #fail #semst,0,0
FAVOR,lets demandar catcalling cat #ndsufeminist #feminist #cats #dogscancometo #semst,1,1
AGAINST,runs high heels #semst,0,0
NONE,somethin lozer #semst,0,2
AGAINST,abortion sufering women hate abortion feminist #semst,0,0
AGAINST,again esteem personar oppressed bikinimodels #semst,0,0
NONE,have thought blue jeans hates world made other #semst,1,2
FAVOR,what wonderful interview very refreshing feminist views #semst,0,1
AGAINST,feel selfconscious thats catcalls flattered pretty feel anxious wanna home #semst,2,0
FAVOR,wrong dick guys praised sexist #semst,0,1
AGAINST,there basic abusar women that general give damnar jimy carter #semst,0,0
AGAINST,fullar #narcissism selfloathing women that #wrightstuf #wolfwhistling #semst,0,0
FAVOR,because united states countries give paid maternity leave #semst,1,1
AGAINST,damnar wage sneaky work longer hours dangerous jobs paid #semst,0,0
AGAINST,nicefeminists passivar onlokers manhate their excusar prevent hate movement #semst,0,0
AGAINST,people #feminists seriously give time hear this rich #semst,0,0
FAVOR,umrao jan story life prostitute poise poesy #womanpower #semst,1,1
FAVOR,sexually harassed #semst,1,1
NONE,mother laughed graders mother threw screamed #strongwomen #semst,0,2
NONE,cliford virginia #stophidingit #semst,0,2
NONE,dress completely fasten #semst,0,2
FAVOR,candidate gender gender matter anymore #paulhenry #semst,1,1
NONE,straight male female friendship #equality #friends #semst,2,2
NONE,literal fuck evan sseing this thing about #semst,2,2
AGAINST,creationist word feminist feminism #semst,0,0
AGAINST,share road pulled nighter blew sober rested woman #equality #semst,1,0
AGAINST,ceos apologizing feminists pressure awards feminism soughtafter intellectual imunity #gamergate #semst,0,0
FAVOR,doesnt miracle takes signature kind people kill innocent women #maryjanelives #semst,1,1
AGAINST,answer #gamergate #semst,0,0
AGAINST,#howtospotafeminist feminists comparar successful feminist women harbor jealousy #semst,0,0
AGAINST,pushing misinformation #wagegap anti vaccination #semst,0,0
AGAINST,with side gonna achieve goals #strongwomen #goals #semst,2,0
FAVOR,justar heard inspiring interview heroines #women #islam #revolution #semst,1,1
AGAINST,child recycle socks festering laundry heap feminist mother slave #semst,0,0
FAVOR,woman mà #genderequality #semst,1,1
FAVOR,what load crap dressing appropriately ofice sexist grow #yesallwomen #semst,1,1
FAVOR,last week made turn drove wrong street body #catcalling #streetharassment #semst,1,1
AGAINST,nailed black feminist banged hard shit wife ended cleaning shit #baltimoreriots #semst,0,0
AGAINST,glad raise kids time educated mothering decisió family vilified #nonvaxxerhere #semst,1,0
AGAINST,dear feminists waste time joining feminist cult mormó close dor #semst,0,0
AGAINST,#feminists calling people names turn feministsyoure shoting fotre #sexism #antisjw #semst,0,0
AGAINST,fellow feminists fight back ridiculous warglorifying celebrates #men #triggered #transpatriot #semst,0,0
FAVOR,because human beings created equally nature #semst,0,1
FAVOR,downvoting youtube videos hateful sexist #gamergate #femfreq #radicalbytes #videogame #gaming #semst,0,1
FAVOR,even gender superior #semst,1,1
AGAINST,brainwashing hope selected jury duty involving crime #semst,0,0
NONE,guyz talking baltimore social issues superar smart superar current events #semst,0,2
NONE,when real life controversial scroll social media faster #baltimoreriots #nepalearthquake #kyliejennerchallenge #semst,2,2
NONE,charlotte church interviewing pussy riot #glasto #fuckyeahglasto #semst,1,2
AGAINST,sigh small step back women giant leap forward lonely perverts #chrissyteigen #semst,0,0
AGAINST,watching #baltimoreriots news obvious feminist gony beardman reporter attention #semst,2,0
AGAINST,feminism equal womans rights feminism vaulting gender another equality #semst,1,0
AGAINST,when strong female lead excited gratuitous sexual violence #semst,1,0
NONE,true compete #semst,0,2
AGAINST,beauty goat #addgoatruinaquote #beauty #bodyimage #semst,1,0
NONE,gladly acceptar face bill #neversatisfied #semst,0,2
AGAINST,feminists tend upset leave comedy club humor formar intelligence lack #gamergate #semst,0,0
AGAINST,blocked frequent posters #yesallwomen debated with cantonada handle facts #semst,2,0
AGAINST,interesting video kidnaps torturestying confinement wife evil accountant #semst,2,0
AGAINST,most feminists fighting most maniacs minutar fame #cnews #semst,0,0
