LABEL	preprocessing_C
AGAINST	En fgarrobo ha fet més per lindependentisme i la unitat popular a Nou Barris que tots aquests que tant el critiquen als seus barris i pobles Amunt Francisco✊🏾
FAVOR	Es passen dies denunciant lautocar amb que van traslladar els presos polítics ahir diuen que no aprovarien els pressupostos de lamo i avuí diuen que sho repensaran El ridícul de tot plegat és infinit Per cert el president de Catalunya treballa
AGAINST	Si la setmana vinent decidim anar a les eleccions del 28A us agradaria que sortíssim al FAQSTV3 a explicar la nostra proposta Feunosho saber amb el hashtag PiratesAlFAQS FAQSstrubelTV3
FAVOR	Consentir una manifestació a Plaça Sant Jaume de feixistes que ens amenaça és una irresponsabilitat del catalangov MiquelBuch 
AGAINST	Titular alternatiu El ministre de lInterior posa en dubte la mateixa realitat i anuncia que deixa la política per dedicarse a la filosofia  
FAVOR	En un bar de Sant Joan de Vilatorrada Tens el president del partit a la garjola i la secretària general a lexili per haver fet un referèndum i els del partit proposen ferne un de debò
FAVOR	aramateix cupnacional CUPBarcelona foreceu noves eleccions JA apartem als qui el 21D van enganyar als seus votants i ara shan tret la màscara autonomista amb polítics sense coratge ni projecte que no compleixen el mandat del 1oct NO AVANCEM cupnacional feu valer els nostres vots tenim pressa
AGAINST	dhv1976 AresCases Tothom sap que lesquerra autèntica recolza ferotgement la República Catalana i que no dona suport a fanàtics dultradreta com Torra
FAVOR	JoanTarda Referèndum sobre Estatut i Independència Però què és això A Escòcia va ser així Oi que no Ja prou Tardà de veritat prou Per molt que repeteixis cada dia el mateix la gent no tho compra i espero que no tho compri mai
NEUTRAL	En Yokomizo vs lAmuro daprenents den Kogoro DetectiuConan3XL
AGAINST	Només recordar pq de vegades la memòria és selectiva que el SrAznar és còmplice de lassassinat de quasi mig milió de persones Espero i desitjo que com tots els assassins algun dia et jutjin i et podreixis a la presó
AGAINST	⚠️ 🇩🇪 BOOM Alemania demana a lUE que suspengui la regla de lunanimitat per les decisions de política exterior Això vol dir que Espanya no podria bloquejarnos per entrarhi 
AGAINST	Tho estant repetint cada dia Si votes ERC el 28A NO et sorprenguis lendemà quan tornin a votar amb el PSOE de franc i a fer de nous DuraniLleida a Madrid NO volen el vot indepe que confien mantenir de franc cerquen exvotants de PodemosPSOE Lícit pero NO amb el meu vot 
AGAINST	Si si Només faltaría que reconeixesin la culpabilitat aixi de primeres  Pero encara falten el testigs de la acusació Que tenen tanta credibilitat com els acusats 
AGAINST	astridbierge BernatDedeu JoanTarda Es un estafador botifler i malparit
AGAINST	RT erpllo El Parlament de Catalunya sempre treballant pel que realment importa 
FAVOR	Com ja vam fer amb al vaga de lany passat els diputats i diputades donarem el nostre sou del dia de la vaga a entitats feministes  explica JnnDiaz al Parlament 
FAVOR	jmangues No entenc com al Parlament Europeu donen veu a aquests feixistes agressius i violents i silencien la veu de persones pacifiques com el nostre president legítim a lexili
FAVOR	El sistema judicial vol Carles Puigdemont a Espanya no com a testimoni sinó com a presoner Simonbekaert advocat de Valtònyc FAQStherealTV3 ▶️  
FAVOR	Maragall un paio que va passar de l ajuntament franquista de Porcioles a fidel servidor del PSOE de Mister X  als tripartits d infausta memoria i per ultim indepe  Es algu de solids principis i projecte clar i si a mes te l experiencia de 76 anys  es un candidat excel·lent
AGAINST	ERCbcn ernestmaragall junqueras quimforn En una cosa té raó no es poden barrejar les coses Per això lajuntament actual fa polítiques socials com mai vistes i a més és lúnic partit q ha portat a judici les càrregues policials de l1O i fa actes actes en defensa de labús de la gent empresonada
NEUTRAL	RT VogelfreiCAT Ens jutgen a tots perquè no ens poden afusellar
FAVOR	Quantissima dignitat en cada nota massa No mereix el que ens estan fent els nostres Cuanta vergonya indignitat i egoisme hi ha als despatxos però no ens fareu còmplices de la vostre traïció no passaran els feixistes però vosaltres vosaltres tampoc MORI EL MAL GOVERN 
AGAINST	RT FiodoirMacTire Plaça Sant Jaume ara mateix Catalunya combat al feixisme 
FAVOR	RT Ninona62 FAQSstrubelTV3 Espanya amb Catalunya ha estat disposat a fer de tot de tot menys política jorditurull
FAVOR	LEstaca a Sant Jaume Gallina de piel OmplimStJaume OmplimSantJaume LlibertatPresesPolítiques LlibertatPresosPolítics 
FAVOR	Des de quan la facultat dinterrogar a un testimoni de la contrapart està condicionada a les preguntes que li hagi formulat abans el proposant de la prova El feixisme togat espanyol innovant una vegada més el Dret JudiciFarsa 
NEUTRAL	TotesMouTV3 quina barra dir q ara hi ha crispació i ara els catalans patim i negar q fons ara els catalans no patíem cony q des q vaig néixer han pretès q demanes Perdó per ser catalana catalanista i separatista
FAVOR	Els murs humans al llarg de la història shan convertit en una icona universal de la defensa dels drets i les llibertats Som un mur humà sí Som el puto mur humà que molts que avui volen tombar trobaran a faltar el dia que el feixisme els entri a casa
AGAINST	Naturgy NaturgyClientEs i govern a què espereu per signar els convenis que marca la llei 242015 per tal de fer front a la CondonaciónDeDeuda 
AGAINST	Preciosa massatgista eròtica catalana farà les delícies amb les seves mans i el seu cos Blanca Puig catalana i calenta CHICASDELPISITO  
AGAINST	RaholaOficial Saps Pilar Crec que és la diada que vaig amb més ganes i més emocionat Pel record dels nostres presoses i exiliatsdes i per totses aquellses que van patir la violència de l 1O JoAnirealaDiagonal Diada2018
AGAINST	MartaSibina KRLS QuimTorraiPla Menteixes aixó de Vox es fals i NO HO DIC PAS JO 
AGAINST	El pregonero de las fiestas de Cerdanyola llama prostituta a Inés Arrimadas  vía DCerdanyola
FAVOR	RT ccristin Tossudament alçats Camí cap a la República🎗🎗 OmplimSantJaume29s FemXarxa 29s LlibresLliures
AGAINST	Rocco969 KenHaprenguin moragasai Això era pel REGLAMENT aprovat el juliol del 2017 Després el 6 i 7 de setembre no van aplicar lesmentat reglament Per favor no retallis un titular si no coneixes la notícia sencera
AGAINST	martikarreras tv3cat Segurament hi havia gent vinguda fins i tot de França 😂😂😂
AGAINST	El nostre més sentit condol a lalcaldessa neuslloveras per la mort del seu marit Tot el nostre suport i escalf en aquests moments difícils
NEUTRAL	Hem descoltar i compartir el que ens arriba des de HeuskalHerria Ens queixem que nos ens escolten a ells tampoc LlibertatPresosPolítics 
FAVOR	 ernestmaragall a les portes del Suprem El Parlament Europeu ha destar molt pendent del que passi avui perquè sap que en la persona de Raül Romeva shi juga molt judici1o 
AGAINST	CUPvERCgència distreu els idiotes dels seus votants amb la pastanaga reial perquè no vegin lestafa del procés Per contra cada vegada que CUPvERCgència ataca el rei els espanyols es fan més monàrquics Processisme i monarquia es necessiten mútuament 
FAVOR	JoanQueralt O comencem a tenir clar que la única solució és votar massivament la cupnacional o no en sortirem
NEUTRAL	RT JuditC Només pels somriures que la tiparraca de la Toro aquesta ha provocat als presos ha valgut la pena
FAVOR	Amb lexhumació de Franco es trenca un tabú imposat a la transició la intocabilitat del franquisme Convindria no quedarse aquí i trencarne molts daltres com lexclusió del dret a pronunciarse sobre la república o lautodeterminació
NEUTRAL	Ran i en Kogoro son els millors DetectiuConan3XL
FAVOR	RT jordigalves Realment els independentistes van ser violents Policies contra levidència 
NEUTRAL	🏳️‍🌈⚽️🏐🎾 Avui com no podria ser daltra manera ens sumem al DiaInternacionalContraLaLGTBfobiaEnElDeporte Aquest 19 de febrer i cada dia diem NO a la LGTBIfobia al futbol i al món de lesport en general 
FAVOR	El que cal es fer pinya entre els indepes  no fer volar coloms sobre que Colau Coscu i Rabell es facin indepes  cosa que no pasara mai  per justificar fer un tripartit autonomic
FAVOR	No seriosament quan crearà algú unes brigades mata feixistes
FAVOR	No ni jo ni el meu pare mstrubell hem escrit el famós missatge a Jordi Sánchez NO rotundament NO JudiciTV3CatRàdio 
AGAINST	perearagones EsquerraERC raulromeva Quina mania de parlar sempre de dignitat Un xic més de sentit comú i pragmatisme i ens hauríem estalviat tot aquest patiment
FAVOR	RT MetdOlot Veig tothom molt amoïnat amb un nou 155 Sabeu com no te l poden aplicar Sent INDEPENDENTS Algú se n recorda d aquesta p
FAVOR	RT LauraCarreras vpartal Quanta més repressió més indepes o més determinats Ni ho entenen ni ho entendran mai pq es comporten com a col
AGAINST	Millo acusa els CDR de violents Els criminalitza i posa el relat per a que sens persegueixi penalment
NEUTRAL	TotEsMouTV3 No em cansaré de repetirho és MALVAT MONSTRUÓS equiparar els errors polítics evidents duns els indepes i els errors en forma de violència presó i repressió dels altres Monstruós No compreu aquest marc sisplau
AGAINST	marcbodi No parla de carreges El responsable de tot aixo va ser el govern
AGAINST	pilarcarracelas sbguarch siemprepositifo No veig que tergiverssi res Veig que no ets capaç dentendre els que no estem dacord amb com ho veus
NEUTRAL	10è Aniversari ja del Programa INPA a HospitalSantPau Com passa el temps com han millorat les xifres i quan falta encara per millorar més Felicitats a yacincuenta i tot lEquip de la UMI 
FAVOR	Arribem al punt que EsquerraERC i la CridaNacional ens volen introduir al nostre marc mental que el diàleg i un referèndum pactat són la solució Això és renunciar a els últims 6 anys de manifestacions al 1dOctubre i totes les hòsties rebudes És tornar al 2012 i fer de PSC
AGAINST	manelcolmenero mcalpena Clar amb els vitores de la gent que laclamava
AGAINST	A bona part de Catalunya no hi plovia des de l1 de febrer 32 dies sense pluja A Alcanar es van recollir 02 mm el 29 de gener i avui és el 37è dia sense pluja apreciable Montsià meteocat
AGAINST	Ets molt millor que en Maquiavelo noi el putu amo de la estrategia I com es que no els heu alliberat aquest mesos passats 
AGAINST	Com es fa perquè no em surti la Talegón al timeline
FAVOR	RT rosariopalomi71 El MHP Carles Puigdemont farà un acte el dia 13 de febrer a la Universitat de Groningen als Països Baixos 
AGAINST	Santi Vila la DUI va ser un fake simbòlic sense trascendencia Processistes  Traidor Rata Botifler Venut Turull la DUI va ser un fake simbòlic sense trascendencia Processistes Exemple de dignitat Heroi Polític de la gent 🎗️🎗️🎗️
AGAINST	RT joanc1999 rgb1octubre jscciutatvella Allà hi serem per mantenir el diàleg encara que sigui molt difícil 
FAVOR	RT joseantich En directe Expectació per la conferència dels presidents Puigdemont i Torra a Brussel·les via elnacionalcat 
FAVOR	Autodeterminació Drets socials civils i polítics Llibertat preses polítiques Retorn exiliades Dissabte 17h Manifestació imprescindible a Barcelona 
AGAINST	Abdul Aziz Muhamat refugiat sudanès confinat en un centre de reclusió guanya el prestigiós premi internacional de dretshumans MartinEnnals 
NEUTRAL	Els fills ideològics del coronel Galindo Si no fas allò que et diuen tenterren en calç viva o et torturen a Intxaurrondo 
AGAINST	elsaartadi Quan tens com tú el cove plé potser sI Pero aleshores no et dediquis a la política dedicat a ser empresaria explotadorao algo així
AGAINST	RT VilaWeb Boye ha respost amb un gràcies degà ben irònic 
FAVOR	Des dEspanya ens amenacen amb un nou 155 Els sindicats dels règim del 78 van estar callats durant aquells mesos recordeu Ens cal un sindicalisme país Només conquerint tots els espais de poder serem forts i podrem fer front a la repressió 🗳️ BombersICSC 
NEUTRAL	Sánchez no descarta pactes postelectorals després del 28A a excepció de Vox 
FAVOR	🔴 El company Willy Toledo en llibertat provisional després de no declarar davant el jutge Solidaritat força lluita✊🏻 LaNostraSentència independència MeCagoEnDios 
NEUTRAL	Alejandro Fernández ha criticat aquest dissabte que la líder de Ciudadanos a Catalunya Inés Arrimadas aneu a Waterloo Bèlgica perquè cau en una retòrica populista que és caure en el joc de lexpresident de la Generalitat Carles Puigdemont 
AGAINST	palaudavid Si això és una entrevista periodística el periodisme està fotut doncs
FAVOR	En SusodeToro1 sobre el deure dels polítics de conduir les emocions racionalitzar les situacions i trobarhi sortida Clau Descriu a més el posicionament actuals de les dues principals forces independentistes ✍🏼 
NEUTRAL	A laviniagroup estem buscant un periodista amb experiència en làmbit de la comunicació política per a un nou projecte periodístic Interessats o interessades CV a miquelpellicerlaviniatc Gràcies 
FAVOR	No sé si votar a Junqueras Miquel Roca o Echenique 🤣🤣🤣 Feu el favor de fer una LLISTA UNITÀRIA I TRANSVERSAL AMB LOBJECTIU DE LA REPÚBLICA CATALANA VOTADA PEL POBLE 🌟X VISCA LA REPÚBLICA CATALANA
FAVOR	També visitaran el Parlament de Flandes on es reuniran amb el president de la cambra Jan Peumans Puigdemont i Torra fan avui la conferència conjunta a Brussel·les malgrat la censura de Tajani 
AGAINST	Franco va necessitar anys i tot un exèrcit per tancar la Generalitat jutjarne el govern i prohibir el català Ara gràcies al processisme no els cal cap exèrcit amb un jutge i un funcionari del 155 enviat des de Madrid nhi ha prou El processisme és submissió judici1O
FAVOR	Trescents vintinou i cent vuitantavuit i trescents quarantavuit i es pretén que aguantem els violents garrotuit LlibertatPresosPolíticsCatalans LlibertatPresesPolítiquesCatalanes
NEUTRAL	Es compleixen 80 anys de la mort dAntonio Machado 
FAVOR	Aquests dies he pensat molt en les discussions amb JordiGraupera i enricvd i mha sortit això un elogi de lempatia davant dels tecnòcrates els racionals i els que provoquen un 155 emocional Jordi Graupera i els robots 
AGAINST	antonijover sempresaludava ara de debò us fa gràcia el de la galleda de merda crec que jair et pressiona molt el llaç 🤣😂🤣el cervell 🧠
AGAINST	ElsBastards voxes LauraBorras Barceloneta NoemiGaleraN IsaCampo7 deLaiaCosta ariadnaoltra MarquesAgnes EstelSole laurarosel Gemmajhb Estiu del 93 i Marie Antoniette
FAVOR	AlbanoDante76 Si el 28A seguim comprant el fum desquerraERC i Pdemocratacat seguirem tenint només fum És el moment de fer un vot de càstig i canviar les coses JoJaNoComproFum 28AoJuntsoRes
FAVOR	martatrepat1 Patol1cas La crida a no votar és intencionada Els gilipolles en tot cas són els que hi cauen de quatre potes Cal ser més intellegent i pensar a qui beneficia que no votem partits indepes
AGAINST	EnricFV1 Misshima18 A mi magrada insultar no tenganyis Acostumo a dir RUC o RUCA mho he copiat del Bernat Dedeu 
FAVOR	EN DIRECTE  Nieto Durant la Junta de Seguretat els vam insistir que el referèndum era il·legal i que la situació era de risc per la possibilitat de xocs violents 
AGAINST	Ups sembla que a la Crida Nacional se li ha caigut aquest tuit Seria una llàstima que romangués a Internet per a la posterioritat oi 
FAVOR	No busqueu més ja teniu on dinar el proper 11Setembre Al Passeig del Born PobleLliure i LaForjaJovent organitzem un DINAR POPULAR Paella amb opció vegetariana amb aigua o vi i postres 10€ També farem un acte polític a les 1130h NO FALTEU OrganitzemRepública 
AGAINST	La devoció catalana a sant Valentí és mil·lenària i des de fa tres segles i mig se nhan venerat de diferents Els coneixeu  carmemunte catcrist GloriaBarrete angeldelaweb pelouxfernand dulia etnografia devoció relíquies reliquiaris santoral 
FAVOR	Guaita Na sorayasds va dir que a raíz del 20S  després va rectificar En zoidoJI no recorda el que va dir que no recordava Vés a saber I ara aquest person diu que el 8 van començar a preparar Quanta credibilitat FakeTrial 
AGAINST	albaverges icscatcentral Heu revocat el Conveni signat durant el 155 amb lINSS
FAVOR	MiquelBuch per si és del seu interès  dissabte tornen a Sant Jaume  Si us quda un bri d decència o dignitat ho podrieu aturar  OmplimSantJaume29s 
AGAINST	XavierFina No és el meu cas no indepe que dubtava votar Comuns i que aquest factor em fa no votarlos a Generals però sí a lajuntament
FAVOR	Proposo que a can diccionarivikipèdia la definició del terme CÍNIC sacompanyi per il·lustrar de la foto daquest individu Quina vergonya de veritat aquest tipus de polítics sense escrúpols Quanta mentida i impostura i sense despentinarse Millo 
AGAINST	RT xavidomenech99 Jo no he dimitit Ha dimitit laltre Sí els dels Comuns Jo no Ho juro
AGAINST	Gràcies a tots els qui us heu interessat per la meua salut Tot ha anat be i ara comencen unes quantes setmanes de recuperació Lamente molt però que he de suspendre tots els actes públics que tenia programats els pròxims dos mesos
FAVOR	ramirp I per què no llista unitària i així ja tenim fet el referèndum Llista unitària de tots fins hi tot la CUP
FAVOR	Fa temps que aviso 1 L1 doctubre va ser paper mullat 2 Ens volen portar a una tupinada de referèndum manipulat on perdrem i així donar per acabat el procés 
AGAINST	RT VilaWeb La guia de la manifestació de la Diada de lOnze de Setembre Tot el que necessiteu saber 
FAVOR	davantdelSuorem Em considero un pres polític aquest judici és un judici polític Diré solament la veritat Les acusacions són falses absolució FreeTothom 
FAVOR	RT albertcuesta LHC quimforn li diu a la cara a lindividu de les punyetes que és un peliculero  JudiciProcés
FAVOR	RT VilaWeb Boye i Puigdemont desmunten latac de la fiscalia contra SlesvigHolstein 
AGAINST	Demà anirem bojos però organitzats ho aconseguirem  
AGAINST	El fenòmen AdaColau és miraculós Se´n va a salvameoficial i resulta q és bisexual Deixa la política XavierDomenechs i ella també s´ho planteja Esclaten els màsters i assegura q a ella li van oferir i va dir q no Q no parli sorluciacaram o dirà q va tenir vocació de monja
AGAINST	Hi ha una campanya brutal dels processistes a Twitter per desacreditar i anul·lar els grans comptes dusuaris independentistes Això voleu Una República on els que no pensen com vosaltres siguin discriminats i apartats Dieu dels feixistes però vosaltres sou iguals o pitjors
