Stance	text
AGAINST	#carlyfiorina #hannity impressive presidential candidate actress #semst
AGAINST	support lets people unfollow #election #semst
AGAINST	hillary prison anymore obviously worried future
AGAINST	lied costar gala fined jail unfit ofice #semst
NONE	thanks follow david bless family #freeallfour #semst
NONE	agree surprised bush money moderate #semst
AGAINST	breaking news #hillary trades campaign bromstick #semst
AGAINST	looking forward #cuba expanding majorar expos pick trucks conveed into rafts exciting #tcot #semst
FAVOR	told aunt volunteer campaign support #semst
AGAINST	yall #texastech #redraiders ready #marcorubio #ttu #texastechuniversity #rubio #texas #semst
AGAINST	hillary stop pretending supporting lgbt people opposed lying conniving human #semst
AGAINST	says millionaire politician accepts countries executar gays #hypocrite #wakeupamerica #semst
AGAINST	jobs #hillaryclinton responsible creating even security entitlement #semst
AGAINST	gave unhealthy amount hardearned money govt untrustworthy #whyimnotvotingforhillary
NONE	without blacks minority voters wont happen #semst
FAVOR	hillary #baltimore champion #baltimoreriots #semst
NONE	then slippery snakes slither shards glass #semst
FAVOR	reestablish #global system dominated love afection #moralhumane
NONE	apply internar #semst
FAVOR	justar awesome supporter hillary strong woman country #fellowsnv #semst
AGAINST	obsessed emails transparency hillary clinton destroy emails #clintonemail #semst
AGAINST	with continued #obamas admin policymaking #usa #greece #wakeupamerica #semst
AGAINST	nominee democratic party period shes gonna presidency #sorrybernie #semst
AGAINST	hoping resurrect hillarys term #semst
AGAINST	benghazi great people chronic liar power hungry animal #semst
AGAINST	#hillaryclinton stop lying #benghazi #clintonfoundation tia #terrorist #muslim #isis #semst
AGAINST	checked blog kudos keep #semst
NONE	never votar survival country #lovewins #semst
AGAINST	inaugural tweet account #semst
AGAINST	provar dishonesty flip flopping issue people opposed before #semst
AGAINST	hang long idiot completely destroy country #semst
FAVOR	great mentor #dcinsd shes qualified candidate running potus #semst
FAVOR	they lose trying #semst
AGAINST	manage #lol #wakeupamerica #stophillary #semst
AGAINST	realize #paytoplaydiplomacy #semst
AGAINST	more lies hypocrisy senator opposed marriage #semst
NONE	finar unethical illegal quid uranium deal works #semst
AGAINST	hillary clinton sending emails unsubscribe error message this cancer #semst
NONE	honies gittin money playing #bleep words dumies #poppa #semst
FAVOR	half favor #semst
AGAINST	woman teflon comitted enuf egregious crimes superglued dang wall #semst
AGAINST	love bern time #semst
NONE	ratar queen clarence thomas #semst
AGAINST	outrage smoke mirrors candidate hiding hill #spillhill #semst
AGAINST	where #lgbt pride condoms #billclinton assaulted #monicalewinsky #hillaryclinton #tlot #semst
FAVOR	#world supporting #semst
AGAINST	hillary lied deleted benghazi emails betrayed trust americà scandal scandal #semst
AGAINST	obama climate change bush blame hillary wing conspiracy baltimore #balitmoreriots #semst
AGAINST	thank #wakeupamerica #semst
AGAINST	hillary pandering logo #clintonfoundationscandal #clintoncash
NONE	tree smell #thatchampion #semst
NONE	plaçar cofee time grow grassrots #sctweets #semst
AGAINST	manage #lol #wakeupamerica #stophillary #semst
AGAINST	feel confident #semst
AGAINST	would wanna long term relationship bitch hides emails lies face then #dontvote #semst
AGAINST	people hear hillary press obstructing view #semst
AGAINST	#hillaryclinton champion datar removal #semst
AGAINST	heaven forbid invade space queen lies #semst
NONE	rebecca grandmother imigrated sunnybrok farm
NONE	elections #semst
AGAINST	hillary clinton driven #clintonfakerealityshow
NONE	perfect definition jibberish #uniteblue #semst
AGAINST	very simple clintons corrupt #semst
NONE	whatever marriage equality going watch #semst
AGAINST	words describe envy jaja #semst
AGAINST	manage #lol #wakeupamerica #stophillary #semst
NONE	problem #libertarian decreed party house devided itself stand news #semst
AGAINST	cuckold conservatiu more cuckoldry please #christie #donaldtrump #uniteblue #semst
NONE	happy voter mail #semst
AGAINST	biggest dumps info holiday weekend what state departament today #hillaryemails #liarliar #semst
FAVOR	oficial hillarys running president campaign chief excellent #semst
FAVOR	spoke today smart impressive #semst
AGAINST	hillary navy yard sniper firar #semst
AGAINST	queen city infested outofstate plate priuses driven millennials hillary bumper stickers #mht #semst
NONE	here thoughts ruling archaic nonscience based beliefs laws secular nation #semst
AGAINST	president votar #semst
AGAINST	#thedonald beauty pageant afloat president hell #semst
FAVOR	getting bumper sticker #lovewins #semst
NONE	stupid votar either #semst
AGAINST	hillarys campaign slogan hillary nothing hide truth #tcot #wakeupamerica #semst
AGAINST	interesting hillary defends questioned eventually answer questions #semst
NONE	much god people forgot #livetweetingbladerunner couple weeks #callback #potroast #cartography #blue #semst
NONE	thank #wakeupamerica #dumpboehner #ditchmitch #semst
AGAINST	this voting hillary #semst
AGAINST	great supports crops scepticism again science belief #jebbush #semst
AGAINST	expectar change continuar votar people chance long #bernie #semst
NONE	#everydaysexism only sexism restar yall shut #semst
NONE	huge cheer universal child care early childhod education #semst
AGAINST	insurgent what happen hillary dictator chief #semst
AGAINST	support secretar #nohillary #semst
NONE	dont care #fiorina taking #sexist punches #media #msm
NONE	feminist
AGAINST	years #hillary answered private email #liberal media passed reporting #semst
AGAINST	#christie claim #bridgegate fault wheel #gop #teaparty #tcot #dem #semst
NONE	platform #semst
AGAINST	scotus dealt blow hillary clintons campaign promise what running corruption lies deceit #semst
FAVOR	comit card collected hillary greenville #fellowssc #semst
AGAINST	birthday july gift idea #chillaryclinton #semst
AGAINST	sh iced #semst
AGAINST	manage #lol #wakeupamerica #stophillary #semst
AGAINST	compassion frontier hillary shes shell village comittee #semst
AGAINST	stand #billclinton assaulting teen girls #readyforhillary #hillaryclinton #clinton #semst
NONE	kaine #scotusmarriage what great victory #semst
NONE	hope #semst
FAVOR	monday nightdo hillary supporters rock hill amazing phone bank come joinhillaryforsc #semst
FAVOR	pollar numbers jumped hillary winning nomination #semst
