id_str	TWEET	LABEL
11028517837209518e+18	En @fgarrobo ha fet més per l’independentisme i la unitat popular a Nou Barris que tots aquests que tant el critiquen als seus barris i pobles. Amunt Francisco!✊🏾	AGAINST
1098892781681082368	Divendres 22F acte Cloenda campanya de les candidatures q es presenten a la jornada de votació @PrimariesCat d'aquest dissabte 23F!! Escoltarem les candidates i candidats q sí creuen en una nova manera de fer política!!   #CanviemElGuió #AUTOconvocats #21FVagaGeneral #judicifarsa https://t.co/mtKiZLQUlv	FAVOR
10990323264895959e+18	Puigdemont porta a la Defensora del Poble europea la prohibició de l'acte a l'Eurocambra https://t.co/fera2Vdu6G https://t.co/eoAQbnEE1R	NEUTRAL
110251884676898e+18	José Antonio Nieto, ex-secretari d'Estat de Seguretat:  L'actuació dels Mossos d'Esquadra va ser insuficient i ineficaç  https://t.co/2Fh8oAdKTL #JudiciTV3CatRàdio https://t.co/86mWnDfc0b	NEUTRAL
1093081744193081344	Es passen dies denunciant l'autocar amb que van traslladar els presos polítics, ahir diuen que no aprovarien els pressupostos de l'amo i avuí diuen que s'ho repensaran. El ridícul de tot plegat és infinit. Per cert, el president de Catalunya treballa?	FAVOR
1097490620204101632	Vull votar i votaré.  Hi ha quelcom que no em permet no fer-ho. Ara bé tinc un greu problema.  No sé a qui!!!😡😡😡😍😍😠	FAVOR
10363613732388004e+18	Torra crida a fer  una marxa  pels drets civils del país i pel dret a l'autodeterminació en l'homenatges a Rull https://t.co/R6RDTwCAdX	NEUTRAL
10383490390524355e+18	📡 Sergi Vidal a RAC1: “Quan era un molt petit, el meu pare em portava a veure Petrovic al camp de la Penya i pensava: què cabrón, com les fot. Amb Navarro passa el mateix, és un jugador especial”. https://t.co/EmRQGQU7zd	AGAINST
10994375828558725e+18	Si la setmana vinent decidim anar a les eleccions del 28-A, us agradaria que sortíssim al @FAQSTV3 a explicar la nostra proposta? Feu-nos-ho saber amb el hashtag #PiratesAlFAQS #FAQSstrubelTV3	AGAINST
1045062904335265795	Consentir una manifestació a Plaça Sant Jaume de feixistes que ens amenaça és una irresponsabilitat del @catalangov @MiquelBuch  https://t.co/jY76ZIf9Uu	FAVOR
1102943734428246e+18	Titular alternatiu:  El ministre de l'Interior posa en dubte la mateixa realitat, i anuncia que deixa la política per dedicar-se a la filosofia . https://t.co/fYf68lHmk4	AGAINST
1046425772653727746	En un bar de Sant Joan de Vilatorrada:  Tens el president del partit a la garjola i la secretària general a l'exili per haver fet un referèndum i els del partit proposen fer-ne un de debò... 	FAVOR
1041394524281602048	@aramateix @cupnacional @CUPBarcelona foreceu noves eleccions JA... apartem als qui el 21D van enganyar als seus votants i ara s'han tret la màscara autonomista  amb polítics sense coratge ni projecte que no compleixen el mandat del #1oct NO AVANCEM  @cupnacional... feu valer els nostres vots... tenim pressa	FAVOR
11030354070868746e+18	RT @josecgrsjd: Uiiiii @AdaColau un zasca de aquellos que te gustan recibir!!! https://t.co/J6mTfXprCg	AGAINST
10932692115295725e+18	I aquest divendres al #PostgrauGovObert expectatives 🔝🔝🔝: sessió de @jordigraells (director general d'Atenció Ciutadana d @gencat ) q ens parlarà de les tendències de futur 🤖 i no tant futur, en la Governança Digital 💻 de les #AAPP. https://t.co/ABkq7VWILY	NEUTRAL
11034139595694285e+18	@dhv1976 @AresCases Tothom sap que l'esquerra autèntica recolza ferotgement la República Catalana i que no dona suport a fanàtics d'ultradreta com Torra	AGAINST
1036848727409999872	@JoanTarda Referèndum sobre Estatut i Independència? Però què és això A Escòcia va ser així? Oi que no? Ja prou Tardà de veritat, prou. Per molt que repeteixis cada dia el mateix la gent no t'ho compra i espero que no t'ho compri mai.	FAVOR
10979461409249362e+18	RT @324cat: La intel·ligència artificial permet identificar nous gens relacionats amb el càncer https://t.co/bFqpaIYnke https://t.co/LnWO3N…	AGAINST
10961507954127994e+18	En Yokomizo vs l'Amuro d'aprenents d'en Kogoro #DetectiuConan3XL	NEUTRAL
11027825937271685e+18	Atacar un autobús que va amb una foto de Hitler banalitzant el nazisme no és un atac a la llibertat d'expressió. No existeix el dret a banalitzar el nazisme. Si aturar un autobús amb una foto de Hitler és aturar aquestes idees, doncs ben fet que fa la Generalitat expulsant-lo. https://t.co/8fOE8rCfip	NEUTRAL
