LABEL	preprocessing_C
AGAINST	En fgarrobo ha fet més per lindependentisme i la unitat popular a Nou Barris que tots aquests que tant el critiquen als seus barris i pobles Amunt Francisco✊🏾
FAVOR	Divendres 22F acte Cloenda campanya de les candidatures q es presenten a la jornada de votació PrimariesCat daquest dissabte 23F Escoltarem les candidates i candidats q sí creuen en una nova manera de fer política CanviemElGuió AUTOconvocats 21FVagaGeneral judicifarsa 
NONE	Puigdemont porta a la Defensora del Poble europea la prohibició de lacte a lEurocambra  
NONE	José Antonio Nieto exsecretari dEstat de Seguretat Lactuació dels Mossos dEsquadra va ser insuficient i ineficaç  JudiciTV3CatRàdio 
FAVOR	Es passen dies denunciant lautocar amb que van traslladar els presos polítics ahir diuen que no aprovarien els pressupostos de lamo i avuí diuen que sho repensaran El ridícul de tot plegat és infinit Per cert el president de Catalunya treballa
FAVOR	Vull votar i votaré Hi ha quelcom que no em permet no ferho Ara bé tinc un greu problema No sé a qui😡😡😡😍😍😠
NONE	Torra crida a fer una marxa pels drets civils del país i pel dret a lautodeterminació en lhomenatges a Rull 
AGAINST	📡 Sergi Vidal a RAC1 Quan era un molt petit el meu pare em portava a veure Petrovic al camp de la Penya i pensava què cabrón com les fot Amb Navarro passa el mateix és un jugador especial 
AGAINST	Si la setmana vinent decidim anar a les eleccions del 28A us agradaria que sortíssim al FAQSTV3 a explicar la nostra proposta Feunosho saber amb el hashtag PiratesAlFAQS FAQSstrubelTV3
FAVOR	Consentir una manifestació a Plaça Sant Jaume de feixistes que ens amenaça és una irresponsabilitat del catalangov MiquelBuch 
AGAINST	Titular alternatiu El ministre de lInterior posa en dubte la mateixa realitat i anuncia que deixa la política per dedicarse a la filosofia  
FAVOR	En un bar de Sant Joan de Vilatorrada Tens el president del partit a la garjola i la secretària general a lexili per haver fet un referèndum i els del partit proposen ferne un de debò
FAVOR	aramateix cupnacional CUPBarcelona foreceu noves eleccions JA apartem als qui el 21D van enganyar als seus votants i ara shan tret la màscara autonomista amb polítics sense coratge ni projecte que no compleixen el mandat del 1oct NO AVANCEM cupnacional feu valer els nostres vots tenim pressa
AGAINST	RT josecgrsjd Uiiiii AdaColau un zasca de aquellos que te gustan recibir 
NONE	I aquest divendres al PostgrauGovObert expectatives 🔝🔝🔝 sessió de jordigraells director general dAtenció Ciutadana d gencat  q ens parlarà de les tendències de futur 🤖 i no tant futur en la Governança Digital 💻 de les AAPP 
AGAINST	dhv1976 AresCases Tothom sap que lesquerra autèntica recolza ferotgement la República Catalana i que no dona suport a fanàtics dultradreta com Torra
