id_str	TWEET	LABEL	CLEAN	CLEAN_FULL	LEMMA	LEMMA_CLEAN
11028517837209518e+18	En @fgarrobo ha fet més per l’independentisme i la unitat popular a Nou Barris que tots aquests que tant el critiquen als seus barris i pobles. Amunt Francisco!✊🏾	AGAINST	independentisme unitat popular barris critiquen barris pobles francisco	fet més independentisme unitat popular nou barris critiquen barris pobles francisco	fer més independentisme unitat popular noure barri criticar barri poble francisco	independentisme unitat popular noure barri criticar barri poble francisco
1098892781681082368	Divendres 22F acte Cloenda campanya de les candidatures q es presenten a la jornada de votació @PrimariesCat d'aquest dissabte 23F!! Escoltarem les candidates i candidats q sí creuen en una nova manera de fer política!!   #CanviemElGuió #AUTOconvocats #21FVagaGeneral #judicifarsa https://t.co/mtKiZLQUlv	FAVOR	divendres acte cloenda campanya candidatures presenten jornada votació dissabte escoltarem candidates candidats creuen nova manera política #canviemelguió #autoconvocats #fvagageneral #judicifarsa	divendres f acte cloenda campanya candidatures q presenten jornada votació dissabte f escoltarem candidates candidats q sí creuen nova manera política #canviemelguió #autoconvocats #fvagageneral #judicifarsa	divendres f acte cloenda campanya candidatura q presentar jornada votació dissabte f escoltar candidata candidat q sí creure nou maner polític #canviemelguió #autoconvocats #fvagageneral #judicifarsa	divendres acte cloenda campanya candidatura presentar jornada votacio dissabte escoltar candidata candidat creure maner politic #canviemelguio #autoconvocats #fvagageneral #judicifarsa
10990323264895959e+18	Puigdemont porta a la Defensora del Poble europea la prohibició de l'acte a l'Eurocambra https://t.co/fera2Vdu6G https://t.co/eoAQbnEE1R	NEUTRAL	puigdemont defensora poble europea prohibició acte eurocambra	puigdemont poa defensora poble europea prohibició acte eurocambra	puigdemont poar defensor poblar europeu prohibició acte eurocambra	puigdemont poar defensor poblar europeu prohibicio acte eurocambra
110251884676898e+18	José Antonio Nieto, ex-secretari d'Estat de Seguretat:  L'actuació dels Mossos d'Esquadra va ser insuficient i ineficaç  https://t.co/2Fh8oAdKTL #JudiciTV3CatRàdio https://t.co/86mWnDfc0b	NEUTRAL	josé antonio nieto exsecretari seguretat actuació mossos esquadra insuficient ineficaç #judicitvcatràdio	josé antonio nieto exsecretari seguretat actuació mossos esquadra insuficient ineficaç #judicitvcatràdio	josé antonio nieto exsecretari seguretat actuació mosso esquadra insuficient ineficaç #judicitvcatràdio	jose antonio nieto exsecretari seguretat actuacio mosso esquadra insuficient ineficaç #judicitvcatradio
1093081744193081344	Es passen dies denunciant l'autocar amb que van traslladar els presos polítics, ahir diuen que no aprovarien els pressupostos de l'amo i avuí diuen que s'ho repensaran. El ridícul de tot plegat és infinit. Per cert, el president de Catalunya treballa?	FAVOR	passen dies denunciant autocar traslladar presos polítics diuen aprovarien pressupostos avuí diuen repensaran ridícul plegat infinit president catalunya treballa	passen dies denunciant autocar traslladar presos polítics diuen aprovarien pressupostos amo avuí diuen sho repensaran ridícul plegat és infinit ce president catalunya treballa	passar dia denunciar autocar traslladar pres polític dir aprovar pressupost amar avuí dir sho repensar ridícul plegar ser infinit ce president catalunya treballar	passar denunciar autocar traslladar pres politic aprovar pressupost amar avui repensar ridicul plegar infinit president catalunya treballar
1097490620204101632	Vull votar i votaré.  Hi ha quelcom que no em permet no fer-ho. Ara bé tinc un greu problema.  No sé a qui!!!😡😡😡😍😍😠	FAVOR	vull votar votaré permet ferho tinc greu problema qui	vull votar votaré permet ferho ara bé tinc greu problema sé qui	voler votar votar permetre ferho ara bé tenir greu problema saber qui	voler votar votar permetre ferho tenir greu problema saber
10363613732388004e+18	Torra crida a fer  una marxa  pels drets civils del país i pel dret a l'autodeterminació en l'homenatges a Rull https://t.co/R6RDTwCAdX	NEUTRAL	torra crida marxa pels drets civils país dret autodeterminació homenatges rull	torra crida marxa pels drets civils país dret autodeterminació homenatges rull	torra cridar marxar pels dret civil pair dret autodeterminació homenatjar rullar	torra cridar marxar pels dret civil pair dret autodeterminacio homenatjar rullar
10383490390524355e+18	📡 Sergi Vidal a RAC1: “Quan era un molt petit, el meu pare em portava a veure Petrovic al camp de la Penya i pensava: què cabrón, com les fot. Amb Navarro passa el mateix, és un jugador especial”. https://t.co/EmRQGQU7zd	AGAINST	sergi vidal rac petit pare poava veure petrovic camp penya pensava cabrón navarro passa mateix jugador especial	sergi vidal rac petit pare poava veure petrovic camp penya pensava cabrón fot navarro passa mateix és jugador especial	sergi vidal raure petit parar poar veure petrovic campar penya pensar cabrón fotre navarro passar mateix ser jugador especial	sergi vidal raure petit parar poar veure petrovic campar penya pensar cabron fotre navarro passar mateix jugador especial
10994375828558725e+18	Si la setmana vinent decidim anar a les eleccions del 28-A, us agradaria que sortíssim al @FAQSTV3 a explicar la nostra proposta? Feu-nos-ho saber amb el hashtag #PiratesAlFAQS #FAQSstrubelTV3	AGAINST	setmana vinent decidim eleccions agradaria soíssim explicar proposta feunosho saber hashtag #piratesalfaqs #faqsstrubeltv	setmana vinent decidim eleccions a agradaria soíssim explicar proposta feunosho saber hashtag #piratesalfaqs #faqsstrubeltv	setmana vinent decidir elecció a agradar soíssim explicar proposta feunosho saber hashtag #piratesalfaqs #faqsstrubeltv	setmana vinent decidir eleccio agradar soissim explicar proposta feunosho saber hashtag #piratesalfaqs #faqsstrubeltv
1045062904335265795	Consentir una manifestació a Plaça Sant Jaume de feixistes que ens amenaça és una irresponsabilitat del @catalangov @MiquelBuch  https://t.co/jY76ZIf9Uu	FAVOR	consentir manifestació plaça sant jaume feixistes amenaça irresponsabilitat	consentir manifestació plaça sant jaume feixistes amenaça és irresponsabilitat	consentir manifestació plaçar sant jaume feixista amenaçar ser irresponsabilitat	consentir manifestacio plaçar sant jaume feixista amenaçar irresponsabilitat
