Stance	text
AGAINST	last time i checked al gore is a politician not a scientist #wcs #semst
FAVOR	if this heat is killing me i dont wanna know what the por polar bears are going through right now #semst
FAVOR	im sure this ecofriendly pope will remember to turnofthelights on his way out #lastpope #popeforplanet #semst
FAVOR	isnt co impact on warming logarithmic and at current levels ppm incremental impact negligible #ndp #semst
FAVOR	#mission#climate home reduce reuse recycle replenish restore by #tip #earthrightnow #semst
FAVOR	at what point do we rename sumer the rainy season #cdnpoli #semst
NONE	no surprise with this has some ideas on how to take a holistic approach #circulareconomy #semst
FAVOR	observations on the atmosphere and oceans reflect the human influence in climate change via dr dimitra founda #rengreece #semst
FAVOR	pupils in p from lincluden primary are participating in carbon busters project #learningforsustainability #semst
FAVOR	congress dutch way in reducing greenhouse gasses agriculture is excellent example combat #semst
FAVOR	well they should why do you think people in karachi r dying because we dont care about our environment #semst
NONE	can use of jet fuel on his #earthday trip to florida yes he can mao #fail #semst
FAVOR	we are working to elect climatefriendly governments across north america #feelthebern #ndp #lpc #gpc #bq #harperpacca #semst
AGAINST	when did co become a dangerous pollutant that must be curtailed what do you exhale again #iwantanswers #semst
FAVOR	i dont want to be that guy but can we now make climate change denier marriage illegal #marriageequaility #idea #semst
NONE	installing new #forestfire navigation systems #nokindermorgan #notarsands #cdnpoli #semst
NONE	pftwere getting that next week #standard #semst
NONE	why is there no #captainplanet movie rt if u want one #environment #planet #earth #semst
FAVOR	just read scalias idiotic opinion overturning the epas carbon emissions limits planning to spend day in a seething rage #semst
NONE	suggests we should have schols for politicians to educate them on critical issues #withcompassion #hhdl #semst
FAVOR	its hotter in oregon then it is in california right now #semst
FAVOR	all eyes on china reports plan building on agreement with us re #emissions expected son #cop #ghg #semst
AGAINST	tsgtalexander glblwarmingnews and the toth fairy might be causing kids to lose teeth #carbontaxscam #chemtrails #semst
FAVOR	why all talks #rainforests of the world russia is not less important #doctorcarbon advocate #sustainability #semst
NONE	the #mntwins game is going really fast tonight more prof of #semst
FAVOR	delivering god jobs for albertans maintaining a stable economy meeting climate change strategy god goals #abpoli #ghg #semst
NONE	if it doesnt warm up son i want my money back on the panels for misselling #minutes #dodgydata #drtker #semst
FAVOR	at c increase were expecting species at risk of #extinction rosina bierbaum #cambioclimtico #semst
NONE	honestly i dont understand why i like california so much im so bad in the heat #semst
NONE	hm whats next re my #bucketlist i wonder in #peace in a #democratic manner re #why im here #peace #democracy #goal #semst
FAVOR	so #christian s without beaches what is your god going to make sand people out of #risingsealevel #semst
FAVOR	when debunking climate myths fight sticky myths with stickier facts mention the myth and explain the fallacy #semst
FAVOR	topdown approach is not only the solution global governments must act together with global comunity against #semst
FAVOR	world futures council man at #fsds points out absurdity of cost benefit analysis discounting future lives #sustainability #semst
NONE	im gonna side with the really smart and well educated folks on this one guys #semst
AGAINST	man cannot change the climate of any country he adds no new element to the soil charles darwin #anthropocene #semst
FAVOR	need to separate natural disasters from man made disasters emphasise polluter paysand need for loss and damage #tuvalupm #semst
FAVOR	our amazing #ess panel on how to prepare protect #bayarea region from #semst
AGAINST	noted climatologist marine biologist oceanographer ted danson told us yrs ago that the oceans would be dead in yrs #semst
FAVOR	a high emissions scenario would be a disaster for marine life as well as for ourselves dr williamson #semst
FAVOR	says children women elderly people especially at risk to health impacts of #climatereporting #semst
FAVOR	canada alone needs invest billion a year paid for by eficiency #cdnpoli #environment #semst
NONE	yet another i #pray in my own way day re #why im online that #important this i know regards dion #peace #future #semst
NONE	big #decayeah and happy #smackof #eichelday to #valkilmer #bust #semst
FAVOR	people at the bar bitching about the heat and drought no one utters the words #fossilfuel caused #elephantintherom #denial #semst
FAVOR	lok out for the hashtag #ukclimate for news today on how the uk is doing in both reducing emissions and adapting to #semst
FAVOR	lets all stop saying people dont believe in climate change its not a matter of faith they dont understand #semst
FAVOR	time to change the government #fracking #c #methane #pollution #cancer #health #earthquake #water #leaks #semst
NONE	try to create the world you want to live in #withcompassion #semst
FAVOR	reading the whale and the supercomputer on the northern front of climate change by charles wohlforth #arctic #semst
FAVOR	disappointed that we are basing decisions about our very real planet on a man made currency system #scotus #epa #semst
FAVOR	go dutch new meaning citizens take their governments to court to make them act on climate promises #hague #hope #cop #semst
FAVOR	wearing a sweater at the end of june #itfeelslikespring #semst
FAVOR	every human comits original sin with its first outbreath of co mankind is fallen #bible #semst
FAVOR	eu is spending the billion collected through environmental tax on fossil fuel subsidies #almedalen #semst
NONE	i think we found something more dangerous to america than #semst
NONE	we need to work with confidence transparence and guided by consensus at event on #action #semst
NONE	my lawn is burnt two days after rain #yeg #semst
NONE	 when the rate of #utilisation exceeds the rate of #regeneration then it calls for #degradation #michachallen #semst
FAVOR	when the well is dry we know the value of #water ben franklin #actonclimate #epa #semst
FAVOR	yes but silica dust emissions are up and little is done about it at the state level and it efects #semst
FAVOR	when your wearing sweaters in the sumer #semst
NONE	theres a great challenge #leadership in #globslopportunity search synergetic eforts w their fellows to get engaged in #semst
NONE	ballot paper posted has my vote for leader our liberal voice will be heard #humanrightsact #afordablehousing #semst
FAVOR	we need integrated #science with #indigenous knowledge to understand adapt to #cfcc #semst
NONE	im burnin up baby where u at #hangin #hanginpls #semst
NONE	unless its #semst
NONE	road to #paris #adp cochairs new tol will be presented on july th at event on #semst
FAVOR	when the last tree is cut down the last fish eaten the last stream poisoned you will realize that you cannot eat money #semst
AGAINST	breaking this just in an ocean wave just broke an inch further on the beach than normal #semst
