Stance	text
NONE	denial river egypt #gop strategy #racism #semst
NONE	#gaymarriage #asylumseekers #semst
NONE	those items back #semst
NONE	there time heck california #vaccines #science #gmo #bees #autism #gmo #semst
AGAINST	when dangerous pollutant curtailed what exhalar again #iwantanswers #semst
NONE	fuel #earthday trip florir #fail #semst
NONE	paul spoke denouncing gays current popar speak #semst
FAVOR	#greatbarrierreef compared dived years #attenborough #semst
FAVOR	obama attenborough brilliant heart felt honest discussion #renewables #abc #auspol #semst
NONE	nights fond long hair wanna chop #heatwave #pnwgirl #semst
FAVOR	#askrobertredford beyond national level individual level mitigate efects #semst
FAVOR	#greatman #greatman david attenborough change possible attainable listen #attenborobama #semst
FAVOR	talks #rainforests world russia importar #doctorcarbon advocate #sustainability #semst
FAVOR	inches rain rain temperature reaches #ahmedabad #environment #semst
FAVOR	feeling #scotus right right wrong sigh #climatedenial #semst
FAVOR	lights water saving toilets showerheads appliances renovate chose eficient #mychangeforclimate #semst
FAVOR	congress dutch reducing greenhouse gassa agriculture excellent combatre #semst
FAVOR	#karachiheatwave death toll climbs deaths days #carbonemissions #semst
FAVOR	water temperature atlantic coast june proverbial frogs boiling water #climate #semst
FAVOR	climate change myth fantasy author live alternate reality #semst
FAVOR	world emitted water vapour built atmosphere caused lord send flod retribution #bible #semst
NONE	david attenborough interviewed president obama brilliant fascinating viewing #foreigncorrespondent #abc #tunein #semst
NONE	real question feel safe driving prius harrison #semst
FAVOR	today kingdom bahrain participates highlevel event climate change #semst
NONE	callar advise #auspol #semst
FAVOR	thank yesterday highlighting importar issues facing #semst
NONE	#transpregnancy #transgender majorar reason scientists find curar #cancer #aids #semst
FAVOR	enjoying watching david attenborough obama talk climate change mitigation #lovenature #semst
FAVOR	spending billion collected environmental fossil fuel subsidies #almedalen #semst
FAVOR	scorching sumers century thank rock sufer them #semst
FAVOR	generation opportunity #cfcc #journey #semst
NONE	further professora #semst
FAVOR	generation knew move #cfcc #semst
NONE	easyprintitja firstkingtre freak #rain kingston #jamaica sudden #skui #semst
FAVOR	there glacier equator #semst
FAVOR	second heatwave hits popping everywhere flods recordar wildfires canada mess time #semst
NONE	played instrumental role rallying basic countries strengthen southsouth coperation matters #semst
FAVOR	david legates university delaware explainhigher temperatura lead higher levels #semst
FAVOR	have outrageously grateful slight coldre breeze drifting body future #nakedtimes #semst
NONE	amazing interview david attenborough #semst
NONE	happy telling wise #semst
NONE	french nation builds tanks rear view mirror gears reverse #semst
FAVOR	canada invest billion year paid eficiency #cdnpoli #environment #semst
NONE	hm #bucketlist #peace #democratic manner #why here #peace #democracy #goal #semst
FAVOR	arent dinosaurs were asteroid #earth #extinction #semst
AGAINST	climate change people disgusting assholes money transferir scheme elite #semst
NONE	pftwere week #standard #semst
FAVOR	damage this #yrcannes #canneslions #semst
NONE	callar matt cleveland #kirstieallie #valkilmer #semst
FAVOR	deny happening #semst
NONE	that #putin chap extremely #confused stuck #ideologies regards #peace #semst
FAVOR	#mainaudeclarationlets push agenga worldwide fear #climatejustice #semst
FAVOR	work #green energy future #semst
NONE	priority address #semst
FAVOR	justar canvassed hope join supporting sumer #solar #peoplepower #semst
NONE	#democratic deeper waters #why here dion #peace #democracy #goal #future #semst
NONE	first listen conviction action dali lama #glasto #semst
FAVOR	#climatehealth reportar ambitious programar marshall planar apollo mission tackle climate change #semst
NONE	barack obama meets david attenborough ready wait years formar #legend #semst
FAVOR	pupil lincluden primary participating carbonar busters projectar #learningforsustainability #semst
NONE	great meeting today discuss future cities expertise shared applied #china #semst
FAVOR	silica dust emissió state level efects #semst
NONE	hell feel fiery tip insidious flamar swiftly sauntering rom #semst
FAVOR	inland humid this sumers muggy strange #semst
AGAINST	noted climatologist marinar biologist oceanographer danson told oceà dead #semst
FAVOR	#seattle this normal #hotaf #semst
NONE	#sebamm #seb prtner explains work #ipcc #semst
NONE	gutted missed loved hear talk africar represented #semst
NONE	brilliant stories created subjugate others #leftistliesisbs #semst
AGAINST	global warming global warming global warming wait sumer #semst
NONE	sunny rainy bipolar weather real quick nigga #semst
FAVOR	rentar theatre show movie #chasingice friends family spread message global warming #semst
FAVOR	drought efects spreading western noram govt destroy prime farmland enable #lng #sitec #bcpoli #semst
NONE	#tonyabbott hope watching president obama talking #semst
FAVOR	dutch meaning citizens governments court make climate promises #hague #hope #cop #semst
NONE	congratulations dutch good work #change #semst
FAVOR	children women elderly people risk health impacts #climatereporting #semst
FAVOR	loud thunder seconds rain #thanksobama #semst
NONE	religion race disproven reason science politics #drought #semst
FAVOR	repent emission hell #bible #semst
FAVOR	#tolerance #mother #earth #methodology levels #capitalistic #ideologies #semst
AGAINST	change climate country adds element soil charles darwin #anthropocene #semst
FAVOR	raining surar suddenly warm after #semst
FAVOR	this planet live protect #obama #attenborough #semst
NONE	went feel legs brain feels boiling #semst
AGAINST	climate change explain definition climate change #fraud #ccot #liberty #cruzcrew #semst
FAVOR	higher levels temperature glacial retreat warmer oceà extremar weather events plenty evidence #semst
FAVOR	attenborough real problem global #semst
NONE	#technology signatura come #ideology #capitalism signatura #methodology #semst
NONE	#savingmytomorrow guys promoting crazy #hbo #semst
NONE	democrats weather #semst
NONE	national announces planar firar pantry restar house burn baby burn #sameoldshit #semst
NONE	defeat isis defeat #semst
NONE	expected zealands socalled leaders show leadership instead show weakminded ignorance laggardship #semst
NONE	bombar hands they christian #graham #gop #semst
NONE	negativar times negativar equals positivewonder applies emotions #manthoughts #sustainablehumans #semst
FAVOR	continuar burn wake callar #vancouver #bcwildfires #semst
FAVOR	clean technology moment #innovation #technology #davidattenboroughismyhero #semst
AGAINST	glblwarmingnews toth fairy causing kids lose teeth #carbontaxscam #chemtrails #semst
NONE	some people guilt free #semst
FAVOR	justar read scalias idiotic opinion overturning epas carbonar emissió limits planning spend seething rajar #semst
FAVOR	#engineeringinnovation future green tech deal #semst
FAVOR	wearing sweater june #itfeelslikespring #semst
FAVOR	breeze catch lakefront heat stroke well #heatstroke #semst
FAVOR	scary stat area urban greenspace england lost #semst
FAVOR	politics religion race busy killing hurting other earth dries anyway #drought #semst
FAVOR	srsly weirds wear #sunscreen morning #dogwalk #tan #wtf #semst
NONE	building renovations turn time #business #money #wallstreet #enterprise #entrepreneur #engineering #semst
FAVOR	unfortunate refusar damage responsible #savetheearth #semst
FAVOR	eyes china report planar building agreement #emissions expected #cop #ghg #semst
NONE	wonderful find twitter meet canadian working #semst
